id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
10	"aek nauli environmental and forestry research and development institute, ministry of environmental and forestry, simalungunnorth sumatra 21174, indonesia"	0.9317	-0.0263	12	4	4	1	0	0	2019	0	0
50	"agrotechnology study program, departement of agronomy and horticulture, faculty of agriculture, pattimura university, ambon, 97234, indonesia"	-0.425	0.8236	29	3	3	1	0	0	2019	0	0
51	"agrotechnology study program, faculty of agriculture, pattimura university, ambon, 97234, indonesia"	-0.425	0.8236	29	2	2	1	5	6.7802	2019	5	6.7802
75	"animal science modelling research group (ansim), faculty of animal science, bogor agricultural university, indonesia"	-0.3124	-0.1546	38	2	2	1	1	1.356	2019	1	1.356
137	"biodiversity, macroecology and biogeography, university of göttingen, büsgenweg 1, göttingen, 37077, germany"	-0.5389	0.7407	4	7	7	1	1	1.356	2019	1	1.356
138	"biodiversity, macroecology, and biogeography research group, georg-august university, göttingen, germany"	-0.5399	0.7404	4	8	8	1	3	4.0681	2019	3	4.0681
139	"biological and ecological engineering department, oregon state university, 210 gilmore hall, corvallis, or 97331, united states"	-0.8621	0.0975	1	4	4	1	4	5.4241	2019	4	5.4241
151	"biotechnology laboratory, pt. astra agro lestari tbk, jl. pulo ayang raya, blok or-i, kawasan. industri pulo gadung, jakarta, indonesia"	0.7168	-0.5787	7	7	7	1	2	2.7121	2019	2	2.7121
156	"bogor agricultural development polytechnic, ppsdmp agency, ministry of agriculture, jl. arya suryalaga (d/a cibalagung), no. 1 bogor, west java, 16001, indonesia"	0.0964	-0.5446	26	2	2	1	1	1.356	2019	1	1.356
159	"bogor agricultural university (ipb), bogor, west java, indonesia"	-0.0037	-0.9321	18	3	3	1	1	1.356	2019	1	1.356
167	"bogor agricultural university, bogor, indonesia"	-0.8333	-0.0078	2	12	12	21	12	16.2724	2019	0.5714	0.7749
169	"bogor agricultural university, darmaga, bogor, 16680, indonesia"	-0.8336	-0.4102	19	4	4	1	2	2.7121	2019	2	2.7121
172	"bogor agricultural university, department of forest management, kampus ipb darmaga, bogor, 16680, indonesia"	0.8091	0.4208	3	12	12	1	5	6.7802	2019	5	6.7802
173	"bogor agricultural university, department of geophysics and meteorology, bogor, 16680, indonesia"	-0.8609	0.1002	1	4	4	1	2	2.7121	2019	2	2.7121
204	"bogor botanical garden, lembaga ilmu pengetahuan indonesia, bogor, indonesia"	-0.54	0.7401	4	8	8	1	3	4.0681	2019	3	4.0681
209	"botanical garden of the university of bern, bern, switzerland"	-0.5392	0.7401	4	8	8	1	3	4.0681	2019	3	4.0681
220	"campus for research excellence and technological enterprise (create) program, singapore, 138602, singapore"	-0.7433	0.5509	6	2	2	1	5	6.7802	2019	5	6.7802
221	"cancer chemoprevention research center, faculty of pharmacy, universitas gadjah mada, yogyakarta, indonesia"	0.0381	0.9257	10	5	5	1	1	1.356	2019	1	1.356
229	"center for agricultural economics and policy, secretariat general of the ministry of agriculture agricultural research complex, cimanggu bogor, west java, indonesia"	0.0964	-0.5446	26	2	2	1	1	1.356	2019	1	1.356
232	"center for agroindustry technology, agency for the assesment and application of technology, indonesia"	0.1096	-0.9235	14	4	4	1	1	1.356	2019	1	1.356
