id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
6	"advanced functional materials (afm) laboratory, engineering physics, institut teknologi bandung, bandung, 40132, indonesia"	0.2761	-0.8989	26	4	4	2	27	28.025	2019	13.5	14.0125
11	"advanced functional materials research group, institut teknologi bandung jl. ganesha 10, bandung, 40132, indonesia"	-0.8269	0.3491	4	3	3	1	1	1.038	2019	1	1.038
12	"advanced functional materials research group, institut teknologi bandung, bandung, 40132, indonesia"	-0.8354	0.3111	8	5	5	2	5	5.1898	2019	2.5	2.5949
13	"advanced functional materials research group, institut teknologi bandung, jl.ganesha 10, bandung, 40132, indonesia"	-0.8357	0.3111	8	5	5	1	2	2.0759	2019	2	2.0759
25	"agency for marine & fisheries research, ministry of marine affairs and fisheries, jakarta, 10110, indonesia"	-0.1247	-0.8865	3	19	19	1	3	3.1139	2019	3	3.1139
37	"agency for the assessment and application of technology, bppt building 2-10th floor, jalan m.h. thamrin no. 8, jakarta, 10340, indonesia"	0.9262	-0.1221	20	3	3	1	2	2.0759	2019	2	2.0759
38	"agency for the assessment and application of technology, jl. m.h. thamrin 8, jakarta, indonesia"	0.9262	-0.1223	20	3	3	1	7	7.2657	2019	7	7.2657
39	"agency of research and development for marine and fisheries, jakarta, indonesia"	-0.1256	-0.8879	3	6	6	2	9	9.3417	2019	4.5	4.6708
46	"akashi college, national institute of technology, akashi, hyogo 674-8501, japan"	-0.8351	0.3118	8	7	7	1	7	7.2657	2019	7	7.2657
50	"algebra research group, faculty of mathematics and natural sciences, institut teknologi bandung, jalan ganesha 10, bandung, 40132, indonesia"	-0.9053	0.1117	34	2	2	1	0	0	2019	0	0
76	"applied physics and medical imaging, california state university channel islands, camarillo, ca 93012, united states"	-0.707	-0.5912	7	4	4	2	3	3.1139	2019	1.5	1.5569
77	"applied physics and medical imaging, california state university channel islandsca, united states"	-0.7068	-0.5909	7	4	4	1	2	2.0759	2019	2	2.0759
86	"association nature océan indien, petite ile, reunion"	-0.5042	0.7522	2	3	3	1	4	4.1518	2019	4	4.1518
123	"australian institute for innovative materials (aiim), university of wollongong, north wollongong, nsw 2500, australia"	-0.9192	-0.0124	6	7	7	1	4	4.1518	2019	4	4.1518
125	"australian institute of innovative materials, university of wollongong, squires way, north wollongong, nsw 2500, australia"	-0.9193	-0.0125	6	8	8	2	22	22.8352	2019	11	11.4176
139	"bandung institute of technology, bandung, indonesia"	-0.0616	-0.8954	17	6	16	8	39	40.4805	2019	4.875	5.0601
162	"bandung institute of technology, jalan ganesha 10, bandung, 40132, indonesia"	-0.9053	0.1118	34	1	1	1	2	2.0759	2019	2	2.0759
176	"bandung institute of technology, school of electrical engineering and informatics, bandung, indonesia"	0.9087	-0.2446	25	2	2	46	1	1.038	2019	0.0217	0.0226
183	"bandung school of pharmacy, bandung, indonesia"	0.4539	0.8107	13	4	4	1	4	4.1518	2019	4	4.1518
188	"barrer centre, department of chemical engineering, imperial college london, exhibition road, london, sw7 2az, united kingdom"	-0.8132	0.3628	4	9	10	3	49	50.8601	2019	16.3333	16.9534
195	"bina nusantara university, computer science department, jakarta, indonesia"	0.9087	-0.2446	25	2	2	1	0	0	2019	0	0
213	"biomedic, universitas indonesia, jakarta, dki jakarta, indonesia"	0.8587	-0.3593	14	3	3	1	2	2.0759	2019	2	2.0759
263	"cat-a hydrographic education, sub program studi teknik geodesi dan geomatika, program studi program profesi insinyur, institut teknologi bandung, jalan ganesha 10, bandung, 40132, indonesia"	-0.3899	0.583	35	1	1	1	0	0	2019	0	0
307	"center for volcanology and geological hazard mitigation (cvghm), bandung, indonesia"	-0.0723	0.9242	9	4	8	1	11	11.4176	2019	11	11.4176
308	"center for volcanology and geological hazard mitigation, bandung, indonesia"	-0.0719	0.9247	9	6	12	1	5	5.1898	2019	5	5.1898
336	"centre for southern hemisphere oceans research, hobart, tas, australia"	-0.1259	-0.8852	3	6	6	2	9	9.3417	2019	4.5	4.6708
347	"chemical engineering department and center of research excellence in nanotechnology, king fahd university of petroleum and minerals, dhahran, 30261, saudi arabia"	0.69	-0.6252	22	2	2	1	0	0	2019	0	0
359	"chemical engineering department, institut teknologi bandung, jl. ganesha 10, bandung, 40132, indonesia"	-0.8155	0.3591	4	5	9	5	9	9.3417	2019	1.8	1.8683
366	"chemical engineering department, universitas jenderal achmad yani, jl. terusan jendral sudirman, cimahi, 40285, indonesia"	-0.8156	0.3592	4	5	9	2	1	1.038	2019	0.5	0.519
377	"chemistry department, faculty of mathematics and natural sciences, syiah kuala university, darussalam, banda aceh, 23111 nad, indonesia"	0.6172	0.6551	1	17	20	1	1	1.038	2019	1	1.038
380	"chemistry department, faculty of science, institut teknologi sepuluh nopember (its), kampus its sukolilo, surabaya, 60111, indonesia"	0.3682	-0.8612	21	4	4	1	2	2.0759	2019	2	2.0759
382	"chemistry department, institut teknologi bandung (itb), jl. ganesha 10, bandung, 40132, indonesia"	0.3682	-0.8612	21	4	4	1	2	2.0759	2019	2	2.0759
395	"cibio inbio, university of porto, porto, portugal"	-0.501	0.7507	2	3	3	1	4	4.1518	2019	4	4.1518
436	"commonwealth scientific and industrial research organisation (csiro), hobart, tas, australia"	-0.1252	-0.8846	3	6	6	2	9	9.3417	2019	4.5	4.6708
437	"computational genomics resource laboratory, california institute for quantitative biosciences, university of california, berkeley, ca, united states"	-0.5024	0.7531	2	3	3	1	2	2.0759	2019	2	2.0759
442	"computer engineering department, faculty of engineering, bina nusantara university, 9 k. h. syahdan, jakarta, 11480, indonesia"	0.6177	0.6553	1	17	20	1	1	1.038	2019	1	1.038
451	"computer science department, furman university, greenville, sc 29613, united states"	0.9086	-0.2446	25	3	3	1	8	8.3037	2019	8	8.3037
456	"corporate communication, regulatory management unit, pt telekomunikasi indonesia, jakarta, indonesia"	0.0266	0.9407	38	1	1	3	2	2.0759	2019	0.6667	0.692
500	"department of agriculture product technology, universitas kristen artha wacana, jalan adisucipto 147, oesapa, kupang, 85000, indonesia"	0.69	-0.6252	22	2	2	1	0	0	2019	0	0
501	"department of agriculture product technology, universitas kristen artha wacana, kupang, nusa tenggara timur, indonesia"	0.69	-0.6252	22	4	4	1	2	2.0759	2019	2	2.0759
508	"department of applied physics and medical imaging, california state university channel islands, camarillo, ca 93012, united states"	-0.7074	-0.5903	7	11	14	3	14	14.5315	2019	4.6667	4.8438
511	"department of applied physics, osaka university, suita, osaka 565-0871, japan"	-0.8353	0.3118	8	7	7	1	7	7.2657	2019	7	7.2657
534	"department of atmospheric and oceanic science, university of maryland, college park, md 20742, united states"	-0.1248	-0.8865	3	19	19	3	11	11.4176	2019	3.6667	3.8059
535	"department of atmospheric and oceanic science, university of maryland, college park, md, united states"	-0.1268	-0.8857	3	6	6	3	11	11.4176	2019	3.6667	3.8059
540	"department of biochemistry, genetics and immunology and biomedical research center (cinbio), university of vigo, vigo, spain"	-0.5002	0.7509	2	3	3	1	4	4.1518	2019	4	4.1518
542	"department of bioenergy and chemurgy engineering, institut teknologi bandung, jalan let. jen. purn. dr. (hc) mashudi no. 1/jalan raya jatinangor km 20.75, sumedang, 45363, indonesia"	0.69	-0.6253	22	2	2	1	0	0	2019	0	0
560	"department of biomedical engineering, faculty of life sciences and technology, swiss german university, tangerang, 15143, indonesia"	-0.8266	0.3488	4	3	3	1	1	1.038	2019	1	1.038
581	"department of chemical engineering, faculty of engineering, universitas indonesia, depok, indonesia"	0.9261	-0.1222	20	3	3	1	7	7.2657	2019	7	7.2657
582	"department of chemical engineering, faculty of engineering, universitas indonesia, depok, west java 16424, indonesia"	0.9261	-0.1223	20	3	3	1	2	2.0759	2019	2	2.0759
592	"department of chemical engineering, institut teknologi bandung, bandung, 40132, indonesia"	0.1348	-0.9228	16	7	7	11	51	52.936	2019	4.6364	4.8124
593	"department of chemical engineering, institut teknologi bandung, bandung, indonesia"	-0.8115	0.3655	4	8	8	2	12	12.4555	2019	6	6.2278
594	"department of chemical engineering, institut teknologi bandung, bandung, jawa barat, indonesia"	0.6901	-0.6252	22	4	4	1	2	2.0759	2019	2	2.0759
596	"department of chemical engineering, institut teknologi bandung, jalan ganesha 10, bandung, 40132, indonesia"	0.6901	-0.6251	22	2	2	1	0	0	2019	0	0
597	"department of chemical engineering, institut teknologi bandung, jl ganesha 10, bandung, 40132, indonesia"	-0.8108	0.3664	4	3	3	1	2	2.0759	2019	2	2.0759
598	"department of chemical engineering, institut teknologi bandung, jl. ganesha 10, bandung, 40132, indonesia"	-0.8142	0.3612	4	9	18	9	92	95.4925	2019	10.2222	10.6103
601	"department of chemical engineering, jenderal achmad yani university, jl. terusan jendral sudirman, po box 148, cimahi, west java, indonesia"	-0.8161	0.3581	4	3	3	1	18	18.6833	2019	18	18.6833
611	"department of chemical engineering, universitas brawijaya, jl. mayjen haryono 167, malang, 65145, indonesia"	-0.8134	0.3624	4	9	12	3	65	67.4675	2019	21.6667	22.4892
613	"department of chemical engineering, universitas surabaya, kalirungkut-surabaya, indonesia"	-0.8114	0.3656	4	8	8	1	9	9.3417	2019	9	9.3417
614	"department of chemical engineering, universitasbrawijaya, jl mayjen haryono 167, malang, 65145, indonesia"	-0.8109	0.3664	4	3	3	1	2	2.0759	2019	2	2.0759
618	"department of chemical engineering, university of surabaya, jl raya kalirungkut, surabaya, 60293, indonesia"	-0.811	0.3664	4	3	3	1	2	2.0759	2019	2	2.0759
621	"department of chemistry education, uin sunan gunung djati bandung, jl. cimincrang, cimenerang, panyileukan, west java, bandung, 40292, indonesia"	0.3682	-0.8613	21	2	2	3	0	0	2019	0	0
637	"department of chemistry, faculty of mathematics and natural sciences, universitas sumatera utara, padang bulan, medan, 20155, indonesia"	0.454	0.8107	13	2	2	2	3	3.1139	2019	1.5	1.5569
665	"department of civil and environmental engineering, waseda university, tokyo, japan"	-0.8643	-0.2153	15	5	5	2	25	25.949	2019	12.5	12.9745
669	"department of civil engineering, faculty of civil and environmental engineering, institut teknologi bandung, jalan ganesha no. 10, bandung, 40132, indonesia"	-0.3468	-0.8724	29	2	2	1	1	1.038	2019	1	1.038
671	"department of civil engineering, faculty of engineering, university of bengkulu, jalan w.r. supratman, bengkulu, 38371a, indonesia"	-0.3468	-0.8723	29	2	2	1	1	1.038	2019	1	1.038
672	"department of civil engineering, institut teknologi bandung, jalan ganesha no. 10, bandung, 40132, indonesia"	-0.3468	-0.8724	29	2	2	1	4	4.1518	2019	4	4.1518
677	"department of civil engineering, universitas bengkulu, jalan w.r. supratman no.1, bengkulu, 38371, indonesia"	-0.3468	-0.8724	29	2	2	1	4	4.1518	2019	4	4.1518
683	"department of computer engineering, bina nusantara university, 9 k.h. syahdan, jakarta, 14810, indonesia"	0.6174	0.6581	1	12	12	1	4	4.1518	2019	4	4.1518
684	"department of computer engineering, faculty of engineering, bina nusantara university, 9 k.h. syahdan, jakarta, 11480, indonesia"	0.6147	0.656	1	12	12	1	8	8.3037	2019	8	8.3037
689	"department of earth and environmental sciences, paleontology and geobiology, ludwig-maximilians-universität, richard-wagner-str. 10, munich, 80333, germany"	0.844	0.303	5	10	10	1	9	9.3417	2019	9	9.3417
690	"department of earth and environmental sciences, university of michigan, ann arbor, mi, united states"	-0.1258	-0.8847	3	6	6	2	9	9.3417	2019	4.5	4.6708
691	"department of earth and planetary science, the university of tokyo, tokyo, japan"	-0.1236	-0.8856	3	6	6	2	9	9.3417	2019	4.5	4.6708
694	"department of earth resources engineering, faculty of engineering, kyushu univ., fukuoka, 819-0395, japan"	0.2817	0.8959	30	2	2	2	6	6.2278	2019	3	3.1139
698	"department of earth sciences, free university of berlin, berlin, 12249, germany"	0.8457	0.3019	5	10	10	1	9	9.3417	2019	9	9.3417
701	"department of earth sciences, university of geneva, geneva, 1205, switzerland"	0.8451	0.304	5	16	16	2	10	10.3796	2019	5	5.1898
702	"department of earth sciences, university of geneva, rue des maraîchers 13, geneva, 1205, switzerland"	0.8451	0.3018	5	10	10	1	9	9.3417	2019	9	9.3417
704	"department of earth, environmental and planetary sciences, brown university, 324 brook street, providence, ri 02912, united states"	0.8459	0.3043	5	10	10	1	9	9.3417	2019	9	9.3417
705	"department of earth, environmental, and planetary sciences, brown university, 324 brook st., box 1846, providence, ri 02912, united states"	0.8455	0.3032	5	16	16	1	9	9.3417	2019	9	9.3417
706	"department of earth, environmental, and planetary sciences, brown university, providence, ri 02912, united states"	0.8448	0.304	5	16	16	2	10	10.3796	2019	5	5.1898
708	"department of earth, ocean and atmospheric sciences and of microbiology and immunology, university of british columbia, 2350 health sciences mall, vancouver, bc v6t 1z4, canada"	0.844	0.3036	5	10	10	1	9	9.3417	2019	9	9.3417
724	"department of electrical engineering, krida wacana christian university, jakarta, 11470, indonesia"	0.6166	0.6564	1	17	20	2	1	1.038	2019	0.5	0.519
734	"department of electrical engineering, university of pelita harapan, 1100 m.h. thamrin boulevard, lippo village, tangerang, 15811, indonesia"	0.6162	0.6536	1	12	12	2	4	4.1518	2019	2	2.0759
746	"department of engineering physics, bandung institute of technology, bandung, 40132, indonesia"	0.5826	-0.7454	33	1	1	1	2	2.0759	2019	2	2.0759
756	"department of engineering physics, research center for nanoscience and nanotechnology, institute of technology bandung, bandung, 40132, indonesia"	-0.9199	-0.0128	6	7	7	1	4	4.1518	2019	4	4.1518
757	"department of engineering physics, research center for nanoscience and nanotechnology, institute of technology bandung, ganesha 10, bandung, 40132, indonesia"	-0.9197	-0.0127	6	8	8	1	3	3.1139	2019	3	3.1139
763	"department of environmental engineering, faculty of science and technology, state islamic university of ar-raniry, banda aceh, 23111, indonesia"	0.8555	0.2757	24	6	10	2	8	8.3037	2019	4	4.1518
781	"department of function control systems, shibaura institute of technology (sit), tokyo, japan"	0.7724	0.5129	11	5	6	1	3	3.1139	2019	3	3.1139
797	"department of geology, university of yangon, yangon, myanmar"	0.1234	0.9191	10	1	1	1	0	0	2019	0	0
799	"department of geophysical engineering, faculty of civil, environmental and geo engineering, institut teknologi sepuluh nopember, jl. raya its, surabaya, 60111, indonesia"	0.8558	0.2754	24	6	6	1	1	1.038	2019	1	1.038
800	"department of geophysical engineering, faculty of civil, environmental and geo engineering, institut teknologi sepuluh nopember, surabaya, 60111, indonesia"	0.8556	0.2753	24	6	6	1	7	7.2657	2019	7	7.2657
815	"department of health sciences, faculty of medical sciences, kyushu university, 3-1-1 maidashi, higashi-ku, fukuoka, 812-8582, japan"	-0.7073	-0.5903	7	12	16	5	17	17.6453	2019	3.4	3.5291
817	"department of herpetology, zoologische staatssamlung münich, munich, germany"	-0.5004	0.7521	2	3	3	1	4	4.1518	2019	4	4.1518
842	"department of industrial engineering, telkom university bandung, indonesia"	0.8706	-0.0166	23	1	1	1	0	0	2019	0	0
845	"department of industrial engineering, university of pelita harapan, 1100 m.h. thamrin boulevard, lippo village, tangerang, 15811, indonesia"	0.6183	0.6577	1	12	12	1	4	4.1518	2019	4	4.1518
907	"department of mathematics, university of ghana, legon, ghana"	-0.1262	-0.8873	3	6	6	2	9	9.3417	2019	4.5	4.6708
921	"department of mechanical engineering, university of colorado, boulder, co 80309"	-0.8271	0.349	4	3	3	1	1	1.038	2019	1	1.038
922	"department of mechanical engineering, university of colorado, boulder, co 80309, united states"	-0.827	0.3488	4	7	7	1	2	2.0759	2019	2	2.0759
