id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	"adam smith business school, university of glasgow, glasgow, united kingdom"	0.3784	0.768	10	0	0	1	0	0	2019	0	0
2	"agency for the assessment and application of technology (bppt), centre for machinery industry technology, jakarta, indonesia"	0.9326	0.1355	11	0	0	1	0	0	2019	0	0
3	"algebra research group, faculty of mathematics and natural sciences, institut teknologi bandung, bandung, indonesia"	0.4213	0.8472	12	0	0	1	0	0	2019	0	0
4	"alice - a large ion colider experiment, european organization for nuclear research (cern), geneva, switzerland"	0.0124	-0.9469	13	0	0	1	0	0	2019	0	0
5	"amik lamappapoleonro, lalabata rilau, lalabata, soppeng, 90812, indonesia"	0.6978	-0.3656	14	0	0	1	0	0	2019	0	0
6	"and school of electrical engineering and informatics, telkom university, bandung institute of technology (itb), bandung, indonesia"	-0.5265	0.7871	15	0	0	1	0	0	2019	0	0
7	"applied science school, telkom university, sekolah tinggi pariwisata bandung, bandung, indonesia"	-0.6951	0.5714	16	0	0	1	1	2.1093	2019	1	2.1093
8	"bandung institute of technology, bandung, indonesia"	0.2549	-0.7397	17	0	0	1	1	2.1093	2019	1	2.1093
9	"bandung institute of technology, department of industrial engineering, bandung, indonesia"	-0.9197	-0.2065	18	0	0	3	0	0	2019	0	0
10	"bandung institute of technology, dept. of geodesy engineering, bandung, indonesia"	0.2988	-0.797	19	0	0	1	0	0	2019	0	0
11	"bandung institute of technology, school of electrical engineering and informatics, bandung, indonesia"	0.8993	0.033	20	0	0	1	0	0	2019	0	0
12	"bandung institute of technology, school of electrical engineering and informatics, indonesia"	0.8411	-0.4312	21	0	0	1	0	0	2019	0	0
13	"bcn labs, telkom corporate, indonesia, sukarasa, sukasari, bandung, indonesia"	0.4922	-0.6282	22	0	0	1	0	0	2019	0	0
14	"big data science and technology, faculty of advanced science and technology, kumamoto university, japan"	0.0809	-0.9437	23	0	0	1	0	0	2019	0	0
15	"bina nusantara university, jakarta, indonesia"	-0.866	0.3776	24	0	0	1	0	0	2019	0	0
16	"bina nusantara university, west jakarta, indonesia"	0.9302	-0.1653	25	0	0	1	1	2.1093	2019	1	2.1093
