id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
10	"advanced material and sustainable mineral processing research group, department of chemical engineering, universitas gadjah mada, yogyakarta, 55281, indonesia"	0.7925	-0.4931	29	2	2	2	4	3.7326	2019	2	1.8663
11	"advanced material and sustainable mineral processing research group, universitas gadjah mada, yogyakarta, 55281, indonesia"	-0.6419	0.1322	30	2	2	1	3	2.7994	2019	3	2.7994
23	"agricultural microbiology department, universitas gadjah mada, bulaksumur, yogyakarta, 55281, indonesia"	0.605	0.3982	7	6	6	1	3	2.7994	2019	3	2.7994
24	"agricultural quarantine agency, soekarno-hatta street, lampung, 35241, indonesia"	-0.2455	0.6687	23	2	2	1	1	0.9331	2019	1	0.9331
61	"alumni department of geodetic engineering, universitas gadjah mada, indonesia"	0.4137	0.8432	31	1	1	1	0	0	2019	0	0
75	"arc centre of excellence for australian biodiversity and heritage, australian national university, archaeology and natural history department, college of asia and the pacific, australia"	-0.0354	0.7618	18	5	5	1	0	0	2019	0	0
76	"arc centre of excellence for australian biodiversity and heritage, australian national university, canberra, 2601, australia"	-0.0356	0.7618	18	6	6	1	4	3.7326	2019	4	3.7326
77	"archaeology & natural history, college of asia and the pacific, australian national university, australia"	-0.0355	0.7619	18	6	6	1	4	3.7326	2019	4	3.7326
78	"archaeology and natural history department, college of asia, india"	-0.0355	0.7617	18	5	5	1	0	0	2019	0	0
81	"army medical center, jl. mayjen soetoyo, cililitan, east jakarta, jakarta, 13640, indonesia"	0.8584	-0.1371	11	3	3	1	0	0	2019	0	0
89	"australia awards in indonesia, jakarta, 12940, indonesia"	-0.4352	-0.7919	2	8	8	1	1	0.9331	2019	1	0.9331
90	"australian national university, arc centre of excellence for australian biodiversity and heritage, australia"	-0.0354	0.7616	18	5	5	1	0	0	2019	0	0
135	"bioprocess engineering research group, department of chemical engineering, faculty of engineering, universitas gadjah mada, jalan grafika 2, yogyakarta, 55281, indonesia"	0.8393	0.3562	5	6	6	1	6	5.5989	2019	6	5.5989
148	"bpdashl baturusa cerucuk, bangka belitung islands province, indonesia"	-0.7708	-0.4782	10	17	17	2	4	3.7326	2019	2	1.8663
150	"brunei neurosciences, stroke and rehabilitation centre (bnsrc), brunei darussalam"	0.1548	-0.9004	13	3	3	1	2	1.8663	2019	2	1.8663
154	"burnet institute, melbourne, australia"	-0.4348	-0.7923	2	6	6	1	1	0.9331	2019	1	0.9331
162	"cancer chemoprevention research center, faculty of pharmacy, universitas gadjah mada, sekip utara, yogyakarta, 55281, indonesia"	0.8576	-0.1506	11	8	8	3	4	3.7326	2019	1.3333	1.2442
163	"cancer chemoprevention research center, faculty of pharmacy, universitas gadjah mada, yogyakarta, 55281, indonesia"	0.8584	-0.1386	11	5	5	4	7	6.532	2019	1.75	1.633
164	"cancer chemoprevention research center, faculty of pharmacy, universitas gadjah mada, yogyakarta, indonesia"	0.8573	-0.1575	11	5	5	3	4	3.7326	2019	1.3333	1.2442
166	"carbon material research group, department of chemical engineering, faculty of engineering, universitas gadjah mada, jl grafika no 2, yogyakarta, 55281, indonesia"	0.7925	-0.4931	29	2	2	1	1	0.9331	2019	1	0.9331
172	"cartography and remote sensing, faculty of geography, universitas gadjah mada, yogyakarta, indonesia"	-0.1627	0.8389	35	2	2	1	0	0	2019	0	0
174	"ceb-centre of biological engineering, university of minho, braga, 4710-057, portugal"	0.6052	0.3977	7	9	9	1	1	0.9331	2019	1	0.9331
175	"ceb-centre of biological engineering, university of minho, campus de gualtar, braga, 4710-057, portugal"	0.6055	0.3979	7	6	6	1	3	2.7994	2019	3	2.7994
193	"center for energy studies, gadjah mada university, sekip k-1a kampus ugm, yogyakarta, 55281, indonesia"	0.838	0.3543	5	15	15	3	11	10.2646	2019	3.6667	3.4215
198	"center for energy studies, universitas gadjah mada, sekip k1a, yogyakarta, 55281, indonesia"	-0.6236	-0.6867	19	5	5	1	4	3.7326	2019	4	3.7326
199	"center for energy studies, universitas gadjah mada, sekip k1a, yogyakarta, 55284, indonesia"	-0.6237	-0.6867	19	7	7	1	1	0.9331	2019	1	0.9331
224	"center for plant conservation, indonesian institute of sciences, bogor, 16003, indonesia"	-0.7812	-0.4638	32	1	1	1	6	5.5989	2019	6	5.5989
234	"center for reproductive medicine, department of obstetrics and gynecology, taipei medical university hospital, taipei, 11031, taiwan"	-0.7321	0.5525	12	7	7	1	1	0.9331	2019	1	0.9331
235	"center for reproductive medicine, department of obstetrics and gynecology, taipei medical university hospital, taipei, taiwan"	-0.7326	0.5522	12	11	11	1	3	2.7994	2019	3	2.7994
236	"center for reproductive medicine, taipei medical university hospital, taipei, taiwan"	-0.7328	0.5518	12	7	7	1	0	0	2019	0	0
249	"center for tropical medicine, faculty of medicine, public health and nursing, universitas gadjah mada, yogyakarta, indonesia"	-0.9025	0.1151	4	14	14	2	4	3.7326	2019	2	1.8663
250	"center for tropical medicine, faculty of medicine, public health, and nursing, universitas gadjah mada, yogyakarta, indonesia"	-0.4398	-0.79	2	9	9	2	3	2.7994	2019	1.5	1.3997
251	"center for tropical medicine, universitas gadjah mada, yogyakarta, indonesia"	-0.4476	-0.7869	2	7	7	2	4	3.7326	2019	2	1.8663
253	"center of biomass and renewable energy, chemical engineering department, diponegoro university, jl.prof soedarto,sh-tembalang, semarang, indonesia"	-0.6238	-0.6866	19	7	7	1	1	0.9331	2019	1	0.9331
270	"centre for energy studies gadjah mada university, kampus ugm, sekip k-1a, yogyakarta, 55281, indonesia"	0.8391	0.3557	5	5	5	1	4	3.7326	2019	4	3.7326
272	"centre for energy studies, gadjah mada university, sekip k-1a, kampus ugm, yogyakarta, 55281, indonesia"	0.8375	0.3535	5	3	3	1	9	8.3983	2019	9	8.3983
273	"centre for energy studies, universitas gadjah mada, jakarta, indonesia"	-0.5868	0.7096	16	3	3	1	2	1.8663	2019	2	1.8663
275	"centre for epidemiology and biostatistics, melbourne school of population and global health, university of melbourne, australia"	-0.9026	0.1159	4	7	7	1	9	8.3983	2019	9	8.3983
284	"centre for international child health, department of paediatrics and murdoch children’s research institute, university of melbourne, melbourne, australia"	-0.4346	-0.7921	2	6	6	1	1	0.9331	2019	1	0.9331
286	"centre for international child health, university of melbourne and murdoch chldren's research institute, parkville, vic 3050, australia"	-0.4352	-0.792	2	8	8	1	1	0.9331	2019	1	0.9331
295	"centre for tropical medicine and global health, nuffield department of clinical medicine, university of oxford, oxford, united kingdom"	-0.9016	0.115	4	7	7	1	9	8.3983	2019	9	8.3983
303	"centre for tropical medicine, universitas gadjah mada, yogyakarta, 55281, indonesia"	-0.435	-0.7918	2	8	8	1	1	0.9331	2019	1	0.9331
304	"centre of agro-technology innovation ugm, yogyakarta, 55285, indonesia"	-0.771	-0.4784	10	9	9	1	1	0.9331	2019	1	0.9331
309	"centro de investigação de montanha (cimo), esa, instituto politécnico de bragança, bragança, 5300-253, portugal"	0.6051	0.3979	7	9	9	1	1	0.9331	2019	1	0.9331
310	"centro de investigação de montanha (cimo), esa, instituto politécnico de bragança, campus sta apolónia, bragança, 5300-253, portugal"	0.6048	0.3977	7	6	6	1	3	2.7994	2019	3	2.7994
349	"chemistry education division, faculty of teacher training and science education, university of mataram, jalan majapahit no 62, mataram, 83125, indonesia"	0.504	-0.4202	20	3	3	1	1	0.9331	2019	1	0.9331
350	"chemistry education division, faculty of teacher training and science education, university of mataram, lombok, 83125, indonesia"	0.5037	-0.4201	20	8	10	1	5	4.6657	2019	5	4.6657
351	"chemistry education division, university of mataram, jalan majapahit no 62, mataram, 83125, indonesia"	0.5039	-0.4199	20	3	6	2	4	3.7326	2019	2	1.8663
388	"college of arts, society and education, james cook university, cairns, australia"	-0.0356	0.7618	18	6	6	1	4	3.7326	2019	4	3.7326
397	"computer and electronic department, universitas gadjah mada, sekip utara, yogyakarta, 55281, indonesia"	0.6048	0.398	7	6	6	1	3	2.7994	2019	3	2.7994
408	"cv. mitra geotama mapping consultant, yogyakarta, indonesia"	-0.8301	0.3998	15	3	6	1	1	0.9331	2019	1	0.9331
416	"departemen arkeologi, fakultas ilmu budaya, universitas gadjah mada, indonesia"	-0.0354	0.7621	18	5	5	1	0	0	2019	0	0
417	"departemen arkeologi, fakultas ilmu budaya, universitas gadjah mada, yogyakarta, 55281, indonesia"	-0.0354	0.7618	18	6	6	1	4	3.7326	2019	4	3.7326
448	"departement of chemistry, faculty of science and technology, universitas airlangga, surabaya, 60115, indonesia"	-0.6398	0.006	40	2	2	1	3	2.7994	2019	3	2.7994
481	"departement of mechanical engineering vokasi, universitas muhammadiyah yogyakarta, indonesia"	-0.5869	0.7096	16	3	3	1	2	1.8663	2019	2	1.8663
500	"departement of pharmaceutics, faculty of pharmacy, universitas gadjah mada, sekip utara, d. i. yogyakarta, 55281, indonesia"	0.0512	0.5628	39	2	3	2	4	3.7326	2019	2	1.8663
503	"departement of pharmacology and therapy, faculty of medicine, public health and nursing, universitas gadjah mada, yogyakarta, indonesia"	0.6413	0.6507	8	6	6	1	1	0.9331	2019	1	0.9331
519	"departement of physics, universitas gadjah mada, sekip utara bls 21, yogyakarta, 55281, indonesia"	0.8661	-0.3536	27	2	2	1	3	2.7994	2019	3	2.7994
527	"departement of tropical biology, faculty of biology, universitas gadjah mada, special region of yogyakarta55281, indonesia"	0.094	0.9316	24	4	4	1	0	0	2019	0	0
571	"department of agricultural and biosystems engineering, faculty of agricultural technology, universitas gadjah mada, yogyakarta, indonesia"	0.5306	-0.7559	17	9	28	8	0	0	2019	0	0
572	"department of agricultural and biosystems engineering, faculty of agricultural technology, universitas gadjahmada, yogyakarta, indonesia"	0.5318	-0.7552	17	3	3	1	0	0	2019	0	0
578	"department of agricultural engineering, faculty of agricultural technology, universitas gadjah mada, indonesia"	0.5317	-0.7553	17	3	7	1	9	8.3983	2019	9	8.3983
579	"department of agricultural engineering, faculty of agricultural technology, universitas gadjah mada, jl. flora no. 1 bulaksumur, yogyakarta, 55281, indonesia"	0.5302	-0.7553	17	2	6	1	5	4.6657	2019	5	4.6657
580	"department of agricultural engineering, faculty of agricultural technology, universitas gadjah mada, jl. flora no. 1, bulaksumur, sleman, daerah istimewa yogyakarta 55281, indonesia"	0.5299	-0.7561	17	2	3	1	4	3.7326	2019	4	3.7326
628	"department of anatomical pathology, dr. sardjito hospital, faculty of medicine, public health and nursing, university gadjah mada, yogyakarta, indonesia"	0.6412	0.6504	8	6	6	1	2	1.8663	2019	2	1.8663
630	"department of anatomical pathology, faculty of medicine, public health and nursing, universitas gadjah mada (dr. sardjito hospital), yogyakarta, 55281, indonesia"	0.6406	0.651	8	13	13	1	4	3.7326	2019	4	3.7326
653	"department of animal breeding and reproduction, faculty of animal science, universitas gadjah mada, yogyakarta, 55281, indonesia"	-0.8793	-0.3536	49	1	2	5	2	1.8663	2019	0.4	0.3733
681	"department of animal production, faculty of agriculture, university of anbar, p.o box 55431, anbar, iraq"	0.2205	0.7831	33	3	3	1	0	0	2019	0	0
689	"department of animal production, faculty of animal science, universitas gadjah mada, yogyakarta, indonesia"	-0.2563	0.8933	34	2	2	5	4	3.7326	2019	0.8	0.7465
695	"department of animal resources, faculty of agriculture, university of al anbar, anbar, iraq"	0.2205	0.7829	33	3	3	1	2	1.8663	2019	2	1.8663
699	"department of animal science, faculty of agriculture, universiti putra malaysia, serdang, selangor 43400, malaysia"	0.2205	0.7831	33	4	4	2	2	1.8663	2019	1	0.9331
716	"department of architecture and planning, faculty of engineering ugm, yogyakarta, 55281, indonesia"	-0.7702	-0.4781	10	9	9	1	1	0.9331	2019	1	0.9331
725	"department of architecture universitas indonesia, jakarta, indonesia"	-0.7705	-0.4787	10	9	9	1	1	0.9331	2019	1	0.9331
727	"department of architecture, faculty of engineering, universitas gadjah mada yogyakarta, indonesia"	-0.771	-0.4787	10	9	9	1	2	1.8663	2019	2	1.8663
733	"department of biobank, okayama university graduate school of medicine, dentistry and pharmaceutical sciences, 2-5-1 shikata-cho, kita-ku, okayama, 700-8558, japan"	-0.3865	0.8252	6	19	26	2	15	13.9972	2019	7.5	6.9986
739	"department of biochemistry and molecular biology, faculty of veterinary medicine, universitas gadjah mada, yogyakarta, indonesia"	-0.2563	0.8934	34	2	2	1	1	0.9331	2019	1	0.9331
743	"department of biochemistry, central university of haryana, mahendergarh, 123031, india"	-0.732	0.5522	12	7	7	1	1	0.9331	2019	1	0.9331
744	"department of biochemistry, central university of haryana, mahendergarh, india"	-0.7325	0.5522	12	11	11	1	3	2.7994	2019	3	2.7994
757	"department of biochemistry, kawasaki medical school, 577 matsushima, kurashiki-shi, okayama, 701-0192, japan"	-0.3859	0.8251	6	19	26	2	15	13.9972	2019	7.5	6.9986
779	"department of biology, faculty of mathematics and natural sciences, universitas indonesia, kampus ui depok, depok, 16424, indonesia"	0.8389	0.3559	5	5	5	1	2	1.8663	2019	2	1.8663
814	"department of biostatistics, epidemiology, and population health, faculty of medicine, public health and nursing, universitas gadjah mada, yogyakarta, indonesia"	-0.448	-0.7866	2	3	3	3	12	11.1978	2019	4	3.7326
820	"department of biotechnology, faculty of bioscience engineering, ghent university, valentin vaerwyckweg, 1, ghent, 9000, belgium"	0.531	-0.7566	17	2	6	1	5	4.6657	2019	5	4.6657
832	"department of cell biology, okayama university graduate school of medicine, dentistry and pharmaceutical sciences, 2-5-1 shikata-cho, kita-ku, okayama-shi, okayama, 700-8558, japan"	-0.3854	0.8248	6	19	26	2	15	13.9972	2019	7.5	6.9986
850	"department of chemical engineering, faculty of engineering, universitas gadjah mada, jalan grafika 2, yogyakarta, 55284, indonesia"	-0.6239	-0.6868	19	9	10	3	6	5.5989	2019	2	1.8663
852	"department of chemical engineering, faculty of engineering, universitas gadjah mada, jl grafika no 2, yogyakarta, 55281, indonesia"	0.7924	-0.4932	29	3	3	2	3	2.7994	2019	1.5	1.3997
853	"department of chemical engineering, faculty of engineering, universitas gadjah mada, jl. grafika 2, yogyakarta, 55281, indonesia"	-0.6237	-0.6865	19	5	5	2	11	10.2646	2019	5.5	5.1323
854	"department of chemical engineering, faculty of engineering, universitas gadjah mada, jl. grafika no. 2, yogyakarta, 55281, indonesia"	0.7923	-0.4932	29	1	1	2	1	0.9331	2019	0.5	0.4666
858	"department of chemical engineering, faculty of engineering, universitas gadjah mada, yogyakarta, 55281, indonesia"	0.7925	-0.4931	29	2	2	4	6	5.5989	2019	1.5	1.3997
864	"department of chemical engineering, faculty of industrial technology, universitas ahmad dahlan, jalan kapas 9, yogyakarta, 55166, indonesia"	-0.6237	-0.6867	19	9	10	3	6	5.5989	2019	2	1.8663
865	"department of chemical engineering, faculty of industrial technology, universitas ahmad dahlan, jl. kapas 9, yogyakarta, 55166, indonesia"	-0.6238	-0.6865	19	5	5	1	4	3.7326	2019	4	3.7326
866	"department of chemical engineering, faculty of industrial technology, universitas pembangunan nasional 'veteran' yogyakarta, jalan swk 104, yogyakarta, 55283, indonesia"	-0.6236	-0.6868	19	5	5	2	5	4.6657	2019	2.5	2.3329
867	"department of chemical engineering, faculty of industrial technology, universitas pembangunan nasional “veteran” yogyakarta, jalan swk 104, yogyakarta, 55283, indonesia"	-0.6236	-0.6866	19	7	7	1	1	0.9331	2019	1	0.9331
868	"department of chemical engineering, faculty of industrial technology, universitas pembangunan nasional “veteran” yogyakarta, jl. swk 104, yogyakarta, 55283, indonesia"	-0.624	-0.6868	19	5	5	1	4	3.7326	2019	4	3.7326
876	"department of chemical engineering, islamic university of indonesia, yogyakarta, 55584, indonesia"	-0.6419	0.1322	30	2	2	1	3	2.7994	2019	3	2.7994
885	"department of chemical engineering, universitas gadjah mada, jl grafika 2, yogyakarta, 55281, indonesia"	-0.6419	0.1322	30	3	3	2	0	0	2019	0	0
887	"department of chemical engineering, universitas gadjah mada, yogyakarta, 55281, indonesia"	-0.6419	0.1321	30	2	2	16	18	16.7966	2019	1.125	1.0498
921	"department of chemistry, faculty of mathematics and natural science, university of mataram, jalan majapahit no 62, mataram, 83125, indonesia"	0.5034	-0.42	20	3	3	1	1	0.9331	2019	1	0.9331
923	"department of chemistry, faculty of mathematics and natural science, university of mataram, mataram, 83125, indonesia"	0.5037	-0.4201	20	8	10	1	5	4.6657	2019	5	4.6657
925	"department of chemistry, faculty of mathematics and natural sciences, brawijaya university, east java, malang, 65145, indonesia"	0.5038	-0.4204	20	3	3	1	2	1.8663	2019	2	1.8663
944	"department of chemistry, faculty of mathematics and natural sciences, universitas gadjah mada, sekip utara bls 21, yogyakarta, 55281, indonesia"	0.6111	0.4153	7	7	47	5	40	37.3259	2019	8	7.4652
952	"department of chemistry, faculty of mathematics and natural sciences, universitas gadjah mada, sekip utara, yogyakarta, 55281, indonesia"	-0.6397	0.006	40	2	2	13	23	21.4624	2019	1.7692	1.651
954	"department of chemistry, faculty of mathematics and natural sciences, universitas gadjah mada, yogyakarta, 55281, indonesia"	0.6119	0.4146	7	3	9	8	30	27.9944	2019	3.75	3.4993
963	"department of chemistry, faculty of mathematics and natural sciences, university of mataram, jalan majapahit no 62, mataram, 83125, indonesia"	0.5035	-0.4203	20	3	3	1	2	1.8663	2019	2	1.8663
970	"department of chemistry, faculty of science and technology, universitas airlangga, surabaya, 60115, indonesia"	-0.6397	0.006	40	2	2	1	1	0.9331	2019	1	0.9331
985	"department of chemistry, universitas gadjah mada, sekip utara, yogyakarta, 55281, indonesia"	0.5037	-0.42	20	9	12	4	12	11.1978	2019	3	2.7994
987	"department of chemistry, universitas gadjah mada, yogyakarta, 55281, indonesia"	0.5035	-0.4198	20	3	3	4	11	10.2646	2019	2.75	2.5662
992	"department of chemistry, university of mataram, jalan majapahit 62, mataram, 83125, indonesia"	0.5037	-0.4198	20	3	3	1	2	1.8663	2019	2	1.8663
1001	"department of child health, faculty of medicine, public health and nursing, universitas gadjah mada/ugm academic hospital, yogyakarta, indonesia"	0.8994	0.2148	22	5	5	1	6	5.5989	2019	6	5.5989
1007	"department of child health, universitas gadjah mada, ugm academic hospital, yogyakarta, 55291, indonesia"	0.8993	0.2148	22	3	3	1	1	0.9331	2019	1	0.9331
1018	"department of civil and environmental engineering, gadjah mada university, jalan grafika no.2, yogyakarta, 55281, indonesia"	0.8392	0.3556	5	5	5	1	4	3.7326	2019	4	3.7326
1025	"department of civil and environmental engineering, universitas gadjah mada, yogyakarta, 55281, indonesia"	0.0017	-0.5133	37	3	3	1	1	0.9331	2019	1	0.9331
1026	"department of civil and environmental engineering, universitas gadjah mada, yogyakarta, indonesia"	0.0017	-0.5134	37	1	1	5	2	1.8663	2019	0.4	0.3733
1116	"department of dermatology and venereology, faculty of medicine, public health and nursing, universitas gadjah mada, farmako sekip utara, d. i. yogyakarta, 55281, indonesia"	0.0512	0.5628	39	2	3	2	4	3.7326	2019	2	1.8663
1122	"department of dermatology, tokyo medical university, 6-7-1 nishi-shinjuku, shinjuku-ku, tokyo, 160-0023, japan"	-0.3854	0.8254	6	19	26	2	15	13.9972	2019	7.5	6.9986
1148	"department of earth technology, vocational school of universitas gadjah mada, indonesia"	0.4135	0.8432	31	1	1	1	0	0	2019	0	0
1162	"department of electrical and information engineering, universitas gadjah mada, indonesia"	0.3631	-0.5902	52	1	2	1	8	7.4652	2019	8	7.4652
1172	"department of electrical engineering & information technology, universitas gadjah mada, indonesia"	-0.583	0.7099	16	2	2	1	1	0.9331	2019	1	0.9331
1173	"department of electrical engineering and informatics, universitas gadjah mada, yogyakarta, indonesia"	-0.5857	0.7096	16	1	2	2	5	4.6657	2019	2.5	2.3329
1181	"department of electrical engineering and information technology, faculty of engineering, universitas gadjah mada, yogyakarta, 55281, indonesia"	-0.6729	0.656	41	2	2	8	2	1.8663	2019	0.25	0.2333
1197	"department of electrical engineering and information technology, universitas gadjah mada, yogyakarta, indonesia"	-0.5834	0.7099	16	3	4	17	20	18.6629	2019	1.1765	1.0978
1218	"department of electrical engineering, universitas muhammadiyah yogyakarta, yogyakarta, indonesia"	-0.5855	0.7098	16	1	2	4	12	11.1978	2019	3	2.7994
1230	"department of entomology and plant pathology, faculty of agriculture, universitas gadjah mada, yogyakarta, indonesia"	-0.2456	0.6686	23	2	2	1	2	1.8663	2019	2	1.8663
1231	"department of entomology, faculty of agriculture, kasetsart university, bangkok, thailand"	-0.9031	0.1144	4	7	7	2	10	9.3315	2019	5	4.6657
1233	"department of environmental engineering, faculty of civil engineering and planning, universitas islam indonesia, yogyakarta, indonesia"	-0.7703	-0.4784	10	9	9	2	2	1.8663	2019	1	0.9331
1236	"department of environmental geography, faculty of geography, gadjah mada university, yogyakarta, indonesia"	-0.832	0.3962	15	3	3	1	0	0	2019	0	0
1241	"department of environmental geography, faculty of geography, universitas gadjah mada, indonesia"	-0.8314	0.3971	15	9	12	10	8	7.4652	2019	0.8	0.7465
1269	"department of epidemiology, university of michigan, ann arbor, mi, united states"	-0.1178	-0.8778	1	12	12	1	6	5.5989	2019	6	5.5989
1270	"department of epidemiology, university of michiganmi, united states"	-0.1166	-0.8785	1	18	18	1	4	3.7326	2019	4	3.7326
1273	"department of family medicine, school of medicine, syiah kuala university, banda aceh, indonesia"	-0.1169	-0.878	1	18	18	1	4	3.7326	2019	4	3.7326
1274	"department of family medicine, school of medicine, universitas syiah kuala, banda aceh, indonesia"	-0.1166	-0.8794	1	12	12	1	6	5.5989	2019	6	5.5989
1308	"department of food and agricultural product technology, faculty of agricultural technology, universitas gadjah mada, yogyakarta, indonesia"	0.5307	-0.7559	17	9	26	4	3	2.7994	2019	0.75	0.6999
1331	"department of food technology, faculty of food sciences, warsaw university of life sciences, poland"	0.5316	-0.7555	17	3	7	1	9	8.3983	2019	9	8.3983
1332	"department of food technology, safety and health, faculty of bioscience engineering, ghent university, belgium"	0.5314	-0.7553	17	3	7	1	9	8.3983	2019	9	8.3983
1334	"department of food technology, safety and health, faculty of bioscience engineering, ghent university, coupure links 653, ghent, 9000, belgium"	0.5299	-0.7556	17	2	9	2	9	8.3983	2019	4.5	4.1992
1367	"department of general surgery & bio-bank of general surgery, the fourth affiliated hospital of harbin medical university, harbin, 150001, china"	-0.3862	0.8256	6	19	26	2	15	13.9972	2019	7.5	6.9986
1374	"department of geodetic engineering, faculty of engineering, universitas gadjah mada (ugm), yogyakarta, 55284, indonesia"	0.4135	0.8432	31	4	4	1	3	2.7994	2019	3	2.7994
1378	"department of geodetic engineering, universitas gadjah mada, indonesia"	0.4136	0.8432	31	1	1	1	0	0	2019	0	0
1388	"department of geographic information science, faculty of geography, universitas gadjah mada, indonesia"	-0.8301	0.3997	15	3	6	2	1	0.9331	2019	0.5	0.4666
