id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	"abhipraya foundation and cipto mangunkusumo hospital, jakarta, indonesia"	-0.0713	0.9076	1	10	10	1	2	1.6416	2019	2	1.6416
35	"antenna propagation and microwave research group (amrg), department of electrical engineering, faculty of engineering, universitas indonesia, depok, indonesia"	-0.4951	0.8004	28	1	2	1	0	0	2019	0	0
37	"antenna propagation and microwave research group (amrg), department of electrical engineering, faculty of engineering, universitas indonesia, kampus baru ui depok, depok, indonesia"	-0.4952	0.8004	28	1	1	1	2	1.6416	2019	2	1.6416
43	"ape lab, department of biology, university of padova, padova, 35131, italy"	-0.2757	0.5217	4	6	6	1	30	24.6233	2019	30	24.6233
46	"applied heat transfer research group, department of mechanical engineering, faculty of engineering, universitas indonesia, kampus ui depok, depok, 16424, indonesia"	0.1419	0.7435	29	2	2	2	4	3.2831	2019	2	1.6416
57	"asian school of the environment, nanyang technological university, singapore, 637723, singapore"	-0.2758	0.5206	4	6	6	1	30	24.6233	2019	30	24.6233
76	"badan pengawas obat dan makanan, jakarta, indonesia"	0.9135	0.0945	6	13	13	1	2	1.6416	2019	2	1.6416
121	"biomérieux, clinical unit, la balme-les-grottes, france"	0.1322	0.9067	3	7	7	1	2	1.6416	2019	2	1.6416
122	"biomérieux, data analytics unit, la balme-les-grottes, france"	0.131	0.9076	3	7	7	1	2	1.6416	2019	2	1.6416
132	"bloomberg school of public health, johns hopkins university, baltimore, md, united states"	-0.0708	0.907	1	10	10	1	2	1.6416	2019	2	1.6416
166	"center for green research on energy and environmental materials, international center for materials nanoarchitectonics, national institute for material science (nims), 1-1 namiki, tsukuba, ibaraki, 305-0044, japan"	0.119	-0.2071	14	2	3	1	10	8.2078	2019	10	8.2078
198	"center for sustainable infrastructure development, depok, indonesia"	0.537	0.7488	9	5	5	1	0	0	2019	0	0
201	"center for sustainable infrastructure development, universitas indonesia, depok, 16424, indonesia"	0.5374	0.7486	9	3	3	1	8	6.5662	2019	8	6.5662
202	"center for sustainable infrastructure development, universitas indonesia, kampus baru ui, depok, 16424, indonesia"	0.5331	0.7518	9	2	6	3	0	0	2019	0	0
203	"center for technology of nuclear industry materials-national energy agency indonesia, batan, puspitek area, serpong, south tangerang, 15314, indonesia"	-0.5452	-0.5902	24	2	2	1	4	3.2831	2019	4	3.2831
215	"center of medical education, indonesia medical education and research institute (imeri), faculty of medicine, universitas indonesia, indonesia"	0.366	-0.2348	17	4	4	1	2	1.6416	2019	2	1.6416
264	"chemical engineering department, faculty of engineering, universitas indonesia, depok, 16424, indonesia"	-0.1956	-0.3042	33	1	1	11	6	4.9247	2019	0.5455	0.4477
279	"chemistry department, faculty of mathematics and natural science, universitas indonesia, jalan margonda raya, depok, 16424, indonesia"	-0.9333	-0.0012	13	3	3	1	1	0.8208	2019	1	0.8208
282	"chemistry department, faculty of mathematics and sciences, university of indonesia, kampus ui depok, jakarta, 16-4424, indonesia"	0.1193	-0.2081	14	2	3	1	10	8.2078	2019	10	8.2078
300	"cipto mangunkusumo hospital, university of indonesia, jalan pangeran diponegoro no.71, salemba, senen, jakarta pusat, daerah khusus ibukota, jakarta, 10430, indonesia"	-0.0705	0.9078	1	10	10	1	5	4.1039	2019	5	4.1039
313	"civil engineering department, faculty of engineering, universitas indonesia, depok, 16424, indonesia"	0.5341	0.7514	9	7	12	4	14	11.4909	2019	3.5	2.8727
319	"civil engineering department, faculty of engineering, universitas pancasila, jakarta, 12640, indonesia"	0.534	0.7513	9	7	12	1	13	10.6701	2019	13	10.6701
333	"clinical epidemiology and evidence based medicine unit, faculty of medicine universitas indonesia, cipto mangunkusumo hospital, jalan pangeran diponegoro no. 71, jakarta, 10430, indonesia"	-0.1973	-0.8957	5	6	6	1	7	5.7454	2019	7	5.7454
