id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
9	"academy of scientific and innovative research (acsir), csir-cgcri campus, kolkata, india"	-0.8549	0.2505	1	6	6	4	6	5.808	2019	1.5	1.452
22	"advanced membrane technology research centre (amtec), universiti teknologi malaysia, skudai, 81310, malaysia"	-0.5598	-0.6896	22	4	4	1	2	1.936	2019	2	1.936
23	"advanced membrane technology research centre (amtec), universiti teknologi malaysia, utm, johor bahru, johor 81310, malaysia"	-0.5596	-0.6896	22	4	4	1	2	1.936	2019	2	1.936
36	"airlangga university, 01 dharmawangsa dalam, surabaya, east java, indonesia"	0.7417	-0.3174	17	3	3	1	5	4.84	2019	5	4.84
45	"airlangga university, faculty of fisheries and marine, departement of fish health and manajemen aquaculture, surabaya, east java 60115, indonesia"	0.0791	-0.9188	10	2	2	1	3	2.904	2019	3	2.904
52	"airlangga university, fisheries and marine faculty, fish health and aquaculture management department, surabaya, east java 60115, indonesia"	0.078	-0.9188	10	7	9	1	2	1.936	2019	2	1.936
57	"airlangga university, surabaya, indonesia"	0.7415	-0.3175	17	7	7	11	9	8.7119	2019	0.8182	0.792
69	"animal histology laboratory, faculty of science and technology universitas airlangga, kampus c universitas airlangga, surabaya, 60115, indonesia"	0.7134	0.5469	7	8	8	1	18	17.4239	2019	18	17.4239
70	"animal histology laboratory, faculty of science and technology, universitas airlangga, kampus c universitas airlangga, surabaya, 60115, indonesia"	0.7137	0.5467	7	8	8	1	0	0	2019	0	0
72	"animal histology laboratory, faculty of science and technology, universitas airlangga, surabaya, 60115, indonesia"	0.7138	0.5463	7	8	8	2	22	21.2958	2019	11	10.6479
104	"aquatic and hyperbaric medicine academie nationale de medecine, paris, france"	0.2269	-0.8989	16	6	6	1	2	1.936	2019	2	1.936
105	"aquatic and hyperbaric medicine, academie nationale de medicine, paris, france"	0.227	-0.8988	16	4	4	1	0	0	2019	0	0
131	"biochemistry biomolecular laboratory, faculty of medicine, universitas brawijaya, malang, indonesia"	0.8849	-0.071	3	10	10	1	10	9.6799	2019	10	9.6799
147	"biomedical engineering master program, post graduate school, universitas airlangga, surabaya, 60115, indonesia"	0.3999	-0.8307	11	6	6	1	8	7.7439	2019	8	7.7439
148	"biomedical engineering postgraduate school, universitas airlangga, surabaya, 60115, indonesia"	0.4001	-0.8305	11	7	7	1	0	0	2019	0	0
151	"biomedical engineering study program, department of physics, faculty of science and technology, universitas airlangga, surabaya, east java, 60115, indonesia"	0.4	-0.8305	11	7	7	1	0	0	2019	0	0
153	"biomedical engineering study program, department of physics, faculty of sciences and technology, universitas airlangga, surabaya, 60115, indonesia"	0.4003	-0.8306	11	6	6	1	8	7.7439	2019	8	7.7439
157	"biomedical engineering, department of physics, faculty of science and technology, universitas airlangga, surabaya, 60115, indonesia"	-0.6333	-0.6997	35	2	2	2	6	5.808	2019	3	2.904
167	"biostatistics and population studies, universitas airlangga, banyuwangi, indonesia"	-0.5374	0.7602	20	3	3	1	4	3.872	2019	4	3.872
177	"brawijaya cardiovascular research center, faculty of medicine, universitas brawijaya, malang, 65145, indonesia"	0.5266	0.7523	18	7	13	2	3	2.904	2019	1.5	1.452
179	"brawijaya university, agriculture faculty, agroecotechnology department, malang, east java 65145, indonesia"	0.078	-0.9187	10	7	9	1	2	1.936	2019	2	1.936
180	"brawijaya university, fisheries and marine science faculty, aquatic resources management department, veteran malangeast java 65145, indonesia"	0.078	-0.9188	10	7	9	1	2	1.936	2019	2	1.936
181	"brawijaya university, fisheries and marine science faculty, fisheries and marine resources utilization department, malang, east java 65145, indonesia"	0.0779	-0.9187	10	7	9	1	2	1.936	2019	2	1.936
202	"center for infectious diseases, kobe university graduate school of medicine, kobe, japan"	-0.1647	-0.9191	27	4	4	3	11	10.6479	2019	3.6667	3.5493
203	"center for infectious diseases, kobe university, graduate school of medicine, kobe, japan"	-0.1646	-0.9192	27	5	5	1	3	2.904	2019	3	2.904
204	"center for medicines information and pharmaceutical care, faculty of pharmacy, universitas surabaya, surabaya, indonesia"	0.5441	-0.7391	8	14	22	2	5	4.84	2019	2.5	2.42
226	"centre for exercise, nutrition, and health sciences, school for policy studies, university of bristol, 8 priory road, bristol, bs8 1tz, united kingdom"	-0.4005	-0.6532	14	6	6	1	0	0	2019	0	0
232	"centre for population health, (ceph), department of paediatrics, social and preventive medicine, faculty of medicine, university of malaya 59100, kuala lumpur, 50603, malaysia"	-0.4001	-0.6528	14	6	6	1	0	0	2019	0	0
235	"centre for sustainable nanomaterials (csnano), ibnu sina institute for scientific and industrial research (isi-isir), universiti teknologi malaysia, skudai, 81310, malaysia"	-0.5597	-0.6896	22	4	4	1	2	1.936	2019	2	1.936
245	"chemistry department, faculty of science and technology, universitas airlangga, surabaya, indonesia"	-0.5597	-0.6896	22	6	6	2	4	3.872	2019	2	1.936
246	"chemistry department, faculty of sciences and technology, universitas airlangga, surabaya, indonesia"	-0.3397	0.8332	4	3	3	1	0	0	2019	0	0
253	"civil engineering, narotama university, indonesia"	-0.3369	0.8343	4	2	2	1	1	0.968	2019	1	0.968
269	"college of nursing, university of central florida, united states"	-0.4521	0.5557	34	2	2	1	8	7.7439	2019	8	7.7439
272	"college of pharmacy, university of south florida, 12901 bruce blvd mdc 30, tampa, fl 33612, united states"	-0.7193	-0.5261	2	8	10	1	4	3.872	2019	4	3.872
280	"computational optics research group, advanced institute of materials science, ton duc thang university, ho chi minh city, viet nam"	-0.8602	0.231	1	11	12	1	8	7.7439	2019	8	7.7439
305	"departemen patologi anatomi, fakultas kedokteran universitas airlangga, surabaya, indonesia"	0.2269	-0.8989	16	6	6	1	2	1.936	2019	2	1.936
328	"departement of chemistry, faculty of science and technology, universitas airlangga, surabaya, 60115, indonesia"	0.1121	0.8603	38	2	2	1	3	2.904	2019	3	2.904
339	"departement of dental public health, faculty of dental medicine, universitas airlangga, surabaya, indonesia"	0.8645	-0.083	3	4	4	2	5	4.84	2019	2.5	2.42
346	"departement of health nutrition, public health faculty, airlangga university, surabaya, east java, indonesia"	-0.7285	-0.5143	2	6	6	1	0	0	2019	0	0
367	"departement of neurosurgery, medical faculty of airlangga university, surabaya, indonesia"	0.7527	-0.5447	19	3	3	1	0	0	2019	0	0
368	"departement of neurosurgery, medical faculty of udayana universitybali, indonesia"	0.7529	-0.5446	19	3	3	1	0	0	2019	0	0
371	"departement of nutrition, faculty of public health, universitas airlangga, jl. mulyorejo kampus c, indonesia"	0.1885	0.9155	23	2	2	1	1	0.968	2019	1	0.968
380	"departement of occupational health and safety, faculty of public health, hassanuddin university indonesia, makassar, indonesia"	-0.7266	-0.5154	2	24	37	2	14	13.5519	2019	7	6.7759
381	"departement of occupational health and safety, faculty of public health, hassanuddin university, indonesia"	-0.7184	-0.5257	2	8	10	1	4	3.872	2019	4	3.872
413	"departement of veterinary reproduction, faculty of veterinary medicine, universitas airlangga, surabaya, 60115, indonesia"	0.7096	0.5516	7	1	1	1	2	1.936	2019	2	1.936
417	"department anatomi, fakultas kedokteran universitas hang, surabaya, indonesia"	0.2269	-0.899	16	6	6	1	2	1.936	2019	2	1.936
420	"department biokimia, fakultas kedokteran universitas airlangga, surabaya, indonesia"	0.227	-0.899	16	6	6	1	2	1.936	2019	2	1.936
431	"department of accountancy, faculty of economics and business, universitas airlangga, indonesia"	-0.0165	-0.6439	36	3	6	11	0	0	2019	0	0
434	"department of accountancy, universitas airlangga, surabaya, 60286, indonesia"	-0.0165	-0.6439	36	1	3	3	38	36.7837	2019	12.6667	12.2612
435	"department of accountancy, universitas airlangga, surabaya, indonesia"	-0.0165	-0.6438	36	1	1	2	2	1.936	2019	1	0.968
449	"department of administration and health policy, faculty of public health, universitas airlangga, indonesia"	0.1886	0.9156	23	2	2	1	1	0.968	2019	1	0.968
455	"department of agroecotechnology, faculty of agriculture, universitas brawijaya, malang, east java 65145, indonesia"	0.0779	-0.9185	10	4	8	2	2	1.936	2019	1	0.968
469	"department of anatomy, faculty of medical, universitas hang tuah, surabaya, indonesia"	0.227	-0.8991	16	4	4	1	0	0	2019	0	0
471	"department of anatomy, faculty of veterinary, universitas airlangga, surabaya, indonesia"	0.2271	-0.899	16	4	4	1	0	0	2019	0	0
482	"department of animal husbandry, faculty of veterinary medicine, universitas airlangga, campus c surabaya, east java, 60115, indonesia"	0.9157	0.158	30	2	2	1	3	2.904	2019	3	2.904
492	"department of applied mechanics and design, faculty of mechanical engineering, universiti teknologi malaysia, johor bahru, 81310, malaysia"	0.3999	-0.8303	11	6	6	1	8	7.7439	2019	8	7.7439
502	"department of aquaculture, sylhet agricultural university, sylhet, bangladesh"	0.8649	0.2973	6	5	5	1	0	0	2019	0	0
503	"department of aquatic resources management department, faculty of fisheries and marine science, universitas brawijaya, malang, east java 65145, indonesia"	0.0777	-0.9186	10	4	4	1	0	0	2019	0	0
