id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	argentina	-0.42	-0.826	8	0	0	2	17	21.8193	2019	8.5	10.9096
2	australia	0.7517	-0.0414	3	3	6	34	152	195.0899	2019	4.4706	5.7379
3	bangladesh	0.0126	-0.2744	9	0	0	3	4	5.1339	2019	1.3333	1.7113
4	belgium	0.0169	0.2754	10	0	0	2	7	8.9844	2019	3.5	4.4922
5	bogor agricultural	-0.7514	0.5319	11	0	0	1	0	0	2019	0	0
6	brazil	0.2995	-0.6723	12	0	0	7	75	96.2615	2019	10.7143	13.7516
7	brunei darussalam	0.1922	-0.4847	13	0	0	2	10	12.8349	2019	5	6.4174
8	cambodia	-0.5368	0.7517	14	0	0	2	0	0	2019	0	0
9	canada	0.7214	-0.0334	1	2	2	11	84	107.8128	2019	7.6364	9.8012
10	chile	-0.1001	0.9172	15	0	0	1	14	17.9688	2019	14	17.9688
11	china	-0.8548	-0.3665	16	0	0	14	39	50.056	2019	2.7857	3.5754
12	cibinong	-0.232	0.1568	17	0	0	1	0	0	2019	0	0
13	colombia	-0.8414	0.3997	18	0	0	4	20	25.6697	2019	5	6.4174
14	czech republic	-0.1655	0.7255	19	0	0	3	4	5.1339	2019	1.3333	1.7113
15	denmark	0.4811	-0.6187	20	0	0	4	55	70.5917	2019	13.75	17.6479
16	division of pathology	-0.9198	0.0893	21	0	0	1	0	0	2019	0	0
17	egypt	-0.1356	-0.742	22	0	0	3	9	11.5514	2019	3	3.8505
18	email:	0.0936	-0.7412	23	0	0	1	0	0	2019	0	0
19	estonia	0.7078	0.6145	24	0	0	1	14	17.9688	2019	14	17.9688
20	faculty of agriculture	0.0654	0.7427	25	0	0	1	0	0	2019	0	0
21	finland	-0.8903	0.2415	26	0	0	1	19	24.3862	2019	19	24.3862
22	france	0.7543	0.0227	4	1	2	21	94	120.6477	2019	4.4762	5.7451
23	germany	0.6743	-0.027	2	5	15	37	105	134.7661	2019	2.8378	3.6423
24	ghana	0.6125	0.6975	27	0	0	2	17	21.8193	2019	8.5	10.9096
25	greece	-0.0281	-0.0012	28	0	0	3	38	48.7725	2019	12.6667	16.2575
26	hong kong	0.2067	0.9005	29	0	0	2	36	46.2055	2019	18	23.1028
27	hungary	-0.5181	-0.5253	30	0	0	1	6	7.7009	2019	6	7.7009
28	india	-0.2556	0.8903	31	0	0	8	29	37.2211	2019	3.625	4.6526
29	indonesia	0.7154	0.0067	4	15	64	1398	1091	1400	2019.0007	0.7804	1.0014
30	iran	-0.6677	-0.6397	32	0	0	1	5	6.4174	2019	5	6.4174
31	ireland	-0.9185	-0.0621	33	0	0	1	1	1.2835	2019	1	1.2835
32	italy	-0.6544	0.6536	34	0	0	4	19	24.3862	2019	4.75	6.0966
33	japan	0.7259	0.0551	7	3	16	104	205	263.1147	2019	1.9712	2.5299
34	karawang	-0.7224	-0.1323	35	0	0	2	0	0	2019	0	0
35	kenya	-0.5434	0.5	36	0	0	3	19	24.3862	2019	6.3333	8.1287
36	laos	0.3411	-0.8608	37	0	0	2	0	0	2019	0	0
37	madagascar	0.6131	-0.7056	38	0	0	1	0	0	2019	0	0
38	malawi	-0.3998	0.8344	39	0	0	1	0	0	2019	0	0
39	malaysia	0.6911	0.0494	5	3	6	23	57	73.1587	2019	2.4783	3.1808
40	mexico	0.0398	-0.9248	40	0	0	5	43	55.1899	2019	8.6	11.038
41	moldova	-0.0394	0.5168	41	0	0	1	1	1.2835	2019	1	1.2835
42	myanmar	0.4816	-0.7984	42	0	0	1	0	0	2019	0	0
43	netherlands	0.6895	0.0531	5	2	3	14	25	32.0872	2019	1.7857	2.2919
44	nevis	-0.339	-0.6585	43	0	0	1	0	0	2019	0	0
45	new zealand	0.4927	0.7908	44	0	0	5	22	28.2367	2019	4.4	5.6473
46	nigeria	-0.768	-0.52	45	0	0	3	0	0	2019	0	0
47	norway	-0.7283	0.0906	46	0	0	2	3	3.8505	2019	1.5	1.9252
48	pakistan	-0.549	-0.7398	47	0	0	3	21	26.9532	2019	7	8.9844
49	panama	-0.2388	-0.1483	48	0	0	1	1	1.2835	2019	1	1.2835
50	papua new guinea	0.1985	0.4908	49	0	0	1	1	1.2835	2019	1	1.2835
51	peru	0.714	-0.0401	1	2	2	1	5	6.4174	2019	5	6.4174
52	philippines	-0.267	-0.4208	50	0	0	4	6	7.7009	2019	1.5	1.9252
53	poland	0.3543	0.8589	51	0	0	1	0	0	2019	0	0
