id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	australia	-0.5986	-0.0524	1	6	19	40	174	177.5528	2019	4.35	4.4388
2	austria	-0.4829	-0.0221	2	1	1	3	2	2.0408	2019	0.6667	0.6803
3	belgium	-0.0173	-1.0212	6	0	0	4	9	9.1838	2019	2.25	2.2959
4	brazil	0.8949	0.492	7	0	0	8	77	78.5722	2019	9.625	9.8215
5	canada	-0.5905	0.0809	3	4	10	11	81	82.6539	2019	7.3636	7.514
6	chile	-0.5631	-0.0831	4	2	2	5	44	44.8984	2019	8.8	8.9797
7	china	-0.5977	-0.0294	1	7	16	31	154	157.1445	2019	4.9677	5.0692
8	cyprus	0.7006	0.0001	8	0	0	1	0	0	2019	0	0
9	denmark	0.1743	1.041	9	0	0	1	20	20.4084	2019	20	20.4084
10	egypt	0.5879	0.4721	10	0	0	2	2	2.0408	2019	1	1.0204
11	engineering	0.7784	-0.6667	11	0	0	1	1	1.0204	2019	1	1.0204
12	finland	1.0092	0.099	12	0	0	1	4	4.0817	2019	4	4.0817
13	france	-0.5961	0.0233	39	4	7	28	55	56.123	2019	1.9643	2.0044
14	ganesha 10	0.9776	0.2998	13	0	0	1	0	0	2019	0	0
15	germany	-0.5905	0.0636	3	6	28	27	132	134.6953	2019	4.8889	4.9887
16	ghana	-0.5958	-0.0177	1	3	3	2	9	9.1838	2019	4.5	4.5919
17	hong kong	-0.6016	-0.0601	1	2	2	4	14	14.2859	2019	3.5	3.5715
18	iceland	-0.3881	-1.0225	14	0	0	1	1	1.0204	2019	1	1.0204
19	india	-0.1919	1.0414	15	0	0	3	30	30.6126	2019	10	10.2042
20	indonesia	-0.5298	-0.0054	2	23	117	1997	1959	1999	2019	0.981	1.001
21	informatics	0.5881	-0.4719	16	0	0	2	0	0	2019	0	0
22	iraq	-0.1919	-1.0415	17	0	0	1	6	6.1225	2019	6	6.1225
23	ireland	0.628	0.8242	18	0	0	1	0	0	2019	0	0
24	israel	-0.4714	-0.039	2	1	1	1	2	2.0408	2019	2	2.0408
25	italy	0.9777	-0.2995	19	0	0	3	20	20.4084	2019	6.6667	6.8028
26	japan	-0.5747	-0.0668	4	7	37	121	358	365.3099	2019	2.9587	3.0191
27	libyan arab jamahiriya	0.2254	-0.8595	20	0	0	1	0	0	2019	0	0
28	malaysia	0.7782	0.6668	21	0	0	24	42	42.8576	2019	1.75	1.7857
29	mexico	0.7024	-0.2468	22	0	0	2	24	24.49	2019	12	12.245
30	myanmar	-0.467	0.0039	23	1	1	1	0	0	2019	0	0
31	netherlands	0.895	-0.4918	24	0	0	17	34	34.6942	2019	2	2.0408
32	new zealand	-0.5074	0.0366	38	2	3	5	15	15.3063	2019	3	3.0613
33	norway	-0.0173	1.0211	25	0	0	2	7	7.1429	2019	3.5	3.5715
34	pakistan	-0.5688	-0.0852	4	2	2	4	23	23.4696	2019	5.75	5.8674
35	philippines	1.0093	-0.0987	26	0	0	1	16	16.3267	2019	16	16.3267
36	portugal	-0.5333	0.0472	5	2	2	1	4	4.0817	2019	4	4.0817
37	reunion	-0.5345	0.0635	27	2	2	1	4	4.0817	2019	4	4.0817
38	russian federation	0.7022	0.2471	28	0	0	3	36	36.7351	2019	12	12.245
39	saudi arabia	-0.488	-0.0483	29	1	1	6	33	33.6738	2019	5.5	5.6123
40	singapore	-0.4634	-0.0146	2	1	2	9	53	54.0822	2019	5.8889	6.0091
41	smkn 1 jamblang	0.4389	0.6889	30	0	0	1	0	0	2019	0	0
42	south africa	-0.388	1.0225	31	0	0	2	26	26.5309	2019	13	13.2654
43	south korea	-0.6	-0.0499	1	4	8	32	154	157.1445	2019	4.8125	4.9108
44	spain	-0.5215	0.0605	5	2	2	2	6	6.1225	2019	3	3.0613
45	sweden	0.2251	0.8594	32	0	0	2	12	12.245	2019	6	6.1225
46	switzerland	-0.5872	0.0794	3	5	22	8	34	34.6942	2019	4.25	4.3368
47	taiwan	0.4392	-0.6888	33	0	0	13	29	29.5921	2019	2.2308	2.2763
48	thailand	0.1742	-1.041	34	0	0	7	45	45.9188	2019	6.4286	6.5598
49	ukraine	0.6282	-0.8241	35	0	0	1	14	14.2859	2019	14	14.2859
50	united kingdom	-0.5784	0.0754	3	4	13	27	192	195.9204	2019	7.1111	7.2563
51	united states	-0.5563	0.0382	5	14	73	62	279	284.6968	2019	4.5	4.5919
52	uzbekistan	0.4293	-0.9522	36	0	0	3	1	1.0204	2019	0.3333	0.3401
53	viet nam	0.4291	0.9522	37	0	0	4	8	8.1633	2019	2	2.0408
