id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	algeria	0.8279	-0.4975	5	0	0	2	12	17.6758	2019	6	8.8379
2	australia	0.5098	-0.8323	6	0	0	11	18	26.5137	2019	1.6364	2.4103
3	austria	0.9145	-0.2924	7	0	0	2	1	1.473	2019	0.5	0.7365
4	brunei darussalam	-0.2098	0.9676	8	0	0	4	2	2.946	2019	0.5	0.7365
5	china	-0.5749	0.0837	1	4	4	4	13	19.1488	2019	3.25	4.7872
6	egypt	0.9602	-0.0774	9	0	0	1	5	7.3649	2019	5	7.3649
7	france	-0.5696	0.0638	2	6	8	8	15	22.0948	2019	1.875	2.7618
8	germany	-0.4262	0.9403	10	0	0	6	6	8.8379	2019	1	1.473
9	hungary	-0.5899	0.0831	1	2	2	3	8	11.7839	2019	2.6667	3.928
10	india	0.4403	0.5084	11	0	0	1	1	1.473	2019	1	1.473
11	indonesia	-0.5755	-0.027	3	16	49	1663	1129	1663	2019	0.6789	1
12	ireland	0.0095	-0.9931	12	0	0	1	0	0	2019	0	0
13	italy	-0.4196	-0.9439	13	0	0	1	1	1.473	2019	1	1.473
14	its	-0.5364	-0.0447	14	1	1	1	0	0	2019	0	0
15	japan	-0.6109	-0.0624	15	1	7	68	86	126.6767	2019	1.2647	1.8629
16	libyan arab jamahiriya	-0.5645	-0.0606	3	1	1	1	1	1.473	2019	1	1.473
17	malaysia	-0.6142	-0.0434	16	1	16	80	168	247.4615	2019	2.1	3.0933
18	morocco	0.6134	-0.0366	17	0	0	3	13	19.1488	2019	4.3333	6.3829
19	netherlands	0.6445	0.7302	18	0	0	3	2	2.946	2019	0.6667	0.982
20	nopember	-0.0137	0.9584	19	0	0	1	0	0	2019	0	0
21	norway	-0.5752	0.0813	1	5	6	3	15	22.0948	2019	5	7.3649
22	palestine	0.548	-0.3149	20	0	0	1	0	0	2019	0	0
23	philippines	-0.5757	-0.1196	4	2	6	3	37	54.5004	2019	12.3333	18.1668
24	poland	0.7905	0.5515	21	0	0	1	1	1.473	2019	1	1.473
25	portugal	0.1356	-0.7858	22	0	0	2	2	2.946	2019	1	1.473
26	purnomo	0.4521	0.8678	23	0	0	1	2	2.946	2019	2	2.946
27	qatar	0.6925	-0.6787	24	0	0	1	3	4.419	2019	3	4.419
28	romania	0.2054	0.728	25	0	0	1	2	2.946	2019	2	2.946
29	russian federation	-0.5775	0.0803	1	4	4	1	9	13.2569	2019	9	13.2569
30	rwanda	0.3906	-0.5699	26	0	0	2	1	1.473	2019	0.5	0.7365
31	saudi arabia	0.293	-0.9516	27	0	0	9	37	54.5004	2019	4.1111	6.0556
32	south korea	-0.5673	0.0435	2	2	3	5	0	0	2019	0	0
33	sri lanka	0.5722	0.2448	28	0	0	1	12	17.6758	2019	12	17.6758
34	taiwan	-0.5757	-0.1243	4	2	2	23	30	44.1895	2019	1.3043	1.9213
35	tanzania	-0.2007	-0.9642	29	0	0	1	1	1.473	2019	1	1.473
36	thailand	-0.5414	-0.0632	3	1	1	12	12	17.6758	2019	1	1.473
37	turkey	0.948	0.1418	30	0	0	1	0	0	2019	0	0
38	united arab emirates	-0.5653	0.0559	2	2	2	2	12	17.6758	2019	6	8.8379
39	united kingdom	-0.5878	-0.0608	31	1	4	11	18	26.5137	2019	1.6364	2.4103
40	united states	-0.5836	0.0845	1	5	6	6	5	7.3649	2019	0.8333	1.2275
41	viet nam	0.2109	0.9739	32	0	0	2	8	11.7839	2019	4	5.8919
42	yemen	0.8965	0.3556	33	0	0	3	2	2.946	2019	0.6667	0.982
