id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	australia	-0.8769	0.0003	2	0	0	3	3	6.3279	2019	1	2.1093
2	bangladesh	-0.8058	-0.308	3	0	0	2	1	2.1093	2019	0.5	1.0546
3	chile	-0.3588	0.3287	4	0	0	2	12	25.3115	2019	6	12.6557
4	china	0.7554	-0.0142	1	1	1	5	1	2.1093	2019	0.2	0.4219
5	egypt	0.4622	-0.7293	5	0	0	1	0	0	2019	0	0
6	finland	-0.1311	0.8676	6	0	0	3	0	0	2019	0	0
7	germany	-0.0497	0.5449	7	0	0	3	0	0	2019	0	0
8	indonesia	0.7495	-0.0001	1	3	4	772	366	772	2019	0.4741	1
9	iraq	0.288	0.3954	8	0	0	1	0	0	2019	0	0
10	japan	0.7346	0.0017	9	1	1	21	15	31.6393	2019	0.7143	1.5066
11	malaysia	-0.655	-0.565	10	0	0	47	42	88.5902	2019	0.8936	1.8849
12	netherlands	-0.0497	-0.5448	11	0	0	1	0	0	2019	0	0
13	nigeria	0.1902	-0.8452	12	0	0	1	1	2.1093	2019	1	2.1093
14	north macedonia	0.6853	-0.5432	13	0	0	1	2	4.2186	2019	2	4.2186
15	pakistan	0.0132	-0.0001	14	0	0	2	2	4.2186	2019	1	2.1093
16	saudi arabia	-0.4217	-0.7516	15	0	0	3	0	0	2019	0	0
17	science	-0.8055	0.3085	16	0	0	1	0	0	2019	0	0
18	south korea	-0.4214	0.7518	17	0	0	4	2	4.2186	2019	0.5	1.0546
19	spain	0.1906	0.8451	18	0	0	1	1	2.1093	2019	1	2.1093
20	sudan	0.6854	0.543	19	0	0	1	0	0	2019	0	0
21	sweden	-0.1316	-0.8675	20	0	0	1	0	0	2019	0	0
22	switzerland	-0.6547	0.5654	21	0	0	1	0	0	2019	0	0
23	taiwan	0.7584	0.0123	22	1	2	2	3	6.3279	2019	1.5	3.1639
24	thailand	0.4625	0.729	23	0	0	1	0	0	2019	0	0
25	united kingdom	-0.359	-0.3288	24	0	0	7	22	46.4044	2019	3.1429	6.6292
26	united states	0.2882	-0.3957	25	0	0	3	3	6.3279	2019	1	2.1093
27	yemen	-0.5426	-0	26	0	0	1	1	2.1093	2019	1	2.1093
