id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	afghanistan	0.7022	0.7204	6	0	0	1	1	0.9328	2019	1	0.9328
2	australia	-0.5054	-0.0134	2	7	15	59	159	148.3109	2019	2.6949	2.5137
3	austria	0.8299	0.5924	7	0	0	8	36	33.5798	2019	4.5	4.1975
4	bangladesh	0.1483	-1.0285	8	0	0	3	2	1.8655	2019	0.6667	0.6218
5	belgium	-0.5185	-0.003	9	4	13	12	49	45.7059	2019	4.0833	3.8088
6	bhutan	1.012	-0.1589	10	0	0	1	5	4.6639	2019	5	4.6639
7	brazil	0.8016	0.1653	11	0	0	2	14	13.0588	2019	7	6.5294
8	brunei darussalam	-0.5781	-0.1097	1	3	3	1	2	1.8655	2019	2	1.8655
9	cambodia	-0.5841	-0.1011	1	3	3	3	7	6.5294	2019	2.3333	2.1765
10	canada	0.3347	-0.9705	12	0	0	3	20	18.6555	2019	6.6667	6.2185
11	chemistry	0.4261	0.9293	13	0	0	1	1	0.9328	2019	1	0.9328
12	china	-0.6058	0.1629	5	2	4	10	66	61.563	2019	6.6	6.1563
13	colombia	-0.5084	-0.0348	2	4	4	2	7	6.5294	2019	3.5	3.2647
14	czech republic	-0.1013	-1.0396	14	0	0	2	2	1.8655	2019	1	0.9328
15	denmark	0.5888	-0.1228	15	0	0	4	10	9.3277	2019	2.5	2.3319
16	estonia	0.1139	0.8718	16	0	0	1	1	0.9328	2019	1	0.9328
17	ethiopia	0.6614	0.4434	17	0	0	2	1	0.9328	2019	0.5	0.4664
18	finland	0.9136	0.4245	18	0	0	2	16	14.9244	2019	8	7.4622
19	france	0.7167	-0.3666	19	0	0	14	27	25.1849	2019	1.9286	1.7989
20	germany	-0.5125	-0.0227	2	4	7	24	52	48.5042	2019	2.1667	2.021
21	ghana	-0.6159	0.0802	3	1	3	3	7	6.5294	2019	2.3333	2.1765
22	guinea	0.9899	0.2532	21	0	0	1	0	0	2019	0	0
23	hong kong	0.4234	-0.6665	22	0	0	2	2	1.8655	2019	1	0.9328
24	india	-0.4796	0.0783	4	4	10	12	18	16.7899	2019	1.5	1.3992
25	indonesia	-0.564	0.0307	3	27	87	1999	2143	1999	2019.0005	1.072	1
26	iran	0.4997	-0.8863	24	0	0	2	3	2.7983	2019	1.5	1.3992
27	iraq	-0.5684	-0.0593	20	2	4	4	4	3.7311	2019	1	0.9328
28	ireland	0.0146	-0.9341	25	0	0	2	14	13.0588	2019	7	6.5294
29	italy	-0.2556	-1.0098	26	0	0	3	1	0.9328	2019	0.3333	0.3109
30	japan	-0.6042	0.1579	5	2	10	128	273	254.6471	2019	2.1328	1.9894
31	kenya	-0.4191	0.9922	27	0	0	2	3	2.7983	2019	1.5	1.3992
32	laos	-0.5714	-0.1032	1	3	3	1	2	1.8655	2019	2	1.8655
33	malaysia	-0.5635	-0.0764	1	16	30	54	126	117.5294	2019	2.3333	2.1765
34	mexico	0.2527	0.9993	29	0	0	1	1	0.9328	2019	1	0.9328
35	mongolia	-0.2573	1.0159	30	0	0	1	0	0	2019	0	0
36	myanmar	-0.5766	-0.1001	1	3	3	2	2	1.8655	2019	1	0.9328
37	nepal	0.9523	-0.3464	31	0	0	2	1	0.9328	2019	0.5	0.4664
38	netherlands	-0.5658	0.0835	32	1	2	42	121	112.8655	2019	2.881	2.6873
39	new zealand	-0.1098	1.0044	33	0	0	7	41	38.2437	2019	5.8571	5.4634
40	nigeria	1.0164	0.0502	34	0	0	1	1	0.9328	2019	1	0.9328
41	norway	-0.6237	0.0616	23	1	1	9	33	30.7815	2019	3.6667	3.4202
42	pakistan	0.8221	-0.0989	35	0	0	3	11	10.2605	2019	3.6667	3.4202
43	papua new guinea	0.5737	0.2107	36	0	0	1	1	0.9328	2019	1	0.9328
44	philippines	-0.5845	-0.1061	1	3	3	6	15	13.9916	2019	2.5	2.3319
45	poland	-0.5967	0.0714	37	1	4	2	12	11.1933	2019	6	5.5966
