id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	affairs	-0.1138	-0.5005	8	0	0	1	2	1.2308	2019	2	1.2308
2	afghanistan	-0.8426	-0.4515	9	0	0	2	14	8.6157	2019	7	4.3079
3	and social work	0.299	-0.919	10	0	0	1	1	0.6154	2019	1	0.6154
4	argentina	-0.7752	0.553	11	0	0	1	8	4.9233	2019	8	4.9233
5	armenia	-0.7501	-0.1937	12	0	0	2	29	17.8468	2019	14.5	8.9234
6	australia	0.6295	-0.0182	1	15	22	59	961	591.4074	2019	16.2881	10.0239
7	austria	0.621	0.7684	13	0	0	2	2	1.2308	2019	1	0.6154
8	bangladesh	-0.8483	0.439	14	0	0	8	54	33.232	2019	6.75	4.154
9	belgium	0.659	-0.085	3	3	8	11	19	11.6928	2019	1.7273	1.063
10	botswana	-0.6943	0.6585	15	0	0	1	1	0.6154	2019	1	0.6154
11	brazil	-0.3964	-0.6983	16	0	0	5	12	7.3849	2019	2.4	1.477
12	brunei darussalam	-0.7453	0.2058	17	0	0	10	45	27.6934	2019	4.5	2.7693
13	bulgaria	-0.539	-0.1067	18	0	0	1	1	0.6154	2019	1	0.6154
14	cambodia	0.6679	-0.0217	4	6	7	14	39	24.0009	2019	2.7857	1.7144
15	cameroon	0.4315	0.877	19	0	0	1	59	36.3091	2019	59	36.3091
16	canada	-0.3307	-0.5047	20	0	0	11	108	66.4641	2019	9.8182	6.0422
17	cancer institute hospital	0.174	-0.9377	21	0	0	1	2	1.2308	2019	2	1.2308
18	chile	0.3472	-0.7668	22	0	0	2	12	7.3849	2019	6	3.6924
19	china	0.645	0.0392	2	11	16	30	240	147.698	2019	8	4.9233
20	colombia	-0.5912	0.746	23	0	0	1	1	0.6154	2019	1	0.6154
21	croatia	-0.6781	-0.3798	24	0	0	2	1	0.6154	2019	0.5	0.3077
22	czech republic	0.1812	-0.7512	25	0	0	3	64	39.3861	2019	21.3333	13.1287
23	denmark	-0.4838	0.8328	26	0	0	2	1	0.6154	2019	0.5	0.3077
24	ecuador	-0.1916	0.7312	27	0	0	1	59	36.3091	2019	59	36.3091
25	egypt	-0.2866	-0.1001	28	0	0	6	55	33.8475	2019	9.1667	5.6412
26	estonia	0.6259	-0.0342	1	10	14	3	31	19.0777	2019	10.3333	6.3592
27	ethiopia	-0.2233	-0.924	29	0	0	2	14	8.6157	2019	7	4.3079
28	fiji	-0.674	0.3909	30	0	0	2	11	6.7695	2019	5.5	3.3847
29	finland	-0.7685	0.0066	31	0	0	4	36	22.1547	2019	9	5.5387
30	france	0.6527	-0.0645	3	8	18	24	812	499.7116	2019	33.8333	20.8213
31	germany	0.6271	-0.0343	1	10	14	21	832	512.0197	2019	39.619	24.3819
32	greece	-0.9504	0.0596	32	0	0	1	1	0.6154	2019	1	0.6154
33	haiti	-0.1037	0.9561	33	0	0	2	11	6.7695	2019	5.5	3.3847
34	hong kong	0.6464	0.0394	2	11	16	23	184	113.2351	2019	8	4.9233
35	hospital	-0.933	-0.2015	34	0	0	1	1	0.6154	2019	1	0.6154
36	ibm	0.6211	-0.7685	35	0	0	1	1	0.6154	2019	1	0.6154
37	india	0.1845	0.7525	36	0	0	37	892	548.9442	2019	24.1081	14.8363
38	indonesia	0.6536	-0.0044	3	27	83	1994	3242	1995.1538	2019	1.6259	1.0006
39	institute	-0.7671	-0.5614	37	0	0	1	0	0	2019	0	0
40	iraq	0.5218	-0.8011	38	0	0	1	0	0	2019	0	0
41	irvine	-0.5522	0.5551	39	0	0	1	1	0.6154	2019	1	0.6154
42	israel	0.35	0.7673	40	0	0	2	3	1.8462	2019	1.5	0.9231
43	italy	0.6205	-0.0389	1	5	5	9	739	454.7867	2019	82.1111	50.5319
44	jakarta	0.0479	-0.9633	41	0	0	1	1	0.6154	2019	1	0.6154
45	japan	0.6575	0.0396	7	12	29	84	446	274.4721	2019	5.3095	3.2675
46	kazakhstan	-0.3448	-0.8883	42	0	0	1	1	0.6154	2019	1	0.6154
47	kingdom	-0.5576	-0.5468	43	0	0	1	7	4.3079	2019	7	4.3079
48	laos	0.6714	-0.0244	4	2	2	2	11	6.7695	2019	5.5	3.3847
49	lebanon	-0.5834	-0.7517	44	0	0	1	672	413.5544	2019	672	413.5544
50	luxembourg	-0.2849	0.1033	45	0	0	1	4	2.4616	2019	4	2.4616
51	macau	-0.1113	0.503	46	0	0	2	30	18.4622	2019	15	9.2311
52	malaysia	0.6458	0.0371	2	11	20	54	252	155.0829	2019	4.6667	2.8719
53	mexico	-0.2294	0.9227	47	0	0	3	679	417.8622	2019	226.3333	139.2874
54	mongolia	-0.4646	-0.3136	48	0	0	3	8	4.9233	2019	2.6667	1.6411
55	myanmar	0.043	0.9651	49	0	0	6	39	24.0009	2019	6.5	4.0002
