id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	administration	0.7193	0.6109	6	0	0	1	0	0	2019	0	0
2	airlangga university	0.522	-0.1913	7	0	0	1	2	1.9212	2019	2	1.9212
3	australia	-0.6371	-0.0348	1	6	7	31	73	70.1221	2019	2.3548	2.262
4	bangladesh	-0.5963	-0.0177	4	2	6	8	5	4.8029	2019	0.625	0.6004
5	belgium	0.1494	-0.9511	8	0	0	7	39	37.4625	2019	5.5714	5.3518
6	brazil	0.1529	0.939	9	0	0	2	3	2.8817	2019	1.5	1.4409
7	brunei darussalam	0.2675	0.4315	10	0	0	1	1	0.9606	2019	1	0.9606
8	cambodia	-0.0511	-0.7146	11	0	0	1	10	9.6058	2019	10	9.6058
9	canada	-0.5897	0.7932	12	0	0	3	17	16.3298	2019	5.6667	5.4433
10	china	-0.6464	-0.0303	1	12	24	22	94	90.2942	2019	4.2727	4.1043
11	colombia	0.754	-0.0326	13	0	0	1	14	13.4481	2019	14	13.4481
12	denmark	0.3222	-0.9002	14	0	0	1	2	1.9212	2019	2	1.9212
13	dominican republic	0.4687	-0.8284	15	0	0	1	1	0.9606	2019	1	0.9606
14	egypt	-0.2492	-0.7741	16	0	0	2	15	14.4087	2019	7.5	7.2043
15	estonia	-0.1688	0.9479	17	0	0	1	0	0	2019	0	0
16	ethiopia	0.9029	-0.3335	18	0	0	1	14	13.4481	2019	14	13.4481
17	extension	0.472	0.8266	19	0	0	1	0	0	2019	0	0
18	faculty of medicine	0.2944	0.2049	20	0	0	1	1	0.9606	2019	1	0.9606
19	france	-0.622	0.0802	2	1	2	4	12	11.5269	2019	3	2.8817
20	germany	-0.3399	-0.9126	21	0	0	2	3	2.8817	2019	1.5	1.4409
21	greece	0.379	-0.63	22	0	0	2	15	14.4087	2019	7.5	7.2043
22	health	0.4499	0.6104	23	0	0	2	0	0	2019	0	0
23	hong kong	-0.6326	-0.0385	1	11	16	4	17	16.3298	2019	4.25	4.0825
24	i-shou university	-0.5897	-0.7932	24	0	0	1	0	0	2019	0	0
25	india	-0.6896	0.0068	3	3	5	31	73	70.1221	2019	2.3548	2.262
26	indonesia	-0.6345	0.028	2	21	99	1992	2077	1995.1183	2019	1.0427	1.0016
27	iran	0.5702	0.4095	25	0	0	1	10	9.6058	2019	10	9.6058
28	iraq	-0.6877	0.0027	3	4	6	10	21	20.1721	2019	2.1	2.0172
29	ireland	-0.0119	-0.947	26	0	0	1	0	0	2019	0	0
30	israel	0.895	0.3456	27	0	0	2	3	2.8817	2019	1.5	1.4409
31	italy	0.548	-0.4779	28	0	0	6	37	35.5413	2019	6.1667	5.9236
