id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
16	abidin z.	-0.7785	0.5239	31	4	5	7	2	2.3554	2019.1429	0.2857	0.3365
22	abuzahra m.a.	0.1957	-0.9054	18	3	3	1	1	1.3554	2019	1	1.3554
51	adrianto h.a.	-0.4207	-0.811	3	14	14	1	1	1.3554	2019	1	1.3554
59	affandi r.	-0.8458	0.3287	1	5	5	4	3	4.0662	2019	0.75	1.0166
92	aidi m.n.	-0.4107	-0.8075	3	3	6	5	2	2.7108	2019	0.4	0.5422
102	akbar m.r.	0.7736	-0.3998	16	8	9	1	0	0	2019	0	0
108	akiyama t.	0.555	-0.751	21	7	12	2	2	2.7108	2019	1	1.3554
135	alikodra h.s.	-0.2341	-0.5885	33	3	6	5	1	1.3554	2019	0.2	0.2711
136	alimuddin a.	0.5094	-0.555	34	3	6	7	6	8.1324	2019	0.8571	1.1618
149	amandita f.y.	0.8549	-0.175	11	8	8	1	3	4.0662	2019	3	4.0662
157	ammer c.	0.8674	-0.1331	9	15	20	2	7	9.4878	2019	3.5	4.7439
163	andarwulan n.	0.5747	0.1234	28	4	8	9	16	21.6865	2019	1.7778	2.4096
166	andina y.	-0.8453	0.3294	1	5	5	1	0	0	2019	0	0
175	anggraini n.p.	-0.803	-0.1609	6	4	4	3	0	0	2019	0	0
186	anshari g.	0.2825	0.8454	2	3	3	1	2	2.7108	2019	2	2.7108
187	anshori m.f.	0.7727	-0.4014	16	5	5	1	4	5.4216	2019	4	5.4216
194	anwar e.	0.8244	0.4432	20	7	9	5	14	18.9757	2019	2.8	3.7951
201	aoki k.j.	0.6877	0.6085	8	13	13	1	8	10.8432	2019	8	10.8432
215	apriyanto a.	0.7936	-0.3621	5	14	23	3	2	2.7108	2019	0.6667	0.9036
219	arafat d.	-0.8031	-0.1608	6	4	4	6	0	0	2019	0	0
223	archer-nicholls s.	-0.4214	-0.8107	3	3	3	1	5	6.777	2019	5	6.777
228	ardiansyah m.	0.9368	0.0516	22	3	3	4	3	4.0662	2019	0.75	1.0166
231	ardie s.w.	0.7835	-0.3818	16	11	13	7	7	9.4878	2019	1	1.3554
240	arief h.	-0.6627	0.6384	12	6	6	1	0	0	2019	0	0
247	arifanti v.b.	0.2683	0.8531	17	7	7	1	18	24.3973	2019	18	24.3973
261	ariyanto d.	-0.7635	-0.125	10	9	16	5	7	9.4878	2019	1.4	1.8976
262	ariyanto e.f.	-0.8562	-0.2142	7	10	10	1	0	0	2019	0	0
269	arnold s.r.	-0.4205	-0.8112	3	15	15	2	6	8.1324	2019	3	4.0662
275	artanti n.	0.4997	0.7497	13	6	6	1	0	0	2019	0	0
276	artika i.m.	0.6838	-0.609	4	8	8	4	7	9.4878	2019	1.75	2.372
288	asih nawangsih a.	-0.8396	0.3381	1	7	9	1	1	1.3554	2019	1	1.3554
298	astuti r.i.	-0.8308	0.3489	1	2	2	5	7	9.4878	2019	1.4	1.8976
299	aswidinnoor h.	0.7727	-0.4013	16	5	5	4	3	4.0662	2019	0.75	1.0166
300	athaillah z.a.	0.4998	0.7495	13	6	6	1	0	0	2019	0	0
304	atmaja h.	-0.8557	-0.2147	7	15	19	2	1	1.3554	2019	0.5	0.6777
332	bachtiar i.	-0.8043	-0.1572	6	4	4	1	4	5.4216	2019	4	5.4216
334	bado k.j.h.	0.8544	-0.1745	11	7	7	1	1	1.3554	2019	1	1.3554
350	ban-tokuda t.	-0.7507	-0.114	10	4	8	2	1	1.3554	2019	0.5	0.6777
361	bashari m.h.	-0.8554	-0.2144	7	15	19	2	1	1.3554	2019	0.5	0.6777
367	basuki i.	0.2812	0.8482	2	3	3	1	2	2.7108	2019	2	2.7108
371	batubara i.	-0.8306	0.3495	1	2	2	8	12	16.2648	2019	1.5	2.0331
374	bavykin d.v.	0.6875	0.6082	8	14	22	3	11	14.9094	2019	3.6667	4.9698
383	bengen d.g.	-0.7633	-0.1247	10	7	12	14	16	21.6865	2019	1.1429	1.549
392	bintang m.	0.8021	-0.3744	5	3	3	7	4	5.4216	2019	0.5714	0.7745
398	bodewes r.	0.6833	-0.6083	4	8	8	1	4	5.4216	2019	4	5.4216
402	boer r.	0.9367	0.0517	22	3	3	7	18	24.3973	2019	2.5714	3.4853
405	boone kauffman j.	0.2817	0.8497	2	3	3	1	4	5.4216	2019	4	5.4216
407	boswell j.a.	0.6869	0.6074	8	9	11	1	7	9.4878	2019	7	9.4878
408	bourgeau-chavez l.	0.2826	0.8466	2	3	3	1	5	6.777	2019	5	6.777
410	bramandito a.	-0.8029	-0.1606	6	4	4	1	0	0	2019	0	0
412	brambach f.	0.855	-0.1753	11	7	7	1	1	1.3554	2019	1	1.3554
436	budiman l.f.	0.7938	-0.3622	5	14	23	2	2	2.7108	2019	1	1.3554
449	buwono i.d.	0.5098	-0.5553	34	3	6	2	1	1.3554	2019	0.5	0.6777
452	cahyadinata i.	-0.653	-0.6856	37	2	4	3	5	6.777	2019	1.6667	2.259
460	cameron c.	0.2681	0.8535	17	5	5	1	8	10.8432	2019	8	10.8432
472	cartealy i.c.	0.793	-0.3624	5	4	4	1	1	1.3554	2019	1	1.3554
481	chen j.	0.6871	0.6087	8	13	13	1	8	10.8432	2019	8	10.8432
483	chimner r.	0.2816	0.846	2	3	3	1	5	6.777	2019	5	6.777
492	clendenning j.n.	0.268	0.8534	17	5	5	1	8	10.8432	2019	8	10.8432
496	colijn f.	-0.8032	-0.1606	6	11	11	1	2	2.7108	2019	2	2.7108
498	conibear l.	-0.4209	-0.8103	3	3	3	1	5	6.777	2019	5	6.777
506	craven d.	0.868	-0.1321	9	12	12	1	5	6.777	2019	5	6.777
511	da silva m.a.	0.6883	0.6094	8	9	11	1	7	9.4878	2019	7	9.4878
513	daffa d.m.	-0.8565	-0.2147	7	10	10	1	0	0	2019	0	0
516	damar a.	-0.8037	-0.1596	6	16	16	10	4	5.4216	2019	0.4	0.5422
555	del aguila pasquel j.	0.2815	0.8467	2	3	3	1	5	6.777	2019	5	6.777
556	del castillo torres d.	0.2832	0.8474	2	3	3	1	5	6.777	2019	5	6.777
570	devi a.f.	0.4997	0.7498	13	6	6	1	0	0	2019	0	0
576	dewi f.n.a.	0.5746	0.1233	28	4	8	3	11	14.9094	2019	3.6667	4.9698
578	dewi i.s.	0.7734	-0.3999	16	9	12	4	5	6.777	2019	1.25	1.6943
595	diana r.	0.2679	0.8535	17	7	7	2	18	24.3973	2019	9	12.1986
604	dinarti d.	0.793	-0.3619	5	4	4	1	1	1.3554	2019	1	1.3554
612	diyantoro d.	0.683	-0.609	4	8	8	1	4	5.4216	2019	4	5.4216
613	"diyantoro, pribadi e.s."	0.6842	-0.6084	4	14	14	1	0	0	2019	0	0
624	dolorosa m.t.	0.8241	0.4436	20	3	3	2	5	6.777	2019	2.5	3.3885
632	duteurtre g.	0.437	-0.6616	35	3	4	2	1	1.3554	2019	0.5	0.6777
644	edler k.j.	0.6869	0.6084	8	9	11	1	7	9.4878	2019	7	9.4878
656	efransjah	-0.2341	-0.5887	33	3	6	2	1	1.3554	2019	0.5	0.6777
658	ehbrecht m.	0.8676	-0.1316	9	12	12	2	10	13.554	2019	5	6.777
681	erkelenz j.	0.8682	-0.1318	9	12	12	1	5	6.777	2019	5	6.777
