id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
14	abdulmadjid s.n.	-0.2511	0.2297	3	24	48	2	9	9.4968	2019	4.5	4.7484
19	abdurrachman m.	-0.2317	-0.3308	10	7	7	3	3	3.1656	2019	1	1.0552
30	achiari h.	0.4865	-0.7758	6	6	6	3	25	26.38	2019	8.3333	8.7933
37	adhinugraha a.	-0.8978	-0.2559	26	4	4	1	0	0	2019	0	0
38	adhiutama a.	0.6979	-0.6346	37	2	4	2	5	5.276	2019	2.5	2.638
40	adi k.	-0.1682	0.2259	8	7	16	3	8	8.4416	2019	2.6667	2.8139
45	adiono t.	-0.7302	0.3733	27	6	24	38	29	30.6008	2019	0.7632	0.8053
57	adnyana i.k.	-0.8081	-0.4582	17	9	9	7	8	8.4416	2019	1.1429	1.2059
65	afifah k.	-0.7304	0.3732	27	6	10	1	3	3.1656	2019	3	3.1656
69	afini i.	0.1103	0.9125	9	6	6	2	4	4.2208	2019	2	2.1104
80	agusta m.k.	0.2861	0.2052	11	14	30	6	17	17.9384	2019	2.8333	2.9897
83	agustiadi t.	-0.6777	-0.6419	12	4	14	2	16	16.8832	2019	8	8.4416
111	aisha a.n.	-0.1979	-0.9042	19	5	5	3	2	2.1104	2019	0.6667	0.7035
125	akbar f.t.	0.286	0.2052	11	9	12	7	3	3.1656	2019	0.4286	0.4522
143	al-ghifary f.	-0.371	0.8653	32	5	6	1	4	4.2208	2019	4	4.2208
156	alfarafisa n.m.	0.1102	0.9122	9	11	12	1	3	3.1656	2019	3	3.1656
165	ali m.h.	-0.1669	0.2257	8	6	6	1	7	7.3864	2019	7	7.3864
167	aliah a.i.	-0.7319	0.5769	28	6	8	1	4	4.2208	2019	4	4.2208
172	aligita w.	-0.808	-0.4582	17	4	4	1	4	4.2208	2019	4	4.2208
175	aliwarga l.	0.909	-0.0709	4	9	16	1	0	0	2019	0	0
187	amal r.	0.8921	0.1942	5	18	20	5	27	28.4904	2019	5.4	5.6981
194	amalia r.	0.5325	0.7614	22	5	5	1	5	5.276	2019	5	5.276
215	amir m.f.	-0.2371	-0.3306	10	7	14	2	8	8.4416	2019	4	4.2208
222	anam c.	-0.1695	0.2258	8	10	34	9	22	23.2144	2019	2.4444	2.5794
271	anindya s.f.	-0.7301	0.3733	27	6	18	2	4	4.2208	2019	2	2.1104
272	"anindyajati, riani c."	-0.9057	0.2198	29	5	5	1	1	1.0552	2019	1	1.0552
274	anisah s.	0.9085	-0.0761	4	5	5	1	29	30.6008	2019	29	30.6008
304	aprilliani d.	-0.8082	-0.4582	17	4	4	1	4	4.2208	2019	4	4.2208
330	arida e.	0.6613	0.6172	2	24	48	4	16	16.8832	2019	4	4.2208
339	arif i.	-0.1699	0.2258	8	9	16	10	17	17.9384	2019	1.7	1.7938
370	ariztegui d.	-0.2213	-0.3838	1	13	19	2	13	13.7176	2019	6.5	6.8588
372	arman a.a.	-0.5174	-0.7791	14	7	8	3	9	9.4968	2019	3	3.1656
381	artarini a.	-0.8082	-0.458	17	4	4	1	4	4.2208	2019	4	4.2208
389	aryanti p.t.p.	0.9091	-0.0708	4	9	18	5	19	20.0488	2019	3.8	4.0098
391	aránguiz r.	0.4866	-0.7762	6	12	12	2	40	42.2081	2019	20	21.104
395	ashat a.	0.9111	-0.2252	35	2	2	2	6	6.3312	2019	3	3.1656
417	atarita f.r.	-0.2316	-0.3311	10	9	12	2	1	1.0552	2019	0.5	0.5276
424	aulia a.n.	-0.8856	0.0979	15	7	14	1	11	11.6072	2019	11	11.6072
428	aulia s.	0.0674	-0.9224	13	3	3	4	12	12.6624	2019	3	3.1656
433	austin c.c.	0.6597	0.6178	2	6	6	1	4	4.2208	2019	4	4.2208
479	backlin a.r.	0.6595	0.6167	2	6	6	1	4	4.2208	2019	4	4.2208
493	bando y.	0.3215	0.2266	7	13	18	4	33	34.8217	2019	8.25	8.7054
504	barlian a.	0.1102	0.9122	9	14	20	5	5	5.276	2019	1	1.0552
511	basri m.h.	0.6309	-0.3992	38	2	4	5	4	4.2208	2019	0.8	0.8442
517	bauer k.w.	-0.2243	-0.3849	1	13	19	2	13	13.7176	2019	6.5	6.8588
518	baur k.	0.7766	-0.5286	33	2	2	1	2	2.1104	2019	2	2.1104
519	bavykin d.v.	0.3036	0.2159	7	4	8	2	27	28.4904	2019	13.5	14.2452
522	bedford n.m.	0.8917	0.1941	5	18	20	2	20	21.104	2019	10	10.552
526	bella c.	0.9094	-0.0705	4	4	8	2	17	17.9384	2019	8.5	8.9692
527	benning l.g.	-0.2232	-0.3871	1	13	19	1	9	9.4968	2019	9	9.4968
539	bi k.	0.6604	0.6157	2	6	6	1	2	2.1104	2019	2	2.1104
541	bijaksana s.	-0.228	-0.3588	1	41	94	23	45	47.4841	2019	1.9565	2.0645
542	bilal m.	-0.2542	0.2288	3	21	21	2	8	8.4416	2019	4	4.2208
551	blom m.p.k.	0.6629	0.6175	2	6	6	1	4	4.2208	2019	4	4.2208
556	braden m.	-0.5449	-0.6528	16	9	18	1	5	5.276	2019	5	5.276
557	bragg j.g.	0.6629	0.6182	2	6	6	1	4	4.2208	2019	4	4.2208
564	brüning d.	-0.5448	-0.6529	16	9	18	1	5	5.276	2019	5	5.276
566	buchari b.	0.8066	0.4647	23	5	5	1	0	0	2019	0	0
574	budi w.s.	-0.1956	0.2267	8	30	43	4	18	18.9936	2019	4.5	4.7484
581	budiman b.a.	-0.8979	-0.2559	26	6	7	9	2	2.1104	2019	0.2222	0.2345
624	carretero m.a.	0.6598	0.6184	2	6	6	1	4	4.2208	2019	4	4.2208
643	charvia l.	-0.1492	0.2252	8	4	4	1	0	0	2019	0	0
653	chintya l.	-0.732	0.577	28	2	2	1	8	8.4416	2019	8	8.4416
678	crowe s.a.	-0.2219	-0.3835	1	13	19	2	13	13.7176	2019	6.5	6.8588
680	cui y.	0.8919	0.1936	5	10	10	1	11	11.6072	2019	11	11.6072
