id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
16	abdullah s.r.s.	-0.0274	0.0815	10	7	24	2	18	26.5137	2019	9	13.2569
29	adam s.	-0.5123	-0.7572	3	5	5	1	0	0	2019	0	0
54	adni navastara d.	-0.5171	-0.7531	3	2	2	1	1	1.473	2019	1	1.473
56	adzkiya d.	0.6172	0.6952	14	5	5	15	8	11.7839	2019	0.5333	0.7856
76	agustin h.c.k.	-0.786	-0.3183	13	7	15	3	2	2.946	2019	0.6667	0.982
78	agustina f.	0.5239	0.7722	24	5	6	3	5	7.3649	2019	1.6667	2.455
84	ahmad t.	0.8877	-0.2935	19	4	5	19	28	41.2436	2019	1.4737	2.1707
101	akbar r.j.	-0.8947	-0.0215	20	4	4	2	1	1.473	2019	0.5	0.7365
126	al-muttaqii m.	0.6411	0.3112	28	3	12	3	2	2.946	2019	0.6667	0.982
145	ali b.	0.2926	0.8845	21	3	3	1	1	1.473	2019	1	1.473
158	altway a.	-0.1709	0.9148	15	6	6	19	16	23.5678	2019	0.8421	1.2404
172	amir m.f.	-0.012	0.8383	16	7	14	2	8	11.7839	2019	4	5.8919
198	anggono j.	-0.1772	-0.9085	11	10	10	2	8	11.7839	2019	4	5.8919
200	anggoro r.	0.8875	-0.294	19	3	3	5	7	10.3109	2019	1.4	2.0622
206	anggris f.	-0.5124	-0.7574	3	5	5	1	0	0	2019	0	0
226	"antoni, purwaningsih h."	-0.177	-0.9084	11	6	6	1	8	11.7839	2019	8	11.7839
227	antonov v.e.	0.5891	-0.7092	8	8	8	1	9	13.2569	2019	9	13.2569
229	anuar mohamed m.k.	-0.171	-0.7568	22	5	5	2	10	14.7298	2019	5	7.3649
237	aparamarta h.	-0.0132	-0.922	9	9	9	1	1	1.473	2019	1	1.473
255	ardianto b.i.	-0.1712	0.9149	15	4	4	1	0	0	2019	0	0
269	ariatedja j.b.	0.4413	0.8252	26	4	5	2	1	1.473	2019	0.5	0.7365
280	arifin a.z.	-0.5122	-0.7574	3	8	9	12	9	13.2569	2019	0.75	1.1047
295	ariwiyono n.	0.8049	0.4462	7	3	3	1	2	2.946	2019	2	2.946
303	arohman a.w.	0.9024	-0.0023	1	5	10	3	0	0	2019	0	0
309	aruan i.	-0.0133	-0.9216	9	4	4	1	0	0	2019	0	0
330	asrori m.z.	0.4552	0.4736	17	7	14	2	7	10.3109	2019	3.5	5.1554
333	astuti e.r.	-0.5119	-0.7575	3	6	6	5	7	10.3109	2019	1.4	2.0622
355	aziz m.n.	0.8878	-0.2934	19	1	2	2	6	8.8379	2019	3	4.419
365	bagastyo a.y.	0.5239	0.7723	24	5	6	7	12	17.6758	2019	1.7143	2.5251
375	bakar r.a.	0.9018	0.0037	1	7	7	3	2	2.946	2019	0.6667	0.982
383	bartos a.	-0.1773	-0.9086	11	6	6	1	8	11.7839	2019	8	11.7839
402	belgiawan p.f.	0.7125	0.5992	18	6	6	1	15	22.0948	2019	15	22.0948
408	bhaskara gautama i.m.	-0.8946	-0.0217	20	3	3	1	0	0	2019	0	0
410	bhuana d.s.	-0.1707	0.9147	15	4	4	5	2	2.946	2019	0.4	0.5892
412	bijaksana s.	-0.0119	0.8385	16	7	14	3	9	13.2569	2019	3	4.419
416	bintang m.r.	-0.8961	-0.086	34	2	2	1	0	0	2019	0	0
421	bobanto m.d.	-0.0136	-0.9221	9	4	4	1	0	0	2019	0	0
434	budiantara i.n.	-0.1393	0.7087	29	3	12	7	9	13.2569	2019	1.2857	1.8938
438	budiawati g.i.	-0.896	-0.0861	34	3	3	1	1	1.473	2019	1	1.473
466	cahyono b.	0.9019	0.0051	1	3	3	2	3	4.419	2019	1.5	2.2095
471	caro s.	0.8709	0.2543	25	4	5	1	5	7.3649	2019	5	7.3649
485	che yunus m.a.	-0.4548	0.7908	6	4	4	1	4	5.8919	2019	4	5.8919
494	chimayati r.l.	-0.0252	0.0718	10	4	18	3	6	8.8379	2019	2	2.946
510	ciptomulyono u.	0.1492	0.9045	4	3	6	6	9	13.2569	2019	1.5	2.2095
513	cornelius k.	0.1443	0.9054	4	3	3	1	0	0	2019	0	0
518	da silva j.	0.902	-0.0008	1	12	15	1	8	11.7839	2019	8	11.7839
558	denys r.v.	0.5891	-0.709	8	12	13	3	15	22.0948	2019	5	7.3649
561	destio r.	0.1536	-0.9034	5	5	5	1	1	1.473	2019	1	1.473
580	dewi y.s.	0.693	-0.6072	32	1	2	2	1	1.473	2019	0.5	0.7365
596	djanali s.	0.8877	-0.2939	19	4	4	5	3	4.419	2019	0.6	0.8838
623	efendi f.	0.1594	-0.9027	5	3	3	2	5	7.3649	2019	2.5	3.6825
625	effendi m.k.	-0.7856	-0.3193	13	9	48	7	10	14.7298	2019	1.4286	2.1043
674	fachruddin m.i.	0.2927	0.8843	21	3	3	1	1	1.473	2019	1	1.473
687	fadly t.a.	0.4551	0.473	17	7	10	2	5	7.3649	2019	2.5	3.6825
691	fahmi i.	0.1539	-0.9038	5	5	5	1	1	1.473	2019	1	1.473
703	fajar a.	-0.888	-0.0748	2	1	2	2	1	1.473	2019	0.5	0.7365
724	farkas á.e.	-0.1774	-0.9085	11	6	6	1	8	11.7839	2019	8	11.7839
738	fatichah c.	-0.5175	-0.7536	3	2	2	21	12	17.6758	2019	0.5714	0.8417
758	fauziyah n.a.	0.4552	0.4733	17	7	18	5	9	13.2569	2019	1.8	2.6514
767	felayati f.m.	0.902	-0.0024	1	5	5	3	3	4.419	2019	1	1.473
774	fikri m.	-0.8804	-0.0776	2	3	4	1	10	14.7298	2019	10	14.7298
790	firmanto a.	-0.8852	-0.0801	2	5	7	1	1	1.473	2019	1	1.473
799	fitriani n.	0.1536	-0.9037	5	9	10	6	2	2.946	2019	0.3333	0.491
812	gan d.	0.8707	0.2542	25	3	3	1	0	0	2019	0	0
821	gautama b.	-0.8947	-0.0213	20	3	3	1	1	1.473	2019	1	1.473
824	gemardi a.	0.1538	-0.9035	5	5	5	2	1	1.473	2019	0.5	0.7365
841	gorsse s.	0.5891	-0.7094	8	7	7	1	5	7.3649	2019	5	7.3649
851	gunawan i.	0.1446	0.9051	4	8	11	3	4	5.8919	2019	1.3333	1.964
853	gunawan s.	-0.0132	-0.922	9	11	11	10	4	5.8919	2019	0.4	0.5892
862	guzik m.n.	0.589	-0.7092	8	7	7	1	5	7.3649	2019	5	7.3649
865	habibi a.n.	-0.8734	-0.0841	2	2	2	1	2	2.946	2019	2	2.946
882	hajar g.	0.1444	0.9048	4	3	3	1	0	0	2019	0	0
