id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
21	abotsi e.e.	0.897	-0.1499	8	6	17	1	5	4.7158	2019	5	4.7158
23	abraham j.b.	-0.8586	-0.2068	20	7	7	3	1	0.9432	2019	0.3333	0.3144
25	absor m.a.u.	0.8879	-0.3087	33	3	4	3	12	11.3179	2019	4	3.7726
63	aditya t.	-0.8811	0.3227	23	5	5	3	3	2.8295	2019	1	0.9432
66	adji t.n.	0.3222	0.7572	3	18	55	9	19	17.9199	2019	2.1111	1.9911
72	afandy d.	0.3776	-0.8453	17	3	3	3	3	2.8295	2019	1	0.9432
74	affandi y.	0.8879	-0.3088	33	2	2	1	3	2.8295	2019	3	2.8295
84	afoakwa e.o.	0.8959	-0.1502	8	6	17	1	5	4.7158	2019	5	4.7158
88	agniy r.f.	0.3217	0.757	3	17	33	6	12	11.3179	2019	2	1.8863
91	agus c.	-0.7408	-0.0722	10	19	37	9	15	14.1473	2019	1.6667	1.5719
109	ahdyani r.	0.7565	0.4752	18	4	4	1	2	1.8863	2019	2	1.8863
110	ahmad f.	-0.6228	-0.4363	38	2	2	2	2	1.8863	2019	1	0.9432
114	ahmad r.a.	-0.8376	-0.1075	4	19	19	6	5	4.7158	2019	0.8333	0.786
144	"akhyar, husaini, iskandar h."	-0.6228	-0.4363	38	2	2	1	1	0.9432	2019	1	0.9432
145	"akhyar, maliwemu e.u.k."	-0.6228	-0.4363	38	2	2	2	3	2.8295	2019	1.5	1.4147
146	akit h.	-0.4986	0.4528	24	6	10	3	3	2.8295	2019	1	0.9432
157	alam g.	0.7736	0.4465	5	3	3	2	4	3.7726	2019	2	1.8863
166	aletta a.	-0.6752	-0.6113	6	21	21	1	4	3.7726	2019	4	3.7726
180	alhasyimi a.a.	0.6628	-0.3467	41	3	10	5	6	5.6589	2019	1.2	1.1318
189	alimon a.r.	-0.4985	0.4528	24	6	10	3	3	2.8295	2019	1	0.9432
194	alleta a.	-0.6756	-0.6102	6	15	15	1	6	5.6589	2019	6	5.6589
208	amalia w.	0.7261	-0.5882	26	3	3	1	3	2.8295	2019	3	2.8295
209	amalina n.d.	-0.7641	0.5006	9	4	4	1	2	1.8863	2019	2	1.8863
212	amanda c.	-0.0506	-0.9219	16	6	6	1	2	1.8863	2019	2	1.8863
218	amimmal y.m.n.	-0.5362	0.7473	13	4	4	1	1	0.9432	2019	1	0.9432
219	amin c.	0.0458	0.9375	42	2	2	3	2	1.8863	2019	0.6667	0.6288
233	andalas m.	-0.676	-0.6114	6	21	34	2	10	9.4315	2019	5	4.7158
234	andaru r.	-0.881	0.3227	23	2	2	3	4	3.7726	2019	1.3333	1.2575
237	andayani t.m.	0.5239	-0.7837	34	3	6	4	3	2.8295	2019	0.75	0.7074
254	andrianus j.	-0.0504	-0.922	16	6	6	1	2	1.8863	2019	2	1.8863
258	anggara f.	-0.1987	-0.9004	15	6	6	1	2	1.8863	2019	2	1.8863
288	anstey n.m.	-0.8252	-0.0797	2	20	20	6	20	18.8631	2019	3.3333	3.1438
297	anwar s.	-0.6757	-0.6108	6	21	34	3	10	9.4315	2019	3.3333	3.1438
298	anwar s.l.	0.8844	0.1438	1	26	36	6	11	10.3747	2019	1.8333	1.7291
334	arif m.f.	-0.4199	-0.8337	28	4	4	3	0	0	2019	0	0
347	aris marfai m.	0.3256	0.7504	3	6	12	1	0	0	2019	0	0
351	aristya g.r.	-0.4199	-0.8337	28	5	5	5	1	0.9432	2019	0.2	0.1886
356	ariyanto t.	-0.5364	0.7472	13	12	15	14	14	13.2042	2019	1	0.9432
361	armandari i.	-0.7638	0.5008	9	8	8	1	0	0	2019	0	0
369	artama w.t.	0.3597	-0.5377	29	5	8	6	5	4.7158	2019	0.8333	0.786
373	arwiyanto t.	0.5324	-0.5097	21	3	3	1	1	0.9432	2019	1	0.9432
374	aryaguna p.a.	0.6001	0.7269	39	3	3	1	4	3.7726	2019	4	3.7726
375	aryandono t.	0.8853	0.1365	1	14	28	8	22	20.7494	2019	2.75	2.5937
387	asikin a.i.z.	-0.0504	-0.9218	16	8	8	2	7	6.6021	2019	3.5	3.301
406	astuti i.	0.885	0.1446	1	10	10	3	6	5.6589	2019	2	1.8863
415	as’ari a.h.	0.146	-0.8989	7	8	17	1	7	6.6021	2019	7	6.6021
423	atmanto w.	-0.7431	-0.0723	10	9	11	1	2	1.8863	2019	2	1.8863
434	avanti w.s.	0.8846	0.1435	1	18	20	2	5	4.7158	2019	2.5	2.3579
464	bahiuddin i.	-0.0593	0.9311	22	7	10	5	23	21.6926	2019	4.6	4.3385
466	bahtiar i.y.	0.322	0.7557	3	8	8	1	4	3.7726	2019	4	3.7726
468	baihaqi z.a.	-0.7737	0.3366	25	4	4	1	2	1.8863	2019	2	1.8863
469	bailie r.s.	-0.8201	-0.0691	2	12	12	1	1	0.9432	2019	1	0.9432
474	bambang a.	-0.6764	-0.6119	6	15	15	1	6	5.6589	2019	6	5.6589
475	bangs m.j.	-0.837	-0.108	4	8	8	2	10	9.4315	2019	5	4.7158
479	bantara i.	-0.7423	-0.0722	10	18	22	2	4	3.7726	2019	2	1.8863
503	belgiawan p.f.	0.0307	0.7372	35	1	1	1	2	1.8863	2019	2	1.8863
543	boulanger c.	-0.3299	-0.8713	27	4	4	1	0	0	2019	0	0
559	budhi r.h.s.	0.7261	-0.5883	26	3	3	2	0	0	2019	0	0
560	budhijanto w.	-0.8601	0.0653	11	8	8	5	7	6.6021	2019	1.4	1.3204
562	"budhijanto, rochmadi, yuliestyan a."	-0.2609	0.5586	36	3	10	3	9	8.4884	2019	3	2.8295
563	budhiparama n.c.	-0.0506	-0.9218	16	8	8	1	7	6.6021	2019	7	6.6021
567	budi r.f.s.	0.6469	-0.688	31	2	2	1	0	0	2019	0	0
575	budijitno s.	0.884	0.1436	1	10	10	1	2	1.8863	2019	2	1.8863
576	budiman a.	-0.2609	0.5586	36	3	10	8	14	13.2042	2019	1.75	1.6505
579	budisatria i.g.s.	0.3596	-0.5377	29	5	8	15	3	2.8295	2019	0.2	0.1886
585	burdam f.h.	-0.8381	-0.1085	4	8	8	1	9	8.4884	2019	9	8.4884
590	cabral-lim l.	0.8096	-0.4282	12	5	5	1	2	1.8863	2019	2	1.8863
593	cahyadi a.	0.3237	0.7542	3	22	63	16	17	16.0336	2019	1.0625	1.0021
595	cahyani a.	0.897	-0.1517	8	13	54	3	0	0	2019	0	0
596	cahyanti p.a.b.	-0.7421	-0.0722	10	18	33	3	5	4.7158	2019	1.6667	1.5719
602	cahyono b.k.	-0.881	0.3226	23	2	2	1	0	0	2019	0	0
605	caiquo b.a.	0.8964	-0.1548	8	10	22	1	9	8.4884	2019	9	8.4884
619	chalfein f.	-0.8384	-0.108	4	8	8	1	9	8.4884	2019	9	8.4884
621	chamim a.n.n.	-0.1989	-0.9002	15	7	8	1	16	15.0905	2019	16	15.0905
622	chan d.	0.8103	-0.4278	12	5	5	1	2	1.8863	2019	2	1.8863
623	chan g.	-0.8213	-0.0695	2	11	11	1	1	0.9432	2019	1	0.9432
625	chan s.	0.8103	-0.4284	12	5	5	1	2	1.8863	2019	2	1.8863
635	che man y.b.	0.7742	0.4433	5	10	11	1	2	1.8863	2019	2	1.8863
639	chen h.-w.	-0.5435	-0.7632	30	5	13	2	4	3.7726	2019	2	1.8863
651	cho s.	0.2117	-0.4073	19	5	5	1	2	1.8863	2019	2	1.8863
655	choi n.	0.2118	-0.407	19	5	5	1	2	1.8863	2019	2	1.8863
658	choiri s.	0.759	0.4709	18	7	7	6	8	7.5452	2019	1.3333	1.2575
661	chong-tin t.	0.81	-0.4282	12	14	14	1	1	0.9432	2019	1	0.9432
662	choridah l.	0.8848	0.1435	1	18	20	6	8	7.5452	2019	1.3333	1.2575
711	danardono	0.5093	-0.3478	37	3	6	6	2	1.8863	2019	0.3333	0.3144
715	danarti r.	0.7565	0.4751	18	4	6	3	4	3.7726	2019	1.3333	1.2575
739	darwito d.	0.8855	0.1443	1	10	10	1	2	1.8863	2019	2	1.8863
740	"darwito, aryandono t."	0.8847	0.1436	1	18	20	1	4	3.7726	2019	4	3.7726
748	davidson l.	-0.8216	-0.0695	2	11	11	1	1	0.9432	2019	1	0.9432
752	de cooman l.	0.8964	-0.1499	8	6	17	1	5	4.7158	2019	5	4.7158
758	de winne a.	0.898	-0.1505	8	6	17	1	5	4.7158	2019	5	4.7158
764	"deendarlianto, hudaya a.z."	-0.8616	0.0702	11	8	10	1	0	0	2019	0	0
