id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
9	abdullah i.	0.3336	-0.8561	10	10	10	3	6	4.957	2019	2	1.6523
10	abdullah m.	0.8678	0.1676	18	3	3	6	3	2.4785	2019	0.5	0.4131
25	abuzairi t.	-0.0241	0.927	25	4	8	6	7	5.7831	2019	1.1667	0.9639
26	achadi a.	0.8744	0.1185	3	23	23	1	2	1.6523	2019	2	1.6523
35	adawiyah r.	-0.8644	0.2437	1	6	6	2	0	0	2019	0	0
56	aditianingsih d.	0.4135	-0.4113	8	15	42	4	4	3.3046	2019	1	0.8262
62	adityosulindro s.	0.2001	-0.9103	16	4	4	3	1	0.8262	2019	0.3333	0.2754
70	adnan f.d.s.f.	-0.8641	0.2439	1	6	6	1	0	0	2019	0	0
73	adriandi g.	0.5404	0.7652	32	3	6	1	0	0	2019	0	0
74	adriani m.	0.9268	-0.1404	29	3	3	7	6	4.957	2019	0.8571	0.7081
84	affiandi z.n.	0.3694	0.7954	12	3	3	1	0	0	2019	0	0
110	agustina r.	0.8683	0.1643	18	11	13	3	38	31.3941	2019	12.6667	10.4647
115	ahli v.f.	-0.111	0.9325	30	3	3	1	0	0	2019	0	0
118	ahmad s.a.	0.8738	0.1198	3	4	4	1	36	29.7417	2019	36	29.7417
128	ainun n.	-0.8595	-0.2695	2	10	10	1	0	0	2019	0	0
134	aisyah n.	0.4387	-0.7434	28	5	5	4	7	5.7831	2019	1.75	1.4458
137	aji a.p.	0.5404	0.7653	32	3	8	4	6	4.957	2019	1.5	1.2392
179	alhamid m.i.	0.4387	-0.7434	28	4	4	11	23	19.0017	2019	2.0909	1.7274
189	ali w.	-0.4868	0.7966	22	4	4	1	3	2.4785	2019	3	2.4785
210	amalina n.	0.8825	0.0618	15	4	4	1	2	1.6523	2019	2	1.6523
255	andika r.	-0.487	0.7965	22	6	8	3	7	5.7831	2019	2.3333	1.9277
311	anwar e.	-0.2033	0.9137	24	5	5	4	13	10.7401	2019	3.25	2.685
319	aoulad fares d.	0.413	-0.4108	8	13	13	1	1	0.8262	2019	1	0.8262
322	apriandanu d.o.b.	0.4961	-0.1541	19	3	3	5	16	13.2186	2019	3.2	2.6437
331	apriono c.	0.5405	0.7653	32	3	10	12	11	9.0878	2019	0.9167	0.7573
344	ardian l.j.	-0.86	-0.2688	2	11	11	1	7	5.7831	2019	7	5.7831
358	ariane a.	-0.8592	-0.2694	2	10	10	3	3	2.4785	2019	1	0.8262
376	arif m.m.	0.1646	0.925	31	3	3	1	2	1.6523	2019	2	1.6523
380	arifin m.	-0.9048	-0.0227	4	8	10	1	2	1.6523	2019	2	1.6523
400	arsianti a.	-0.2033	0.9136	24	3	3	4	3	2.4785	2019	0.75	0.6196
408	aruan d.t.h.	0.3101	0.8911	35	2	2	2	5	4.1308	2019	2.5	2.0654
410	arumsari s.	-0.5244	-0.7686	14	8	8	2	1	0.8262	2019	0.5	0.4131
413	aryana i.g.p.s.	-0.8594	-0.2684	2	11	11	1	7	5.7831	2019	7	5.7831
446	astrella c.	0.8827	0.0617	15	8	10	2	3	2.4785	2019	1.5	1.2392
466	aulidtyo r.	0.3695	0.796	12	3	3	1	0	0	2019	0	0
479	ayundini g.	0.8827	0.0616	15	8	10	2	3	2.4785	2019	1.5	1.2392
482	ayuningtyas d.	0.8744	0.1184	3	23	23	3	3	2.4785	2019	1	0.8262
486	azeti r.a.	-0.9051	-0.0117	4	6	6	1	3	2.4785	2019	3	2.4785
502	azzahro f.	-0.111	0.9325	30	3	3	6	6	4.957	2019	1	0.8262
513	bagus apriandanu d.o.	0.496	-0.1539	19	3	3	2	11	9.0878	2019	5.5	4.5439
520	bahtiar a.	-0.2033	0.9136	24	5	6	4	6	4.957	2019	1.5	1.2392
564	batoz j.-l.	0.0959	-0.9357	33	3	3	1	2	1.6523	2019	2	1.6523
586	berawi a.r.b.	0.3679	0.7953	12	3	3	1	8	6.6093	2019	8	6.6093
587	berawi m.a.	0.3687	0.7956	12	10	24	15	32	26.4371	2019	2.1333	1.7625
589	berger j.	0.759	-0.4933	5	5	5	1	6	4.957	2019	6	4.957
594	besral b.	0.8743	0.1184	3	23	23	1	2	1.6523	2019	2	1.6523
639	budi e.	-0.9051	-0.0117	4	6	6	1	3	2.4785	2019	3	2.4785
641	budi n.f.a.	-0.1109	0.9325	30	3	3	7	1	0.8262	2019	0.1429	0.118
665	budiyanto m.a.	-0.0307	-0.8137	27	5	7	6	16	13.2186	2019	2.6667	2.2031
667	bui q.	-0.1877	-0.8953	6	16	25	2	7	5.7831	2019	3.5	2.8916
676	burnett d.l.	0.7037	0.5861	7	10	17	2	11	9.0878	2019	5.5	4.5439
677	bustamam a.	0.7007	0.3981	13	7	10	7	4	3.3046	2019	0.5714	0.4721
681	bücking r.	-0.7903	0.4669	9	14	14	1	0	0	2019	0	0
700	caroline i.	-0.6296	-0.6756	11	5	5	1	1	0.8262	2019	1	0.8262
715	chamberlain t.w.	0.7033	0.5861	7	10	17	2	11	9.0878	2019	5.5	4.5439
727	chaniago y.d.	-0.4869	0.7964	22	6	8	2	5	4.1308	2019	2.5	2.0654
737	chea m.	0.7603	-0.4947	5	5	5	1	6	4.957	2019	6	4.957
747	cherkasov n.	0.7036	0.5863	7	10	17	2	11	9.0878	2019	5.5	4.5439
756	chittchang u.	0.7609	-0.4944	5	5	5	1	6	4.957	2019	6	4.957
769	chotimah s.c.	-0.8602	-0.269	2	11	11	1	7	5.7831	2019	7	5.7831
788	clarkson g.j.	0.7031	0.5865	7	10	10	1	6	4.957	2019	6	4.957
795	cox m.p.	-0.7903	0.467	9	14	18	3	31	25.6109	2019	10.3333	8.537
825	darari f.	0.9268	-0.1404	29	3	3	2	1	0.8262	2019	0.5	0.4131
834	dartanto t.	0.8731	0.1194	3	4	4	3	38	31.3941	2019	12.6667	10.4647
836	darusallam c.c.	-0.7909	0.4673	9	6	6	1	30	24.7848	2019	30	24.7848
862	degirmenci v.	0.7033	0.5863	7	10	17	4	13	10.7401	2019	3.25	2.685
866	denala d.	0.3337	-0.8561	10	10	10	1	0	0	2019	0	0
898	dewi n.o.m.	0.4959	-0.154	19	3	3	1	7	5.7831	2019	7	5.7831
901	dewi s.	-0.5243	-0.7685	14	5	5	1	0	0	2019	0	0
964	djuwita r.	0.8678	0.1679	18	7	9	3	5	4.1308	2019	1.6667	1.3769
967	do t.t.	0.7602	-0.4927	5	5	5	2	6	4.957	2019	3	2.4785
970	dogheche e.	-0.0241	0.9271	25	3	6	3	8	6.6093	2019	2.6667	2.2031
990	dumchev k.	-0.1873	-0.8968	6	12	12	2	4	3.3046	2019	2	1.6523
996	dwipa l.	-0.8591	-0.2685	2	11	11	1	7	5.7831	2019	7	5.7831
1003	dzakirosin d.f.	-0.6296	-0.6757	11	5	5	1	0	0	2019	0	0
1005	dzulfikar m.f.	0.6028	-0.606	20	4	4	2	1	0.8262	2019	0.5	0.4131
1018	einaga y.	0.3339	-0.8562	10	13	15	4	17	14.0447	2019	4.25	3.5112
1021	ekananda r.	0.7089	0.5806	7	3	3	3	5	4.1308	2019	1.6667	1.3769
1024	ekaputri a.	-0.9045	-0.026	4	7	9	1	2	1.6523	2019	2	1.6523
1027	el-atmani s.	0.4147	-0.4129	8	13	13	1	1	0.8262	2019	1	0.8262
1031	elita hafizah m.a.	-0.9044	-0.0259	4	3	3	1	5	4.1308	2019	5	4.1308
1054	estiasari r.	-0.8602	-0.2652	2	5	5	5	11	9.0878	2019	2.2	1.8176
1056	estuningtyas a.	-0.6298	-0.6737	11	3	3	7	5	4.1308	2019	0.7143	0.5901
1057	estuningtyas a.r.i.	-0.6297	-0.6737	11	3	3	1	0	0	2019	0	0
1064	fadhan a.m.	-0.8665	0.2327	1	8	12	1	0	0	2019	0	0
1073	fahdiran r.	-0.9052	-0.0117	4	6	6	1	3	2.4785	2019	3	2.4785
1076	fahmida u.	0.76	-0.4936	5	22	22	4	9	7.4354	2019	2.25	1.8589
1101	farida s.	-0.8636	0.2435	1	6	6	8	4	3.3046	2019	0.5	0.4131
1132	fauzia f.	0.1645	0.925	31	4	4	2	4	3.3046	2019	2	1.6523
1134	fauzia v.	-0.9048	-0.022	4	18	33	14	40	33.0464	2019	2.8571	2.3605
1151	felicia f.	0.3101	0.8911	35	2	2	1	4	3.3046	2019	4	3.3046
