id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
3	abdillah a.a.	0.2773	0.626	5	3	3	10	2	1.9378	2019	0.2	0.1938
12	abdullah s.r.s.	0.3273	0.6534	8	9	36	2	19	18.4094	2019	9.5	9.2047
15	abdulloh a.	0.6482	0.6002	10	8	8	4	6	5.8135	2019	1.5	1.4534
19	abe t.	-0.3012	-0.8611	9	7	7	1	5	4.8446	2019	5	4.8446
33	adi a.c.	0.1538	0.9258	23	3	6	6	6	5.8135	2019	1	0.9689
78	agustia d.	0.8669	0.2551	14	8	8	4	16	15.5027	2019	4	3.8757
99	ahmad a.	0.8739	-0.0386	6	8	8	1	3	2.9068	2019	3	2.9068
102	ahmad h.	0.8742	-0.0518	6	27	36	39	75	72.6688	2019	1.9231	1.8633
111	"ahsa, singga s."	-0.8295	0.3106	2	10	10	1	0	0	2019	0	0
112	ahsan	-0.8301	0.308	2	10	38	9	1	0.9689	2019	0.1111	0.1077
113	ahsan a.	-0.8347	0.2957	2	33	74	11	33	31.9743	2019	3	2.9068
136	akbar r.r.	-0.6539	-0.6555	18	10	17	3	6	5.8135	2019	2	1.9378
144	al fauzi a.	-0.3788	0.8454	21	8	8	2	6	5.8135	2019	3	2.9068
153	al-azzawi a.a.	0.8737	-0.0386	6	7	7	5	4	3.8757	2019	0.8	0.7751
157	al-hiti a.s.	0.8736	-0.0156	7	5	5	1	10	9.6892	2019	10	9.6892
158	al-masoodi a.h.h.	0.8733	-0.0157	7	5	5	4	17	16.4716	2019	4.25	4.1179
159	al-nubi m.a.a.	-0.9227	0.0886	27	6	6	1	4	3.8757	2019	4	3.8757
164	alam j.	-0.9112	-0.1666	12	10	13	3	4	3.8757	2019	1.3333	1.2919
165	alam m.j.	-0.9122	-0.1675	12	9	16	17	7	6.7824	2019	0.4118	0.399
172	albertson b.g.	0.6459	-0.6624	20	9	9	1	4	3.8757	2019	4	3.8757
194	alida a.	0.7959	-0.3759	25	6	6	1	4	3.8757	2019	4	3.8757
205	almukhtar a.a.	0.874	-0.0386	6	7	7	5	4	3.8757	2019	0.8	0.7751
213	ama f.	0.616	0.5972	3	4	6	4	4	3.8757	2019	1	0.9689
215	amala s. s.m.	-0.902	-0.0147	30	5	5	1	0	0	2019	0	0
221	amalia r.c.	-0.606	0.7223	24	3	3	1	5	4.8446	2019	5	4.8446
226	amanda e.r.	0.6505	0.6041	10	5	5	1	2	1.9378	2019	2	1.9378
236	amin m.	-0.7456	-0.5381	28	8	9	9	20	19.3783	2019	2.2222	2.1531
248	amir m.s.	0.6459	-0.6622	20	10	17	6	4	3.8757	2019	0.6667	0.6459
256	ana e.	0.4596	0.6676	16	4	4	3	2	1.9378	2019	0.6667	0.6459
264	andadari d.p.p.s.	0.1534	0.9259	23	3	3	1	1	0.9689	2019	1	0.9689
268	andarini d.	-0.8316	0.3007	2	7	7	1	1	0.9689	2019	1	0.9689
277	andriani p.	0.46	0.6676	16	4	4	2	3	2.9068	2019	1.5	1.4534
282	andriyono s.	-0.9119	-0.1673	12	15	27	23	12	11.627	2019	0.5217	0.5055
290	anggraeni m.p.	0.8734	-0.0226	7	3	3	1	1	0.9689	2019	1	0.9689
305	annisha f.	0.2771	0.6257	5	4	4	1	0	0	2019	0	0
309	ansori a.n.m.	0.7241	0.482	15	12	46	9	52	50.3837	2019	5.7778	5.5982
313	anwar a.e.	0.4598	0.6678	16	4	4	1	1	0.9689	2019	1	0.9689
314	anwar c.	-0.2426	0.8489	17	7	11	6	6	5.8135	2019	1	0.9689
325	apsari r.	0.873	-0.0108	7	6	6	5	12	11.627	2019	2.4	2.3254
327	ardani i.g.a.w.	0.796	-0.3756	25	6	6	4	13	12.5959	2019	3.25	3.149
349	arfiati d.	0.2558	0.6082	5	5	5	1	1	0.9689	2019	1	0.9689
355	ariani m.d.	0.2013	-0.8938	11	6	6	2	2	1.9378	2019	1	0.9689
358	arianto p.	-0.8327	0.3017	2	7	7	1	1	0.9689	2019	1	0.9689
359	aridhyanti z.d.	0.253	0.6058	5	6	6	1	0	0	2019	0	0
367	arif m.a.a.	-0.0741	0.8941	4	5	5	1	1	0.9689	2019	1	0.9689
369	ariffin a.	-0.9227	0.0885	27	8	11	2	7	6.7824	2019	3.5	3.3912
370	arifianto d.	0.6603	0.5603	3	7	7	3	2	1.9378	2019	0.6667	0.6459
395	arliyani i.	0.616	0.5971	3	3	3	1	0	0	2019	0	0
398	armedya t.p.	0.6486	0.6006	10	10	13	3	5	4.8446	2019	1.6667	1.6149
402	arof h.	0.8731	-0.0105	7	12	13	8	30	29.0675	2019	3.75	3.6334
414	artono	0.198	-0.8936	11	8	8	2	0	0	2019	0	0
