id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	"2018 4th international symposium on geoinformatics, isyg 2018"	-0.5765	0.4219	21	0	0	1	0	0	2019	0	0
2	"2018 international conference on advanced computer science and information systems, icacsis 2018"	0.1614	0.7728	22	0	0	3	4	5.0134	2019	1.3333	1.6711
3	"2019 7th international conference on cyber and it service management, citsm 2019"	-0.5241	0.1726	23	0	0	1	0	0	2019	0	0
4	"2019 international conference on advanced computer science and information systems, icacsis 2019"	0.7201	0.3154	24	0	0	3	0	0	2019	0	0
5	"2019 international conference on information and communications technology, icoiact 2019"	0.3114	0.2784	25	0	0	1	0	0	2019	0	0
6	aacl bioflux	-0.8001	-0.3616	26	0	0	27	12	15.0403	2019	0.4444	0.557
7	acm international conference proceeding series	-0.7809	-0.5252	27	0	0	1	0	0	2019	0	0
8	acta horticulturae	0.8397	0.2525	28	0	0	3	0	0	2019	0	0
9	acta tropica	0.3419	-0.3564	29	0	0	1	0	0	2019	0	0
10	acta universitatis agriculturae et silviculturae mendelianae brunensis	0.4073	0.4667	30	0	0	1	1	1.2534	2019	1	1.2534
11	advances in animal and veterinary sciences	0.6137	-0.061	6	1	1	7	4	5.0134	2019	0.5714	0.7162
12	advances in parasitology	0.483	0.8075	31	0	0	2	0	0	2019	0	0
13	agricultural and forest entomology	0.5844	0.5557	32	0	0	1	3	3.7601	2019	3	3.7601
14	agricultural and forest meteorology	0.8101	0.3166	33	0	0	1	5	6.2668	2019	5	6.2668
15	agricultural and rural development in indonesia	-0.7625	-0.4299	34	0	0	1	0	0	2019	0	0
16	agricultural systems	-0.1344	0.4363	35	0	0	1	4	5.0134	2019	4	5.0134
17	"agriculture, ecosystems and environment"	-0.7786	-0.1208	3	2	2	2	8	10.0269	2019	4	5.0134
18	agrivita	0.8649	0.0855	7	2	3	9	3	3.7601	2019	0.3333	0.4178
19	agroforestry systems	-0.2038	-0.6497	36	0	0	1	0	0	2019	0	0
20	aip conference proceedings	0.7156	-0.2454	37	0	0	24	13	16.2936	2019	0.5417	0.6789
21	allergy: european journal of allergy and clinical immunology	0.1629	0.8596	38	0	0	1	10	12.5336	2019	10	12.5336
22	ambio	-0.6187	0.2325	39	0	0	1	3	3.7601	2019	3	3.7601
