id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	"1st 2018 indonesian association for pattern recognition international conference, inapr 2018 - proceedings"	-0.9392	0.0879	29	0	0	1	1	1.0194	2019	1	1.0194
2	"2018 ieee 4th southern power electronics conference, spec 2018"	-0.3696	-0.1525	30	0	0	1	1	1.0194	2019	1	1.0194
3	"2018 international conference on computer, control, informatics and its applications: recent challenges in machine learning for computing applications, ic3ina 2018 - proceeding"	-0.1635	0.0591	31	0	0	2	6	6.1162	2019	3	3.0581
4	"2018 international conference on information technology systems and innovation, icitsi 2018 - proceedings"	0.2408	-0.5671	32	0	0	1	0	0	2019	0	0
5	"2019 11th international conference on information technology and electrical engineering, icitee 2019"	-0.6466	-0.6487	1	1	1	2	0	0	2019	0	0
6	"2019 11th international conference on wireless communications and signal processing, wcsp 2019"	-0.6065	0.7248	33	0	0	2	0	0	2019	0	0
7	"2019 12th asian control conference, ascc 2019"	-0.2953	0.7701	34	0	0	3	1	1.0194	2019	0.3333	0.3398
8	"2019 16th international conference on quality in research, qir 2019 - international symposium on electrical and computer engineering"	0.223	-0.4766	35	0	0	2	0	0	2019	0	0
9	"2019 22nd conference of the oriental cocosda international committee for the co-ordination and standardisation of speech databases and assessment techniques, o-cocosda 2019"	0.7861	0.2912	36	0	0	1	0	0	2019	0	0
10	"2019 26th international conference on telecommunications, ict 2019"	0.3863	-0.7626	37	0	0	3	2	2.0387	2019	0.6667	0.6796
11	"2019 2nd international seminar on research of information technology and intelligent systems, isriti 2019"	-0.3832	-0.325	38	0	0	5	0	0	2019	0	0
12	"2019 4th asia-pacific conference on intelligent robot systems, acirs 2019"	-0.0862	-0.8703	39	0	0	1	0	0	2019	0	0
13	"2019 4th ieee international conference on advanced robotics and mechatronics, icarm 2019"	-0.1513	-0.2052	40	0	0	1	0	0	2019	0	0
14	"2019 4th international conference on information technology, information systems and electrical engineering, icitisee 2019"	0.4034	-0.8386	14	1	1	17	1	1.0194	2019	0.0588	0.06
15	"2019 4th international conference on intelligent green building and smart grid, igbsg 2019"	-0.7653	0.5266	4	2	2	1	0	0	2019	0	0
16	"2019 54th international universities power engineering conference, upec 2019 - proceedings"	-0.3541	-0.8135	41	0	0	3	0	0	2019	0	0
17	"2019 7th international conference on cyber and it service management, citsm 2019"	-0.4269	-0.0561	42	0	0	2	0	0	2019	0	0
18	"2019 7th international conference on information and communication technology, icoict 2019"	-0.6255	0.4575	43	0	0	1	0	0	2019	0	0
19	"2019 australian and new zealand control conference, anzcc 2019"	0.1568	0.8744	44	0	0	1	0	0	2019	0	0
20	"2019 ieee 6th international conference on industrial engineering and applications, iciea 2019"	-0.0849	-0.9423	28	1	1	3	3	3.0581	2019	1	1.0194
21	"2019 ieee 8th global conference on consumer electronics, gcce 2019"	0.5786	-0.2954	6	1	1	2	1	1.0194	2019	0.5	0.5097
22	"2019 ieee 9th international conference on system engineering and technology, icset 2019 - proceeding"	-0.9079	0.2588	45	0	0	6	4	4.0775	2019	0.6667	0.6796
23	"2019 ieee global humanitarian technology conference, ghtc 2019"	0.76	-0.5572	46	0	0	2	0	0	2019	0	0
24	"2019 ieee industry applications society annual meeting, ias 2019"	0.6292	0.7135	47	0	0	1	1	1.0194	2019	1	1.0194
25	"2019 ieee international conference on communication, networks and satellite, comnetsat 2019 - proceedings"	0.4034	-0.8386	14	1	1	2	2	2.0387	2019	1	1.0194
26	"2019 ieee international conference on rfid technology and applications, rfid-ta 2019"	0.707	-0.0784	48	0	0	1	0	0	2019	0	0
27	"2019 ieee international conference on sensors and nanotechnology, sensors and nano 2019"	-0.9338	0.1335	49	0	0	1	1	1.0194	2019	1	1.0194
28	"2019 ieee pes gtd grand international conference and exposition asia, gtd asia 2019"	0.3001	-0.8494	50	0	0	1	0	0	2019	0	0
29	"2019 ieee pes innovative smart grid technologies asia, isgt 2019"	-0.17	-0.4958	51	0	0	2	1	1.0194	2019	0.5	0.5097
30	"2019 ieee/cic international conference on communications workshops in china, iccc workshops 2019"	-0.8005	0.1619	52	0	0	1	0	0	2019	0	0
31	"2019 international biomedical instrumentation and technology conference, ibitec 2019"	-0.416	-0.6117	53	0	0	1	0	0	2019	0	0
