id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	"2018 2nd international conference on informatics and computational sciences, icicos 2018"	-0.1988	-0.9093	7	0	0	1	0	0	2019	0	0
2	"2018 6th international conference on cyber and it service management, citsm 2018"	0.4501	-0.8168	8	0	0	4	9	18.9836	2019	2.25	4.7459
3	"2018 ieee 3rd international conference on communication and information systems, iccis 2018"	-0.5479	-0.6012	9	0	0	1	0	0	2019	0	0
4	"2018 ieee international conference on communication, networks and satellite, comnetsat 2018 - proceedings"	0.4482	0.6925	10	0	0	1	0	0	2019	0	0
5	"2018 ieee world symposium on communication engineering, wsce 2018"	0.8422	-0.3844	11	0	0	1	0	0	2019	0	0
6	"2018 international conference on advanced computer science and information systems, icacsis 2018"	-0.87	-0.3249	12	0	0	2	0	0	2019	0	0
7	"2018 international conference on computer, control, informatics and its applications: recent challenges in machine learning for computing applications, ic3ina 2018 - proceeding"	-0.894	-0.2447	13	0	0	3	4	8.4372	2019	1.3333	2.8124
8	"2018 international electronics symposium on engineering technology and applications, ies-eta 2018 - proceedings"	0.8715	-0.3151	14	0	0	4	1	2.1093	2019	0.25	0.5273
9	"2019 11th international conference on information technology and electrical engineering, icitee 2019"	0.8693	-0.1054	1	1	1	2	0	0	2019	0	0
10	"2019 16th international conference on quality in research, qir 2019 - international symposium on electrical and computer engineering"	0.5713	0.7287	15	0	0	3	0	0	2019	0	0
11	"2019 26th international conference on telecommunications, ict 2019"	0.2973	-0.757	16	0	0	2	0	0	2019	0	0
12	"2019 2nd international seminar on research of information technology and intelligent systems, isriti 2019"	-0.0899	0.9032	3	1	4	28	2	4.2186	2019	0.0714	0.1507
13	"2019 3rd international conference on electrical, telecommunication and computer engineering, elticom 2019 - proceedings"	0.669	0.1253	17	0	0	2	0	0	2019	0	0
14	"2019 4th international conference on information technology, information systems and electrical engineering, icitisee 2019"	0.7908	0.1928	18	0	0	18	1	2.1093	2019	0.0556	0.1172
15	"2019 4th international conference on system reliability and safety, icsrs 2019"	-0.4733	0.189	19	0	0	1	0	0	2019	0	0
16	"2019 5th international conference on education and technology, icet 2019"	0.323	-0.4498	20	0	0	1	0	0	2019	0	0
17	"2019 5th international conference on frontiers of signal processing, icfsp 2019"	0.0299	0.0248	21	0	0	1	0	0	2019	0	0
18	"2019 7th international conference on cyber and it service management, citsm 2019"	-0.7153	-0.3973	22	0	0	3	0	0	2019	0	0
19	"2019 7th international conference on information and communication technology, icoict 2019"	0.8707	-0.0583	2	5	6	62	18	37.9672	2019	0.2903	0.6124
20	"2019 8th international conference on modeling simulation and applied optimization, icmsao 2019"	0.2825	0.8806	23	0	0	1	0	0	2019	0	0
21	"2019 ieee 6th international conference on industrial engineering and applications, iciea 2019"	0.2161	0.0177	24	0	0	4	3	6.3279	2019	0.75	1.582
22	"2019 ieee 9th international conference on system engineering and technology, icset 2019 - proceeding"	-0.5107	-0.7757	25	0	0	1	2	4.2186	2019	2	4.2186
23	"2019 international conference of computer science and information technology, icosnikom 2019"	0.8762	-0.0527	2	1	2	4	0	0	2019	0	0
24	"2019 international conference on advanced computer science and information systems, icacsis 2019"	0.8689	-0.0841	1	2	2	2	0	0	2019	0	0
25	"2019 international conference on computer, control, informatics and its applications: emerging trends in big data and artificial intelligence, ic3ina 2019"	0.1562	-0.4818	26	0	0	4	0	0	2019	0	0
26	"2019 international conference on information and communications technology, icoiact 2019"	-0.261	0.6317	27	0	0	14	0	0	2019	0	0
27	"2019 international workshop on big data and information security, iwbis 2019"	-0.4481	-0.6785	28	0	0	3	0	0	2019	0	0
28	"2019 photonics and electromagnetics research symposium - fall, piers - fall 2019 - proceedings"	0.6405	0.6795	29	0	0	3	0	0	2019	0	0
29	"2nd ieee international conference on innovative research and development, icird 2019"	0.7018	-0.4293	30	0	0	1	0	0	2019	0	0
30	"3rd symposium on future telecommunication technologies, softt 2019"	0.0625	-0.3213	31	0	0	10	1	2.1093	2019	0.1	0.2109
31	acm international conference proceeding series	0.4224	-0.7175	32	0	0	4	1	2.1093	2019	0.25	0.5273
32	advances in intelligent systems and computing	0.7464	-0.3157	33	0	0	2	1	2.1093	2019	0.5	1.0546
33	"advances in science, technology and engineering systems"	-0.8254	-0.0171	34	0	0	1	1	2.1093	2019	1	2.1093
34	aerosol and air quality research	0.3712	-0.8499	35	0	0	1	2	4.2186	2019	2	4.2186
35	aip conference proceedings	0.4973	-0.1551	36	0	0	6	0	0	2019	0	0
36	applied sciences (switzerland)	0.562	0.5708	5	1	1	1	1	2.1093	2019	1	2.1093
37	arpn journal of engineering and applied sciences	-0.6981	0.0314	37	0	0	5	1	2.1093	2019	0.2	0.4219
38	"bioinformatics 2019 - 10th international conference on bioinformatics models, methods and algorithms, proceedings; part of 12th international joint conference on biomedical engineering systems and technologies, biostec 2019"	0.5054	0.7827	38	0	0	4	1	2.1093	2019	0.25	0.5273
39	bulletin of electrical engineering and informatics	0.4898	-0.4719	39	0	0	2	4	8.4372	2019	2	4.2186
40	climate	-0.4505	-0.4939	40	0	0	1	0	0	2019	0	0
41	communications in computer and information science	0.5992	0.4018	41	0	0	1	0	0	2019	0	0
42	computational geosciences	-0.5055	0.4422	42	0	0	1	2	4.2186	2019	2	4.2186
43	computers and electronics in agriculture	-0.6779	-0.1166	43	0	0	1	9	18.9836	2019	9	18.9836
44	egyptian informatics journal	-0.4386	-0.8161	44	0	0	1	0	0	2019	0	0
45	electrochimica acta	-0.7719	0.5128	45	0	0	1	6	12.6557	2019	6	12.6557
46	frontiers in artificial intelligence and applications	0.2142	-0.9037	46	0	0	1	0	0	2019	0	0
47	greater kenyir landscapes: social development and environmental sustainability: from ridge to reef	0.3868	-0.592	47	0	0	2	1	2.1093	2019	0.5	1.0546
48	hayati journal of biosciences	-0.2855	-0.8843	48	0	0	1	0	0	2019	0	0
49	health informatics journal	0.2926	-0.8793	49	0	0	1	4	8.4372	2019	4	8.4372
50	"icsecc 2019 - international conference on sustainable engineering and creative computing: new idea, new innovation, proceedings"	-0.7777	0.2886	6	1	1	12	3	6.3279	2019	0.25	0.5273
51	ictc 2019 - 10th international conference on ict convergence: ict convergence leading the autonomous future	0.3356	0.166	50	0	0	1	0	0	2019	0	0
52	ieee access	-0.1149	-0.9214	51	0	0	2	7	14.765	2019	3.5	7.3825
53	ieee international conference on industrial engineering and engineering management	-0.5403	0.7539	52	0	0	7	1	2.1093	2019	0.1429	0.3013
54	ieee internet of things journal	-0.0006	-0.5173	53	0	0	1	3	6.3279	2019	3	6.3279
55	"ieee region 10 annual international conference, proceedings/tencon"	-0.91	0.1745	54	0	0	2	3	6.3279	2019	1.5	3.1639
56	ieee transactions on magnetics	-0.0306	-0.926	55	0	0	1	1	2.1093	2019	1	2.1093
57	ieee vehicular technology conference	-0.9214	0.0922	56	0	0	1	0	0	2019	0	0
58	ieie transactions on smart processing and computing	0.1758	-0.7932	57	0	0	1	0	0	2019	0	0
59	indian journal of public health research and development	0.321	0.7392	58	0	0	1	0	0	2019	0	0
60	indonesian journal of electrical engineering and computer science	-0.7518	-0.5439	59	0	0	6	8	16.8743	2019	1.3333	2.8124
61	indonesian journal of electrical engineering and informatics	0.7675	0.4896	4	1	1	2	1	2.1093	2019	0.5	1.0546
62	industrial engineering and management systems	0.2361	-0.3063	60	0	0	1	0	0	2019	0	0
63	"international archives of the photogrammetry, remote sensing and spatial information sciences - isprs archives"	-0.0983	-0.363	61	0	0	1	0	0	2019	0	0
64	"international conference on electrical engineering, computer science and informatics (eecsi)"	0.626	-0.2212	62	0	0	3	0	0	2019	0	0
65	"international conference on ubiquitous and future networks, icufn"	-0.6405	-0.6716	63	0	0	1	2	4.2186	2019	2	4.2186
66	international geoscience and remote sensing symposium (igarss)	0.5307	-0.6252	64	0	0	1	0	0	2019	0	0
67	international journal of advanced computer science and applications	0.7665	0.4901	4	2	2	5	14	29.5301	2019	2.8	5.906
68	international journal of advanced science and technology	0.126	-0.1432	65	0	0	3	1	2.1093	2019	0.3333	0.7031
69	international journal of advanced trends in computer science and engineering	0.0472	-0.8096	66	0	0	8	4	8.4372	2019	0.5	1.0546
70	international journal of advances in intelligent informatics	-0.3144	0.8729	67	0	0	1	1	2.1093	2019	1	2.1093
71	international journal of advances in soft computing and its applications	0.2397	-0.6248	68	0	0	1	0	0	2019	0	0
72	international journal of business	0.4283	0.4449	69	0	0	1	0	0	2019	0	0
73	international journal of communication networks and information security	-0.6057	0.7033	70	0	0	1	0	0	2019	0	0
74	"international journal of computers, communications and control"	0.633	0.2656	71	0	0	2	2	4.2186	2019	1	2.1093
75	international journal of electrical and computer engineering	0.0976	-0.6635	72	0	0	2	3	6.3279	2019	1.5	3.1639
76	international journal of engineering and advanced technology	0.7655	0.4906	4	1	1	2	1	2.1093	2019	0.5	1.0546
77	international journal of engineering research and technology	0.0391	0.9277	73	0	0	1	0	0	2019	0	0
78	"international journal of innovation, creativity and change"	-0.1958	0.3001	74	0	0	3	0	0	2019	0	0
79	"international journal of innovative computing, information and control"	-0.9301	0.0101	75	0	0	1	3	6.3279	2019	3	6.3279
80	international journal of innovative technology and exploring engineering	-0.5764	-0.7253	76	0	0	7	5	10.5464	2019	0.7143	1.5066
81	international journal of integrated engineering	-0.4703	0.8002	77	0	0	1	2	4.2186	2019	2	4.2186
82	international journal of interactive mobile technologies	-0.4345	-0.3062	78	0	0	1	0	0	2019	0	0
83	international journal of operational research	-0.625	-0.2632	79	0	0	1	0	0	2019	0	0
84	international journal of recent technology and engineering	0.2048	0.9046	80	0	0	4	2	4.2186	2019	0.5	1.0546
85	international journal of renewable energy research	0.4296	0.8188	81	0	0	1	0	0	2019	0	0
86	international journal of robust and nonlinear control	0.5835	-0.3557	82	0	0	1	0	0	2019	0	0
87	international journal of speech technology	-0.0936	0.903	3	2	6	3	11	23.2022	2019	3.6667	7.7341
88	international journal of supply chain management	-0.0523	-0.1568	83	0	0	2	2	4.2186	2019	1	2.1093
89	international journal of technology	-0.0536	-0.6729	84	0	0	1	1	2.1093	2019	1	2.1093
90	international journal of vehicle autonomous systems	-0.4422	0.6795	85	0	0	1	0	0	2019	0	0
