id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	"1st international conference on artificial intelligence in information and communication, icaiic 2019"	-0.0339	-0.8695	38	0	0	1	0	0	2019	0	0
2	"2018 2nd international conference on informatics and computational sciences, icicos 2018"	-0.7117	-0.5366	39	0	0	1	0	0	2019	0	0
3	"2018 6th international conference on cyber and it service management, citsm 2018"	0.7186	-0.617	40	0	0	1	1	0.9332	2019	1	0.9332
4	"2018 international conference on advanced computer science and information systems, icacsis 2018"	-0.593	0.3414	41	0	0	1	2	1.8665	2019	2	1.8665
5	"2018 joint 7th international conference on informatics, electronics and vision and 2nd international conference on imaging, vision and pattern recognition, iciev-ivpr 2018"	-0.8869	0.3289	42	0	0	1	0	0	2019	0	0
6	"2019 11th international conference on information technology and electrical engineering, icitee 2019"	0.4715	-0.812	8	2	3	18	2	1.8665	2019	0.1111	0.1037
7	"2019 1st international conference on cybernetics and intelligent system, icoris 2019"	0.9471	0.0164	43	0	0	1	0	0	2019	0	0
8	"2019 2nd international seminar on research of information technology and intelligent systems, isriti 2019"	-0.3667	0.543	44	0	0	17	1	0.9332	2019	0.0588	0.0549
9	"2019 4th international conference on information technology, information systems and electrical engineering, icitisee 2019"	0.1445	0.3531	45	0	0	5	0	0	2019	0	0
10	"2019 6th international conference on information technology, computer and electrical engineering, icitacee 2019"	-0.5072	0.797	46	0	0	1	2	1.8665	2019	2	1.8665
11	"2019 7th international conference on information and communication technology, icoict 2019"	-0.4178	-0.8461	47	0	0	1	0	0	2019	0	0
12	"2019 ieee 10th annual ubiquitous computing, electronics and mobile communication conference, uemcon 2019"	-0.93	0.1637	48	0	0	1	0	0	2019	0	0
13	"2019 ieee 6th international conference on industrial engineering and applications, iciea 2019"	-0.7015	-0.263	49	0	0	2	0	0	2019	0	0
14	"2019 ieee 9th international conference on system engineering and technology, icset 2019 - proceeding"	-0.5597	0.1204	50	0	0	2	2	1.8665	2019	1	0.9332
15	"2019 ieee international conference on consumer electronics - taiwan, icce-tw 2019"	0.7098	-0.0368	51	0	0	1	0	0	2019	0	0
16	"2019 ieee international conference on sensors and nanotechnology, sensors and nano 2019"	-0.9104	-0.13	52	0	0	1	0	0	2019	0	0
17	"2019 international biomedical instrumentation and technology conference, ibitec 2019"	0.2835	-0.902	53	0	0	2	1	0.9332	2019	0.5	0.4666
18	"2019 international conference on advanced computer science and information systems, icacsis 2019"	0.5991	-0.466	54	0	0	1	0	0	2019	0	0
19	"2019 international conference on computer engineering, network, and intelligent multimedia, cenim 2019 - proceeding"	0.7257	0.6035	55	0	0	2	0	0	2019	0	0
20	"2019 international conference on information and communications technology, icoiact 2019"	-0.4751	0.7637	56	0	0	24	3	2.7997	2019	0.125	0.1167
21	"2019 international conference on technologies and policies in electric power and energy, tpepe 2019"	-0.6323	-0.078	57	0	0	4	0	0	2019	0	0
22	"2019 international symposium on multimedia and communication technology, ismac 2019"	0.3311	-0.6829	58	0	0	1	0	0	2019	0	0
23	"2019 international workshop on big data and information security, iwbis 2019"	-0.0403	0.803	59	0	0	1	0	0	2019	0	0
24	3 biotech	-0.0601	0.5727	15	1	1	1	2	1.8665	2019	2	1.8665
25	"4th international conference on nano electronics research and education: toward advanced imaging science creation, icnere 2018"	-0.8468	-0.369	60	0	0	1	1	0.9332	2019	1	0.9332
26	"7th international istanbul smart grids and cities congress and fair, icsg 2019 - proceedings"	-0.0257	0.8608	61	0	0	1	0	0	2019	0	0
27	81st eage conference and exhibition 2019	0.5243	-0.7884	62	0	0	1	1	0.9332	2019	1	0.9332
28	aacl bioflux	-0.4042	0.741	63	0	0	1	0	0	2019	0	0
29	aaps pharmscitech	-0.8633	0.2585	64	0	0	1	2	1.8665	2019	2	1.8665
30	academic journal of interdisciplinary studies	-0.1595	-0.9342	65	0	0	1	1	0.9332	2019	1	0.9332
31	accounting education	-0.5059	-0.7974	66	0	0	1	1	0.9332	2019	1	0.9332
32	accounts of chemical research	-0.3909	-0.1196	67	0	0	1	4	3.733	2019	4	3.733
33	acm international conference proceeding series	0.1587	-0.2707	68	0	0	9	8	7.4659	2019	0.8889	0.8295
34	acta carsologica	0.5757	-0.6371	6	2	2	1	3	2.7997	2019	3	2.7997
35	acta geophysica	-0.8072	-0.3447	69	0	0	1	2	1.8665	2019	2	1.8665
36	acta obstetricia et gynecologica scandinavica	-0.1183	-0.8483	25	1	1	2	3	2.7997	2019	1.5	1.3999
37	actuators	0.8408	0.1216	70	0	0	1	2	1.8665	2019	2	1.8665
38	advanced pharmaceutical bulletin	-0.4771	-0.0474	23	1	1	5	10	9.3324	2019	2	1.8665
39	advances in materials science and engineering	-0.7439	-0.5737	71	0	0	2	5	4.6662	2019	2.5	2.3331
40	"advances in science, technology and engineering systems"	0.7615	-0.5649	72	0	0	1	0	0	2019	0	0
41	aerospace	0.7915	0.4233	24	1	1	1	1	0.9332	2019	1	0.9332
42	"agers 2019  - 2nd ieee asia-pacific conference on geoscience, electronics and remote sensing technology: understanding and forecasting the dynamics of land, ocean and maritime, proceeding"	0.7342	-0.1924	73	0	0	1	0	0	2019	0	0
43	agricultural and rural development in indonesia	0.6814	-0.4026	74	0	0	1	0	0	2019	0	0
44	agrivita	0.4017	-0.7917	75	0	0	1	0	0	2019	0	0
45	aids education and prevention	0.3845	0.5169	76	0	0	1	3	2.7997	2019	3	2.7997
46	aims materials science	0.1356	0.0431	34	1	1	1	3	2.7997	2019	3	2.7997
47	aip conference proceedings	-0.1888	-0.2407	14	1	1	118	18	16.7983	2019	0.1525	0.1424
48	airfield and highway pavements 2019: innovation and sustainability in highway and airfield pavement technology - selected papers from the international airfield and highway pavements conference 2019	0.1888	-0.7018	77	0	0	1	1	0.9332	2019	1	0.9332
49	al-jami'ah	-0.3882	-0.8604	78	0	0	2	1	0.9332	2019	0.5	0.4666
50	american journal of botany	-0.3838	-0.3948	79	0	0	1	0	0	2019	0	0
51	american journal of tropical medicine and hygiene	0.8583	0.2926	80	0	0	1	2	1.8665	2019	2	1.8665
52	anali zavoda za povijesne znanosti hrvatske akademije znanosti i umjetnosti u dubrovniku	-0.8051	-0.0035	81	0	0	1	0	0	2019	0	0
53	analytical chemistry	0.2257	0.8777	82	0	0	1	9	8.3992	2019	9	8.3992
54	anesthesiology and pain medicine	-0.7701	-0.5527	83	0	0	1	0	0	2019	0	0
55	animals	-0.0601	0.5727	15	1	1	1	0	0	2019	0	0
56	annals of forest science	0.0485	-0.8378	84	0	0	1	2	1.8665	2019	2	1.8665
57	annals of medicine and surgery	-0.0062	-0.4208	30	1	1	2	2	1.8665	2019	1	0.9332
58	annals of pediatric cardiology	0.346	-0.8758	85	0	0	1	3	2.7997	2019	3	2.7997
59	annals of tropical medicine and public health	-0.4897	0.4876	86	0	0	4	0	0	2019	0	0
60	appetite	0.6665	-0.2402	87	0	0	1	6	5.5994	2019	6	5.5994
61	applied acoustics	-0.6737	0.3555	88	0	0	1	0	0	2019	0	0
62	applied ecology and environmental research	-0.5601	-0.759	89	0	0	1	1	0.9332	2019	1	0.9332
63	applied energy	0.6877	-0.6538	90	0	0	1	1	0.9332	2019	1	0.9332
64	applied food biotechnology	-0.8453	0.3166	91	0	0	1	0	0	2019	0	0
65	applied physics express	0.6164	-0.7177	92	0	0	2	4	3.733	2019	2	1.8665
66	applied soft computing journal	0.0284	0.1653	27	1	1	1	4	3.733	2019	4	3.733
67	archaeological research in asia	-0.7287	0.6063	16	1	1	1	4	3.733	2019	4	3.733
68	archives of phytopathology and plant protection	-0.8895	-0.2396	1	1	1	1	2	1.8665	2019	2	1.8665
69	archives of virology	-0.0791	-0.9011	93	0	0	1	4	3.733	2019	4	3.733
70	asean journal of chemical engineering	0.3493	0.8528	2	1	1	1	0	0	2019	0	0
71	"asia petroleum geoscience conference and exhibition, apgce 2019"	-0.1403	-0.7586	94	0	0	1	0	0	2019	0	0
72	asia-pacific journal of accounting and economics	0.7969	-0.3985	95	0	0	1	1	0.9332	2019	1	0.9332
73	asia-pacific journal of oncology nursing	0.3674	0.684	96	0	0	1	1	0.9332	2019	1	0.9332
74	asia-pacific journal of public health	0.2462	0.9123	97	0	0	1	1	0.9332	2019	1	0.9332
75	asian academy of management journal	-0.5446	-0.4102	98	0	0	1	0	0	2019	0	0
76	asian and pacific migration journal	0.2321	0.2296	99	0	0	1	1	0.9332	2019	1	0.9332
77	asian bioethics review	0.0961	0.8295	100	0	0	1	1	0.9332	2019	1	0.9332
78	asian journal of business and accounting	0.7073	0.3397	101	0	0	1	0	0	2019	0	0
79	asian journal of chemistry	-0.1607	-0.4655	4	3	3	2	6	5.5994	2019	3	2.7997
80	asian pacific journal of cancer prevention	0.7392	-0.5059	9	2	3	9	25	23.331	2019	2.7778	2.5923
81	asian pacific journal of tropical biomedicine	-0.0916	0.1743	102	0	0	1	0	0	2019	0	0
82	asian politics and policy	0.2571	-0.2947	103	0	0	1	0	0	2019	0	0
83	asian population studies	0.5649	-0.528	104	0	0	1	0	0	2019	0	0
84	asian review of accounting	-0.0955	0.8493	105	0	0	1	3	2.7997	2019	3	2.7997
85	asian social work and policy review	-0.8466	-0.1221	17	1	1	1	3	2.7997	2019	3	2.7997
86	asian-australasian journal of animal sciences	-0.0454	0.4425	26	1	1	2	3	2.7997	2019	1.5	1.3999
87	asian-european journal of mathematics	0.1125	0.6825	106	0	0	1	0	0	2019	0	0
88	atom indonesia	-0.29	-0.7894	107	0	0	2	1	0.9332	2019	0.5	0.4666
89	australasian emergency care	-0.1812	-0.8161	108	0	0	1	0	0	2019	0	0
90	australian forestry	-0.1954	0.4695	109	0	0	1	0	0	2019	0	0
91	australian journal of crop science	0.8873	-0.0485	110	0	0	2	1	0.9332	2019	0.5	0.4666
92	austrian journal of south-east asian studies	0.6648	-0.4655	111	0	0	1	1	0.9332	2019	1	0.9332
93	bangladesh journal of medical science	-0.5888	0.6607	112	0	0	3	2	1.8665	2019	0.6667	0.6222
94	banks and bank systems	0.0707	0.9426	113	0	0	1	2	1.8665	2019	2	1.8665
95	beilstein journal of nanotechnology	0.3185	0.637	114	0	0	1	2	1.8665	2019	2	1.8665
96	biocatalysis and agricultural biotechnology	0.5106	0.744	115	0	0	1	0	0	2019	0	0
97	biochemical and cellular archives	-0.1138	0.7228	116	0	0	2	0	0	2019	0	0
98	biodiversitas	-0.8894	-0.2408	1	3	3	41	22	20.5313	2019	0.5366	0.5008
99	biodiversity	0.4009	-0.1481	117	0	0	1	1	0.9332	2019	1	0.9332
100	bioeconomy for sustainable development	-0.4816	0.3689	12	1	1	1	1	0.9332	2019	1	0.9332
101	"biofuels, bioproducts and biorefining"	0.9065	0.0437	118	0	0	1	5	4.6662	2019	5	4.6662
102	biological conservation	-0.5742	0.0365	119	0	0	1	2	1.8665	2019	2	1.8665
103	biological rhythm research	0.4504	-0.7412	120	0	0	1	1	0.9332	2019	1	0.9332
104	biological trace element research	0.307	-0.1589	121	0	0	1	3	2.7997	2019	3	2.7997
105	"biomass, biofuels, biochemicals: biofuels: alternative feedstocks and conversion processes for the production of liquid and gaseous biofuels"	-0.3244	-0.468	122	0	0	1	2	1.8665	2019	2	1.8665
106	biomed research international	0.9412	0.0922	123	0	0	3	3	2.7997	2019	1	0.9332
107	biomolecules	-0.5092	-0.4784	124	0	0	1	5	4.6662	2019	5	4.6662
108	biopreservation and biobanking	0.8556	0.4095	125	0	0	1	0	0	2019	0	0
109	bioresource technology reports	-0.5667	-0.5307	126	0	0	1	3	2.7997	2019	3	2.7997
110	bioresources	-0.8311	-0.4545	127	0	0	1	2	1.8665	2019	2	1.8665
111	biotropia	0.8931	-0.3057	128	0	0	1	0	0	2019	0	0
112	bmc gastroenterology	-0.8724	0.3607	129	0	0	1	0	0	2019	0	0
113	bmc health services research	0.5263	0.5127	130	0	0	5	3	2.7997	2019	0.6	0.5599
114	bmc infectious diseases	0.2475	-0.861	19	1	1	2	8	7.4659	2019	4	3.733
115	bmc medical education	-0.0184	-0.6732	131	0	0	2	1	0.9332	2019	0.5	0.4666
116	bmc medicine	0.2461	0.6165	132	0	0	1	5	4.6662	2019	5	4.6662
117	bmc pediatrics	0.6034	0.2209	29	1	1	1	1	0.9332	2019	1	0.9332
118	bmc proceedings	0.0482	-0.9393	133	0	0	10	7	6.5327	2019	0.7	0.6533
119	bmc public health	0.38	-0.3484	20	1	1	4	13	12.1321	2019	3.25	3.033
120	bmc research notes	0.6728	0.1535	134	0	0	4	3	2.7997	2019	0.75	0.6999
121	bmc veterinary research	-0.212	-0.8764	135	0	0	1	1	0.9332	2019	1	0.9332
122	bmc women's health	0.7391	-0.5062	9	1	2	1	4	3.733	2019	4	3.733
123	bmeicon 2018 - 11th biomedical engineering international conference	0.9245	-0.1854	136	0	0	1	1	0.9332	2019	1	0.9332
124	bmj global health	0.4485	0.3369	137	0	0	1	1	0.9332	2019	1	0.9332
125	bmj open	0.4792	-0.0928	138	0	0	1	0	0	2019	0	0
126	brazilian journal of infectious diseases	0.5233	0.7892	139	0	0	1	1	0.9332	2019	1	0.9332
127	bulletin of engineering geology and the environment	0.9411	-0.0569	140	0	0	1	1	0.9332	2019	1	0.9332
128	bulletin of indonesian economic studies	-0.656	-0.4359	141	0	0	1	2	1.8665	2019	2	1.8665
129	bulletin of materials science	-0.2226	0.9186	142	0	0	1	0	0	2019	0	0
130	bulletin of the chemical society of japan	-0.8815	0.1542	143	0	0	1	2	1.8665	2019	2	1.8665
131	bulletin of the iraq natural history museum	0.2629	-0.5449	144	0	0	1	0	0	2019	0	0
132	bulletin of the world health organization	0.7954	-0.2507	145	0	0	1	5	4.6662	2019	5	4.6662
133	cancer letters	0.1589	0.1365	18	1	1	1	9	8.3992	2019	9	8.3992
134	cancers	-0.184	0.7631	146	0	0	1	5	4.6662	2019	5	4.6662
135	carbonates and evaporites	0.1307	-0.9126	3	1	1	1	4	3.733	2019	4	3.733
136	cardiology (switzerland)	0.3346	-0.0821	147	0	0	1	0	0	2019	0	0
137	case reports in dermatology	-0.1394	0.5122	148	0	0	1	0	0	2019	0	0
138	case studies in construction materials	-0.6453	0.1519	149	0	0	1	0	0	2019	0	0
139	case studies in thermal engineering	-0.8836	-0.2629	1	1	1	1	4	3.733	2019	4	3.733
140	catalysts	0.6349	-0.527	150	0	0	2	3	2.7997	2019	1.5	1.3999
141	cencon 2019 - 2019 ieee conference on energy conversion	-0.9342	0.1313	151	0	0	1	0	0	2019	0	0
142	central european journal of international and security studies	0.8985	0.0974	152	0	0	2	0	0	2019	0	0
143	ceramics international	-0.4199	-0.4694	153	0	0	2	6	5.5994	2019	3	2.7997
144	chemical engineering research and design	-0.8839	-0.262	1	2	2	1	6	5.5994	2019	6	5.5994
145	chemical science	-0.3526	0.8764	154	0	0	1	1	0.9332	2019	1	0.9332
146	chemistry journal of moldova	-0.6128	-0.5773	155	0	0	2	2	1.8665	2019	1	0.9332
147	chemosensors	0.3341	0.8579	2	6	6	4	14	13.0654	2019	3.5	3.2663
148	climate change management	0.1022	-0.4027	156	0	0	1	2	1.8665	2019	2	1.8665
149	clinical epidemiology and global health	0.2475	-0.861	19	1	1	1	4	3.733	2019	4	3.733
150	clinical infectious diseases	0.559	0.0404	157	0	0	1	2	1.8665	2019	2	1.8665
151	clinical medicine insights: cardiology	-0.8958	0.0983	158	0	0	1	0	0	2019	0	0
152	clinical pharmacokinetics	-0.2891	0.7863	159	0	0	1	3	2.7997	2019	3	2.7997
153	"clinical, cosmetic and investigational dentistry"	0.396	0.0914	10	2	2	1	2	1.8665	2019	2	1.8665
154	cochrane database of systematic reviews	0.6736	0.6079	160	0	0	1	1	0.9332	2019	1	0.9332
155	communications in computer and information science	0.9152	0.2378	161	0	0	1	2	1.8665	2019	2	1.8665
156	communications in science and technology	0.4718	-0.8119	8	1	1	9	1	0.9332	2019	0.1111	0.1037
157	community development	0.8059	-0.1921	162	0	0	1	0	0	2019	0	0
158	composite structures	0.0706	-0.6245	163	0	0	1	9	8.3992	2019	9	8.3992
159	composites part b: engineering	-0.4731	-0.7629	164	0	0	1	4	3.733	2019	4	3.733
160	computational condensed matter	0.2182	-0.0487	31	1	1	1	3	2.7997	2019	3	2.7997
161	computational materials science	-0.1463	0.4011	165	0	0	2	5	4.6662	2019	2.5	2.3331
162	computer methods and programs in biomedicine	-0.5944	0.7372	166	0	0	1	1	0.9332	2019	1	0.9332
163	contemporary bali: contested space and governance	-0.324	0.3619	167	0	0	1	4	3.733	2019	4	3.733
164	contemporary clinical dentistry	-0.1356	-0.0987	168	0	0	1	0	0	2019	0	0
165	contributions to management science	0.1966	0.5576	169	0	0	1	1	0.9332	2019	1	0.9332
166	corporate governance: an international review	0.4865	0.0024	170	0	0	1	1	0.9332	2019	1	0.9332
167	data in brief	-0.6318	0.2843	171	0	0	1	0	0	2019	0	0
168	database	0.0368	-0.5174	172	0	0	1	0	0	2019	0	0
169	dental materials	0.7303	0.1127	173	0	0	1	7	6.5327	2019	7	6.5327
170	desalination and water treatment	-0.7357	-0.026	174	0	0	1	0	0	2019	0	0
171	development studies research	0.2589	0.6922	175	0	0	1	1	0.9332	2019	1	0.9332
172	diabetology international	-0.0432	-0.0806	176	0	0	1	0	0	2019	0	0
