id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	"1st 2018 indonesian association for pattern recognition international conference, inapr 2018 - proceedings"	-0.0896	0.8664	27	0	0	2	3	1.804	2019	1.5	0.902
2	"2018 2nd international conference on informatics and computational sciences, icicos 2018"	0.641	0.6926	28	0	0	2	5	3.0066	2019	2.5	1.5033
3	"2018 6th international conference on cyber and it service management, citsm 2018"	0.6701	0.6164	24	1	1	4	8	4.8106	2019	2	1.2026
4	"2018 ieee 5th international conference on engineering technologies and applied sciences, icetas 2018"	-0.8961	0.0121	4	1	1	5	9	5.4119	2019	1.8	1.0824
5	"2018 international conference on advanced computer science and information systems, icacsis 2018"	0.8693	-0.0298	11	1	1	28	44	26.4582	2019	1.5714	0.9449
6	"2018 international conference on computer, control, informatics and its applications: recent challenges in machine learning for computing applications, ic3ina 2018 - proceeding"	-0.1137	-0.2284	29	0	0	3	5	3.0066	2019	1.6667	1.0022
7	"2019 14th ieee malaysia international conference on communication: emerging technologies in ioe and 5g, micc 2019"	-0.6562	0.3546	30	0	0	1	0	0	2019	0	0
8	"2019 16th international conference on quality in research, qir 2019 - international symposium on electrical and computer engineering"	0.0759	0.8035	8	1	1	2	3	1.804	2019	1.5	0.902
9	"2019 16th international conference on service systems and service management, icsssm 2019"	-0.3707	-0.7403	31	0	0	4	4	2.4053	2019	1	0.6013
10	"2019 28th wireless and optical communications conference, wocc 2019 - proceedings"	0.8854	-0.0996	32	0	0	1	1	0.6013	2019	1	0.6013
11	"2019 2nd international conference on communication engineering and technology, iccet 2019"	0.6227	0.4242	33	0	0	2	2	1.2026	2019	1	0.6013
12	"2019 2nd international conference on signal processing and information security, icspis 2019"	0.356	-0.2069	34	0	0	1	0	0	2019	0	0
13	"2019 2nd international seminar on research of information technology and intelligent systems, isriti 2019"	0.9387	-0.0859	35	0	0	11	1	0.6013	2019	0.0909	0.0547
14	"2019 4th asia-pacific conference on intelligent robot systems, acirs 2019"	0.0826	-0.4033	36	0	0	3	4	2.4053	2019	1.3333	0.8018
15	"2019 4th international conference on information technology, information systems and electrical engineering, icitisee 2019"	-0.9123	0.2484	37	0	0	4	0	0	2019	0	0
16	"2019 7th international conference on cyber and it service management, citsm 2019"	0.8454	0.4169	38	0	0	2	5	3.0066	2019	2.5	1.5033
17	"2019 7th international conference on information and communication technology, icoict 2019"	-0.0883	0.9323	39	0	0	1	1	0.6013	2019	1	0.6013
18	"2019 7th international conference on smart computing and communications, icscc 2019"	0.0753	0.8037	8	2	3	1	2	1.2026	2019	2	1.2026
19	"2019 ieee 2nd international conference on power and energy applications, icpea 2019"	-0.3764	-0.5866	40	0	0	3	3	1.804	2019	1	0.6013
20	"2019 ieee conference on application, information and network security, ains 2019"	0.3454	-0.3989	41	0	0	1	0	0	2019	0	0
21	"2019 ieee eurasia conference on iot, communication and engineering, ecice 2019"	0.8896	-0.3155	42	0	0	1	0	0	2019	0	0
22	"2019 ieee international conference on communication, networks and satellite, comnetsat 2019 - proceedings"	-0.4031	0.6469	43	0	0	1	3	1.804	2019	3	1.804
23	"2019 ieee pes innovative smart grid technologies asia, isgt 2019"	0.4648	-0.8197	44	0	0	2	3	1.804	2019	1.5	0.902
24	"2019 international conference of computer science and information technology, icosnikom 2019"	-0.3951	-0.8062	45	0	0	1	0	0	2019	0	0
25	"2019 international conference on advanced computer science and information systems, icacsis 2019"	0.8693	-0.0299	11	1	1	53	1	0.6013	2019	0.0189	0.0113
26	"2019 international conference on computer engineering, network, and intelligent multimedia, cenim 2019 - proceeding"	0.0233	-0.9435	46	0	0	1	0	0	2019	0	0
27	"2019 international conference on computer, control, informatics and its applications: emerging trends in big data and artificial intelligence, ic3ina 2019"	-0.1372	0.3423	47	0	0	1	0	0	2019	0	0
28	"2019 international conference on electrical and computing technologies and applications, icecta 2019"	0.6331	-0.4896	48	0	0	1	0	0	2019	0	0
29	"2019 international conference on information and communications technology, icoiact 2019"	0.7943	-0.3576	49	0	0	2	2	1.2026	2019	1	0.6013
30	"2019 international conference on technologies and policies in electric power and energy, tpepe 2019"	0.0553	0.4138	50	0	0	1	0	0	2019	0	0
31	"2019 international energy and sustainability conference, iesc 2019"	0.5939	0.4978	51	0	0	1	0	0	2019	0	0
32	"2019 international workshop on big data and information security, iwbis 2019"	0.6618	0.1254	52	0	0	3	3	1.804	2019	1	0.6013
33	"2nd ieee international conference on innovative research and development, icird 2019"	-0.4163	-0.016	53	0	0	1	1	0.6013	2019	1	0.6013
34	"34th international technical conference on circuits/systems, computers and communications, itc-cscc 2019"	0.6096	0.6532	54	0	0	1	1	0.6013	2019	1	0.6013
35	"3l: language, linguistics, literature"	0.6688	0.3535	55	0	0	1	2	1.2026	2019	2	1.2026
36	"4th international conference on nano electronics research and education: toward advanced imaging science creation, icnere 2018"	-0.4778	0.7505	56	0	0	3	3	1.804	2019	1	0.6013
37	"5th international conference on information management, icim 2019"	-0.8388	0.4341	57	0	0	1	1	0.6013	2019	1	0.6013
38	a/z itu journal of the faculty of architecture	0.6913	-0.5521	58	0	0	1	1	0.6013	2019	1	0.6013
39	academy of accounting and financial studies journal	0.544	0.0289	59	0	0	1	0	0	2019	0	0
40	academy of entrepreneurship journal	-0.3756	0.8161	60	0	0	1	1	0.6013	2019	1	0.6013
41	"accounting, auditing and accountability journal"	0.3752	-0.6481	61	0	0	1	4	2.4053	2019	4	2.4053
42	acm international conference proceeding series	-0.8959	0.0096	4	5	5	31	16	9.6212	2019	0.5161	0.3104
43	acs omega	-0.6311	0.4327	62	0	0	1	2	1.2026	2019	2	1.2026
44	acs sustainable chemistry and engineering	0.3633	0.1777	12	1	1	1	2	1.2026	2019	2	1.2026
45	acta medica indonesiana	-0.6447	-0.6905	63	0	0	16	12	7.2159	2019	0.75	0.451
46	acta tropica	0.1557	0.5334	64	0	0	1	7	4.2093	2019	7	4.2093
47	advances in difference equations	0.8971	0.0411	65	0	0	1	1	0.6013	2019	1	0.6013
48	advances in intelligent systems and computing	-0.1449	0.8893	66	0	0	1	4	2.4053	2019	4	2.4053
49	"advances in science, technology and engineering systems"	0.2748	-0.2978	13	1	1	1	3	1.804	2019	3	1.804
50	advances in skin and wound care	0.5325	0.5434	67	0	0	1	2	1.2026	2019	2	1.2026
51	aids and behavior	-0.1453	0.7382	14	1	1	2	7	4.2093	2019	3.5	2.1046
52	aids education and prevention	-0.1453	0.7382	14	1	1	1	2	1.2026	2019	2	1.2026
53	aids research and human retroviruses	-0.1365	-0.7403	68	0	0	1	2	1.2026	2019	2	1.2026
54	aip conference proceedings	-0.8875	-0.0972	5	7	9	276	96	57.727	2019	0.3478	0.2092
