id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	"2019 16th international conference on quality in research, qir 2019 - international symposium on electrical and computer engineering"	-0.7814	0.5285	31	0	0	1	0	0	2019	0	0
2	"2019 5th international conference on education and technology, icet 2019"	-0.5449	0.7701	32	0	0	1	0	0	2019	0	0
3	"2019 australian and new zealand control conference, anzcc 2019"	-0.9399	-0.0599	33	0	0	1	0	0	2019	0	0
4	"2019 ieee 9th international nanoelectronics conferences, inec 2019"	-0.0601	0.3646	14	1	1	2	0	0	2019	0	0
5	"2019 international biomedical instrumentation and technology conference, ibitec 2019"	0.8765	-0.051	1	1	1	2	0	0	2019	0	0
6	"2019 international conference on computer engineering, network, and intelligent multimedia, cenim 2019 - proceeding"	-0.7046	-0.3249	34	0	0	3	0	0	2019	0	0
7	3 biotech	-0.5871	-0.736	35	0	0	2	2	1.824	2019	1	0.912
8	aacl bioflux	0.8327	0.3172	3	1	2	8	3	2.736	2019	0.375	0.342
9	aaps pharmscitech	0.0494	-0.8911	36	0	0	1	2	1.824	2019	2	1.824
10	acm international conference proceeding series	0.8405	-0.4244	37	0	0	2	0	0	2019	0	0
11	acs applied energy materials	-0.2386	0.5112	38	0	0	1	4	3.648	2019	4	3.648
12	acta informatica medica	0.0335	0.625	39	0	0	1	1	0.912	2019	1	0.912
13	acta medica indonesiana	0.128	0.3807	40	0	0	3	1	0.912	2019	0.3333	0.304
14	acta medica philippina	-0.382	0.8639	13	1	1	31	2	1.824	2019	0.0645	0.0588
15	acta neurochirurgica	-0.7945	-0.5099	41	0	0	1	14	12.7679	2019	14	12.7679
16	acta tropica	-0.1031	0.9391	42	0	0	1	2	1.824	2019	2	1.824
17	advances in animal and veterinary sciences	-0.7921	0.405	43	0	0	1	0	0	2019	0	0
18	advances in experimental medicine and biology	-0.3769	-0.0904	44	0	0	2	1	0.912	2019	0.5	0.456
19	advances in respiratory medicine	0.0521	-0.7424	45	0	0	1	0	0	2019	0	0
20	"african journal of hospitality, tourism and leisure"	0.6218	0.6373	46	0	0	2	1	0.912	2019	0.5	0.456
21	agricultural finance review	0.2785	0.6147	47	0	0	1	1	0.912	2019	1	0.912
22	aids research and human retroviruses	-0.9161	-0.2238	48	0	0	2	1	0.912	2019	0.5	0.456
23	aims materials science	-0.0684	0.1765	28	1	1	1	3	2.736	2019	3	2.736
24	aip conference proceedings	0.2845	-0.9018	49	0	0	16	6	5.472	2019	0.375	0.342
25	american journal of case reports	-0.191	0.9245	50	0	0	1	0	0	2019	0	0
26	american journal of pharmaceutical education	0.0678	-0.263	51	0	0	1	3	2.736	2019	3	2.736
27	"anaesthesia, pain and intensive care"	-0.9314	0.1539	52	0	0	1	0	0	2019	0	0
28	animals	0.8481	0.3345	3	1	1	1	3	2.736	2019	3	2.736
29	annals of burns and fire disasters	0.3501	0.821	53	0	0	1	0	0	2019	0	0
30	annals of medicine and surgery	-0.1588	-0.0011	54	0	0	1	2	1.824	2019	2	1.824
31	antimicrobial resistance and infection control	0.1273	0.9361	55	0	0	1	2	1.824	2019	2	1.824
32	antioxidants	0.5796	0.7461	56	0	0	1	4	3.648	2019	4	3.648
33	applied biochemistry and biotechnology	-0.2548	-0.0653	57	0	0	1	2	1.824	2019	2	1.824
34	applied optics	-0.0601	0.3647	14	1	1	2	7	6.3839	2019	3.5	3.192
35	applied physics b: lasers and optics	-0.237	0.8628	58	0	0	1	4	3.648	2019	4	3.648
36	archives of oral biology	-0.8409	0.1961	15	1	1	1	4	3.648	2019	4	3.648
37	arpn journal of engineering and applied sciences	-0.5559	-0.7644	59	0	0	1	7	6.3839	2019	7	6.3839
38	"artificial cells, nanomedicine and biotechnology"	0.719	0.4748	60	0	0	1	5	4.56	2019	5	4.56
39	asia pacific journal of clinical nutrition	-0.3271	0.5482	61	0	0	1	1	0.912	2019	1	0.912
40	asia-pacific journal of accounting and economics	0.868	0.1708	4	1	1	3	3	2.736	2019	1	0.912
41	asian academy of management journal	0.7059	-0.6372	62	0	0	1	0	0	2019	0	0
42	asian journal of atmospheric environment	-0.2995	-0.4293	63	0	0	1	0	0	2019	0	0
