id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
3	abd razak s.b.	0.9146	-0.3574	12	18	18	1	1	1.3554	2019	1	1.3554
6	abdul ghani a.n.	0.9581	-0.3312	12	18	18	1	1	1.3554	2019	1	1.3554
7	abdul khalil h.p.s.	-0.6565	-0.7158	26	9	9	1	0	0	2019	0	0
9	abdullah a.	0.3903	-0.0498	3	9	13	7	4	5.4216	2019	0.5714	0.7745
13	abdurrahman m.i.	0.4602	-0.4522	15	9	9	1	4	5.4216	2019	4	5.4216
16	abidin z.	-0.0782	-0.2411	6	9	13	7	2	2.3554	2019.1429	0.2857	0.3365
20	abrar m.	-0.8105	-0.1234	2	1	1	2	0	0	2019	0	0
27	achmadi s.s.	0.3053	0.5867	7	4	8	3	0	0	2019	0	0
43	adiyana k.	0.2856	0.1459	11	4	8	3	0	0	2019	0	0
44	adji r.s.	0.6481	0.4059	7	3	5	2	1	1.3554	2019	0.5	0.6777
45	adlan q.	-0.8275	0.2606	9	4	8	2	2	2.7108	2019	1	1.3554
48	adnan i.	1.0465	-0.3935	12	31	36	2	9	12.1986	2019	4.5	6.0993
52	adrianto l.	-0.237	-0.152	2	10	11	10	15	20.3311	2019	1.5	2.0331
59	affandi r.	0.0435	0.0757	11	11	11	4	3	4.0662	2019	0.75	1.0166
70	agungpriyono s.	0.6021	0.2711	7	5	6	3	5	6.777	2019	1.6667	2.259
88	ahmad u.	-0.0383	-0.5812	10	1	1	4	0	0	2019	0	0
90	ahongshangbam j.	-0.3079	0.5605	5	20	22	2	7	9.4878	2019	3.5	4.7439
91	ahsania d.a.	-0.2947	0.7689	34	11	11	1	0	0	2019	0	0
92	aidi m.n.	0.0853	-0.2379	22	3	5	5	2	2.7108	2019	0.4	0.5422
94	ainuddin n.a.	0.9608	-0.5359	12	18	18	1	8	10.8432	2019	8	10.8432
96	aiso-sanada h.	-1.1313	-0.4383	39	6	12	2	3	4.0662	2019	1.5	2.0331
98	aisyah s.i.	0.0565	-0.083	1	3	5	4	1	1.3554	2019	0.25	0.3389
99	aji b.d.s.	-0.8363	0.797	23	13	13	1	0	0	2019	0	0
106	akhrari h.	0.7572	-0.1606	29	9	9	1	0	0	2019	0	0
108	akiyama t.	-0.9147	-0.4456	4	5	10	2	2	2.7108	2019	1	1.3554
112	akromah z.n.	-0.7208	0.5693	33	12	12	1	0	0	2019	0	0
119	alatas h.	-0.5114	-0.2163	22	10	23	10	6	8.1324	2019	0.6	0.8132
122	alawiyah k.	1.3549	-0.0842	40	4	7	2	0	0	2019	0	0
133	ali sarong m.	-0.6767	-0.1034	2	6	6	2	0	0	2019	0	0
134	alifian m.d.	0.4798	0.5827	7	4	8	3	3	4.0662	2019	1	1.3554
135	alikodra h.s.	0.0189	0.3537	24	5	6	5	1	1.3554	2019	0.2	0.2711
136	alimuddin a.	0.488	0.1041	3	5	6	7	6	8.1324	2019	0.8571	1.1618
145	amalo l.f.	0.3103	0.3128	7	2	2	4	0	0	2019	0	0
151	ambarsari l.	0.2536	0.0644	3	6	7	4	0	0	2019	0	0
157	ammer c.	-0.4039	0.4909	5	9	14	2	7	9.4878	2019	3.5	4.7439
158	analuddin k.	-0.2408	-1.1557	35	11	11	1	1	1.3554	2019	1	1.3554
162	andarini s.l.	-0.2827	-0.8168	6	11	11	1	0	0	2019	0	0
163	andarwulan n.	0.6053	0.0781	25	9	19	9	16	21.6865	2019	1.7778	2.4096
