id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
22	abraha k.	0.1904	0.1623	5	2	2	4	1	0.9432	2019	0.25	0.2358
36	adams e.r.	0.8282	-0.0421	13	17	17	1	3	2.8295	2019	3	2.8295
54	adiputra d.	0.3579	1.0789	42	4	7	2	15	14.1473	2019	7.5	7.0737
65	adji t.b.	-0.0597	-0.1644	7	6	10	10	7	6.6021	2019	0.7	0.6602
66	adji t.n.	-0.5252	-0.7413	16	15	46	9	19	17.9199	2019	2.1111	1.9911
72	afandy d.	-0.4084	-0.0859	1	6	6	3	3	2.8295	2019	1	0.9432
83	afifah z.n.	0.0864	-0.9687	6	5	11	5	0	0	2019	0	0
88	agniy r.f.	-0.5323	-0.6968	16	14	31	6	12	11.3179	2019	2	1.8863
90	agus a.	0.3037	-0.4575	8	11	15	12	2	1.8863	2019	0.1667	0.1572
91	agus c.	0.4305	-0.6153	11	18	30	9	15	14.1473	2019	1.6667	1.5719
114	ahmad r.a.	0.6779	-0.2811	20	22	23	6	5	4.7158	2019	0.8333	0.786
117	ahmed r.	0.7813	-0.1341	13	17	17	1	3	2.8295	2019	3	2.8295
126	ainuri m.	0.0738	-0.0353	18	2	3	5	1	0.9432	2019	0.2	0.1886
136	aji r.n.	0.1422	-0.4385	8	5	6	3	1	0.9432	2019	0.3333	0.3144
139	akbar m.a.	0.6652	0.521	23	2	6	3	0	0	2019	0	0
146	akit h.	-1.1209	0.1247	43	4	12	3	3	2.8295	2019	1	0.9432
158	alam s.	-0.3882	-0.264	7	4	9	6	5	4.7158	2019	0.8333	0.786
160	alamsyah f.	-0.1589	0.2973	2	13	13	1	0	0	2019	0	0
164	alda b.	-0.2453	0.8437	34	11	11	1	0	0	2019	0	0
166	aletta a.	-0.5454	0.9188	19	14	14	1	4	3.7726	2019	4	3.7726
171	alfiah s.	0.4072	-0.1989	13	13	13	1	1	0.9432	2019	1	0.9432
180	alhasyimi a.a.	0.4563	0.8935	65	0	0	5	6	5.6589	2019	1.2	1.1318
184	ali m.e.	0.0463	-0.4006	4	6	12	3	9	8.4884	2019	3	2.8295
187	alim k.	0.5825	-0.8934	40	3	12	4	0	0	2019	0	0
189	alimon a.r.	-1.1394	0.087	43	4	12	3	3	2.8295	2019	1	0.9432
193	aliyah f.	0.0552	-0.5993	4	3	5	4	1	0.9432	2019	0.25	0.2358
194	alleta a.	-0.6556	0.7946	19	20	20	1	6	5.6589	2019	6	5.6589
211	aman a.t.	0.5802	0.3993	10	7	9	3	6	5.6589	2019	2	1.8863
220	amin m.k.m.	-0.2226	-0.7292	16	1	4	4	0	0	2019	0	0
233	andalas m.	-0.5806	0.9015	19	21	34	2	10	9.4315	2019	5	4.7158
237	andayani t.m.	1.2765	-0.1181	53	1	4	4	3	2.8295	2019	0.75	0.7074
240	andersen p.	0.1403	0.9399	27	13	13	1	23	21.6926	2019	23	21.6926
247	andilala n.	-0.286	0.868	34	11	11	1	0	0	2019	0	0
249	andini p.w.	1.1025	0.1345	22	17	17	1	4	3.7726	2019	4	3.7726
255	andries b.	0.567	-0.0387	14	10	15	2	8	7.5452	2019	4	3.7726
264	anggraeni a.s.	0.5972	-0.8706	40	3	12	4	0	0	2019	0	0
278	anh t.k.	0.5284	0.1544	24	17	17	1	5	4.7158	2019	5	4.7158
288	anstey n.m.	0.5872	-0.0851	14	35	63	6	20	18.8631	2019	3.3333	3.1438
289	antara n.y.	-0.1543	0.2713	2	13	13	1	0	0	2019	0	0
297	anwar s.	-0.6334	0.8628	19	21	34	3	10	9.4315	2019	3.3333	3.1438
298	anwar s.l.	-0.1848	0.0308	1	12	16	6	11	10.3747	2019	1.8333	1.7291
302	aprilita n.h.	-0.2428	0.564	2	4	6	6	2	1.8863	2019	0.3333	0.3144
306	araki k.	-0.7766	0.1048	12	22	22	1	1	0.9432	2019	1	0.9432
310	ardiansyah a.	1.0341	0.4146	39	3	3	3	2	1.8863	2019	0.6667	0.6288
312	ardiansyah s.a.	-0.1149	0.347	2	14	14	2	0	0	2019	0	0
316	ardiyanto i.	-0.023	-0.1789	7	13	23	16	8	7.5452	2019	0.5	0.4716
318	arfian n.	-0.2333	-0.1342	1	9	18	7	4	3.7726	2019	0.5714	0.5389
320	arguni e.	0.7181	-0.2399	20	27	36	4	3	2.8295	2019	0.75	0.7074
336	arif s.s.	0.2948	0.1988	5	2	2	3	0	0	2019	0	0
338	arifin b.	0.7626	0.1706	10	5	8	2	4	3.7726	2019	2	1.8863
345	arini h.m.	-0.2264	-0.3372	18	7	12	3	3	2.8295	2019	1	0.9432
351	aristya g.r.	0.1862	0.3535	17	3	6	5	1	0.9432	2019	0.2	0.1886
353	ariyadi b.	-0.0597	-0.5982	4	5	11	5	3	2.8295	2019	0.6	0.5659
356	ariyanto t.	0.21	0.645	3	10	19	14	14	13.2042	2019	1	0.9432
359	arjasakusuma s.	-0.9067	0.6423	38	6	12	4	1	0.9432	2019	0.25	0.2358
369	artama w.t.	-0.1234	0.0182	26	17	24	6	5	4.7158	2019	0.8333	0.786
372	artika i.m.	0.4348	0.6787	28	13	13	1	4	3.7726	2019	4	3.7726
375	aryandono t.	-0.1704	0.0101	1	15	26	8	22	20.7494	2019	2.75	2.5937
381	as'ad s.	-0.6067	-0.172	32	12	12	1	0	0	2019	0	0
385	asih p.b.s.	0.8207	-0.0927	13	17	17	1	3	2.8295	2019	3	2.8295
390	asmara w.	0.2168	0.1026	5	8	8	6	14	13.2042	2019	2.3333	2.2007
399	astuti a.	0.2515	-0.4753	8	5	5	5	0	0	2019	0	0
400	astuti a.p.	-0.7618	-0.3258	9	6	10	2	0	0	2019	0	0
406	astuti i.	-0.1513	0.0848	1	6	6	3	6	5.6589	2019	2	1.8863
410	astuti w.	0.0611	0.639	3	9	21	7	14	13.2042	2019	2	1.8863
416	at thobari j.	0.7252	0.3359	10	13	13	1	0	0	2019	0	0
423	atmanto w.	0.3767	-0.6491	11	12	12	1	2	1.8863	2019	2	1.8863
426	atmoko b.a.	0.1618	-0.3317	8	8	25	5	0	0	2019	0	0
429	atthobari j.	0.7289	0.1729	10	6	6	2	4	3.7726	2019	2	1.8863
434	avanti w.s.	-0.2093	-0.04	1	4	6	2	5	4.7158	2019	2.5	2.3579
436	awaludin a.	0.0108	-0.8257	6	19	19	3	1	0.9432	2019	0.3333	0.3144
442	azis m.m.	0.3464	0.5255	10	2	2	4	13	12.261	2019	3.25	3.0653
456	bachruddin z.	0.2506	-0.5087	8	8	15	6	0	0	2019	0	0
459	bachtiar n.s.	0.7136	0.3043	10	14	19	2	1	0.9432	2019	0.5	0.4716
464	bahiuddin i.	0.3631	1.0344	42	5	16	5	23	21.6926	2019	4.6	4.3385
472	baliarti e.	0.1728	-0.3792	8	13	32	10	0	0	2019	0	0
474	bambang a.	-0.6424	0.8296	19	20	20	1	6	5.6589	2019	6	5.6589
475	bangs m.j.	0.4851	-0.0957	13	31	31	2	10	9.4315	2019	5	4.7158
479	bantara i.	0.4139	-0.6446	11	14	16	2	4	3.7726	2019	2	1.8863
495	baud b.	1.0433	-0.3173	33	11	11	1	2	1.8863	2019	2	1.8863
502	bejo a.	-0.1462	-0.2379	7	2	3	5	2	1.8863	2019	0.4	0.3773
507	bendiyasa i.m.	0.0207	0.6352	3	6	11	4	4	3.7726	2019	1	0.9432
510	benyamin f.	-0.5965	-0.1308	32	12	12	1	0	0	2019	0	0
511	beon o.	1.0652	-0.3257	33	11	11	1	2	1.8863	2019	2	1.8863
514	berglund ö.	-0.954	-0.3603	9	18	18	1	13	12.261	2019	13	12.261
517	beucher s.	0.0622	0.2127	5	11	11	1	6	5.6589	2019	6	5.6589
