id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
2	a'yun y.q.	0.6754	-0.0058	14	6	24	4	0	0	2019	0	0
10	abdullah m.	-0.2402	0.2567	1	5	5	6	3	2.4785	2019	0.5	0.4131
12	abdullah n.a.	-0.26	-0.2594	2	5	7	3	8	6.6093	2019	2.6667	2.2031
20	abidin z.	0.3534	-0.5268	27	5	11	4	0	0	2019	0	0
21	abinawanto a.	0.6206	-0.0831	14	12	43	14	0	0	2019	0	0
23	abraham p.	-0.5444	0.669	25	20	20	1	9	7.4354	2019	9	7.4354
24	abubakar s.	-0.1131	0.387	1	18	18	1	1	0.8262	2019	1	0.8262
25	abuzairi t.	-0.3146	-0.5028	2	2	6	6	7	5.7831	2019	1.1667	0.9639
35	adawiyah r.	-0.0251	-0.2336	4	10	10	2	0	0	2019	0	0
56	aditianingsih d.	0.8574	0.0238	14	12	27	4	4	3.3046	2019	1	0.8262
81	adylkhanov t.	-0.726	-0.3499	23	15	15	1	1	0.8262	2019	1	0.8262
91	afini i.	0.5332	-1.0342	39	4	8	2	4	3.3046	2019	2	1.6523
98	afrizal s.h.	0.5184	-0.5408	27	3	8	3	2	1.6523	2019	0.6667	0.5508
110	agustina r.	-0.1442	0.193	1	24	25	3	38	31.3941	2019	12.6667	10.4647
118	ahmad s.a.	-0.088	0.1117	1	22	22	1	36	29.7417	2019	36	29.7417
121	ahn m.y.	-0.3288	0.7209	5	24	24	1	3	2.4785	2019	3	2.4785
122	ahsan a.	1.0153	0.63	54	0	0	4	7	5.7831	2019	1.75	1.4458
134	aisyah n.	-0.1917	-0.3401	2	3	3	4	7	5.7831	2019	1.75	1.4458
144	ajiwibowo m.w.	0.0361	-0.9861	47	2	8	4	11	9.0878	2019	2.75	2.2719
145	akaza h.	0.7118	-0.4138	7	21	23	2	11	9.0878	2019	5.5	4.5439
157	alam a.	0.3877	0.4618	28	17	17	1	2	1.6523	2019	2	1.6523
166	aldila d.	0.5859	1.1818	51	1	3	9	13	10.7401	2019	1.4444	1.1933
173	alfiany n.	0.0889	-0.3457	4	5	8	4	5	4.1308	2019	1.25	1.0327
179	alhamid m.i.	-0.2398	-0.3498	2	10	17	11	23	19.0017	2019	2.0909	1.7274
183	ali a.	0.4391	0.9884	30	15	15	1	8	6.6093	2019	8	6.6093
194	alisjahbana b.	0.3871	0.5061	28	17	17	1	2	1.6523	2019	2	1.6523
195	alkaff a.h.	-0.3869	1.0255	43	3	10	4	4	3.3046	2019	1	0.8262
196	alkatiri a.a.	0.0642	-0.305	2	4	4	2	4	3.3046	2019	2	1.6523
197	allard j.p.	0.5065	0.9844	30	15	15	1	8	6.6093	2019	8	6.6093
205	alvianingsih g.	-0.5796	-0.2776	15	3	9	5	0	0	2019	0	0
208	amal m.i.	-0.6741	-0.6178	10	6	12	3	3	2.4785	2019	1	0.8262
246	anand i.	0.2536	-0.6765	12	13	13	1	7	5.7831	2019	7	5.7831
247	anand i.s.	0.1229	-0.6168	12	21	21	1	22	18.1755	2019	22	18.1755
255	andika r.	0.0488	-0.0615	9	1	1	3	7	5.7831	2019	2.3333	1.9277
257	andini p.w.	0.2444	0.1296	24	17	17	1	4	3.3046	2019	4	3.3046
259	andjani h.n.	-0.3403	-0.6642	3	5	12	3	2	1.6523	2019	0.6667	0.5508
260	andraini t.	-1.1806	-0.0479	38	2	4	3	11	9.0878	2019	3.6667	3.0293
270	andrijono a.	-0.0999	-0.1429	9	6	7	3	4	3.3046	2019	1.3333	1.1015
275	anfasa f.	1.0953	-0.7611	52	1	2	2	7	5.7831	2019	3.5	2.8916
277	angelina m.	0.3723	0.7435	35	6	12	4	4	3.3046	2019	1	0.8262
296	anita n.	0.6512	-0.037	14	6	24	4	0	0	2019	0	0
298	ann soenarta a.	0.5811	0.0864	21	16	16	1	5	4.1308	2019	5	4.1308
302	annur d.	-0.6519	-0.6019	10	7	14	4	6	4.957	2019	1.5	1.2392
305	antarianto r.d.	-0.5436	-0.6378	10	5	8	4	3	2.4785	2019	0.75	0.6196
306	antariksawan a.r.	-0.1641	-0.2372	2	8	18	3	1	0.8262	2019	0.3333	0.2754
315	anzup cancer trials group	0.7349	-0.4601	7	20	20	1	10	8.2616	2019	10	8.2616
317	aoki-nonaka y.	0.2624	-1.0121	34	11	16	2	3	2.4785	2019	1.5	1.2392
320	apinuntavech s.	1.0332	-0.2429	11	23	23	1	5	4.1308	2019	5	4.1308
322	apriandanu d.o.b.	-0.0913	-0.3001	3	2	6	5	16	13.2186	2019	3.2	2.6437
328	aprilia y.y.	0.111	0.4689	13	15	15	1	1	0.8262	2019	1	0.8262
331	apriono c.	-0.0811	-0.814	4	2	8	12	11	9.0878	2019	0.9167	0.7573
354	ardiyati t.	-0.1987	-0.196	2	8	13	2	1	0.8262	2019	0.5	0.4131
358	ariane a.	-0.5843	0.0566	15	5	10	3	3	2.4785	2019	1	0.8262
359	ariani y.	-0.6723	0.9303	49	2	7	4	0	0	2019	0	0
