id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
3	abdillah a.a.	0.4816	-0.1511	10	13	21	10	2	1.9378	2019	0.2	0.1938
6	abdul rahim h.r.	-0.4465	0.6073	5	6	9	2	0	0	2019	0	0
9	abdullah k.l.	-0.26	0.5372	11	12	17	4	6	5.8135	2019	1.5	1.4534
15	abdulloh a.	-0.2548	0.0244	6	8	8	4	6	5.8135	2019	1.5	1.4534
18	abe m.	1.0303	0.3312	21	17	17	1	1	0.9689	2019	1	0.9689
19	abe t.	-0.5963	-0.3698	6	17	17	1	5	4.8446	2019	5	4.8446
33	adi a.c.	-0.5365	0.174	3	5	6	6	6	5.8135	2019	1	0.9689
49	aditiawarman a.	0.2285	0.4506	9	14	14	2	1	0.9689	2019	0.5	0.4845
58	adriani m.	-0.468	0.1031	3	4	4	6	0	0	2019	0	0
61	ady j.	-0.473	0.3256	5	3	4	4	2	1.9378	2019	0.5	0.4845
63	affandi m.	0.4435	-0.3124	10	9	11	3	6	5.8135	2019	2	1.9378
72	agil m.	-0.3847	0.1007	3	3	4	4	5	4.8446	2019	1.25	1.2111
75	agusni i.	0.0526	0.372	8	8	20	5	0	0	2019	0	0
77	agusta m.k.	-0.4428	0.9565	35	6	9	2	2	1.9378	2019	1	0.9689
79	agustiana b.n.d.	0.1633	-0.1264	1	12	12	1	0	0	2019	0	0
89	agustono b.	0.4928	0.3908	4	5	7	6	1	0.9689	2019	0.1667	0.1615
100	ahmad b.a.	-0.5252	0.6996	5	12	13	2	0	0	2019	0	0
101	ahmad f.	-0.4272	0.725	35	8	10	3	3	2.9068	2019	1	0.9689
102	ahmad h.	-0.3767	0.7835	33	30	110	39	75	72.6688	2019	1.9231	1.8633
105	ahmad m.t.	-0.7241	0.6224	5	13	31	6	10	9.6892	2019	1.6667	1.6149
112	ahsan	-0.0256	0.6728	7	7	38	9	1	0.9689	2019	0.1111	0.1077
113	ahsan a.	-0.1421	0.4596	7	14	39	11	33	31.9743	2019	3	2.9068
119	aidit s.n.	-0.2639	0.8566	33	6	13	5	18	17.4405	2019	3.6	3.4881
120	aik ong t.	0.9182	-0.7661	12	11	11	1	1	0.9689	2019	1	0.9689
124	aisyah n.d.	-0.4549	0.8432	35	7	9	2	1	0.9689	2019	0.5	0.4845
130	akaza h.	0.9291	-0.7378	12	11	11	1	1	0.9689	2019	1	0.9689
131	akbar a.	0.3421	0.5108	9	15	15	2	3	2.9068	2019	1.5	1.4534
133	akbar m.i.a.	0.2886	0.6273	9	6	9	3	1	0.9689	2019	0.3333	0.323
136	akbar r.r.	0.8845	0.661	37	7	18	3	6	5.8135	2019	2	1.9378
138	akiyama y.	0.9702	0.4135	21	17	17	1	1	0.9689	2019	1	0.9689
144	al fauzi a.	0.2222	0.8022	43	2	2	2	6	5.8135	2019	3	2.9068
