id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	"5 shackleton court, 2 maritime quay, isle of dogs, london, e14 3qf, united kingdom"	-0.5329	-0.272	21	7	7	1	1	1.356	2019	1	1.356
2	"a.n. severtsov institute of ecology and evolution, russian academy of sciences, moscow, russian federation"	-0.3843	0.8582	114	3	5	2	7	9.4922	2019	3.5	4.7461
3	"academy of emerging science, chubu university, kasugai, japan"	0.302	-0.8793	52	5	5	1	1	1.356	2019	1	1.356
6	"acarology laboratory, ohio state university, 1315 kinnear rd., columbus, oh 43212, united states"	0.243	0.9032	53	5	5	1	1	1.356	2019	1	1.356
9	"advanced functional materials laboratory, department of engineering physics, faculty of industry technology, institut teknologi bandung, bandung, indonesia"	-0.3509	0.5662	54	5	8	2	2	2.7121	2019	1	1.356
12	"agency for meteorology, climatology and geophysics, center for climate change information, jakarta, indonesia"	-0.3165	0.3253	9	17	17	1	5	6.7802	2019	5	6.7802
13	"agency for research and human resources of marine affairs and fisheries, ministry of marine affairs and fisheries, jakarta, indonesia"	-0.4072	-0.6361	22	7	7	1	7	9.4922	2019	7	9.4922
14	"agency for the assessment and application of technology (bppt), indonesia"	0.4448	0.8375	145	1	1	2	0	0	2019	0	0
32	"agricultural research for development (cirad), university of montpellier, france"	-0.3332	-0.2686	51	5	5	1	19	25.7646	2019	19	25.7646
35	"agriculture and agri-food canada, ottawa research and development centre, canadian national collection of insects, arachnids and nematodes, 960 carling ave, ottawa, on k1a 0c6, canada"	0.2431	0.9033	53	5	5	1	1	1.356	2019	1	1.356
41	"agroindustry technology center, agency for the assessment and application of technology, puspitek, serpong, indonesia"	0.3075	0.6693	6	2	4	2	9	12.2043	2019	4.5	6.1021
57	"algae biomass and energy system r&d center, university of tsukuba, tsukuba, ibaraki 305-8572, japan"	0.3129	0.6655	6	6	6	1	6	8.1362	2019	6	8.1362
65	"anatomic pathology laboratory, persahabatan hospital, jakarta, indonesia"	0.4974	-0.4783	55	5	5	1	0	0	2019	0	0
67	"andalas university (unand), limau manis, padang, indonesia"	-0.2964	0.8673	11	10	10	1	3	4.0681	2019	3	4.0681
69	"andi djemma university, department of fisheries, 13/15 sultan hasanuddin street, palopo, 91911, indonesia"	-0.006	-0.3958	38	6	6	1	0	0	2019	0	0
73	"animal hospital faculty of veterinary medicine, bogor agricultural institute, bogor, indonesia"	0.5746	0.7177	39	6	6	1	2	2.7121	2019	2	2.7121
78	"applied climatology, graduate school of bogor agricultural university, bogor, 16680, indonesia"	0.3536	0.8767	19	8	9	3	0	0	2019	0	0
89	"aquatic megafauna research unit, centre for sustainable aquatic ecosystems, harry butler institute, murdoch university, perth, wa, australia"	0.527	0.5264	35	7	7	1	2	2.7121	2019	2	2.7121
101	"arc centre of excellence for coral reef studies, james cook university, townsville, australia"	0.8743	0.0397	3	24	24	2	2	2.7121	2019	1	1.356
102	"arc centre of excellence for coral reef studies, school of biological sciences, the university of queensland, st. lucia, qld, australia"	0.8744	0.0481	3	23	23	1	1	1.356	2019	1	1.356
103	"arc centre of excellence for environmental decisions, school of biological sciences, the university of queensland, brisbane, qld, australia"	0.8746	0.0481	3	23	23	1	1	1.356	2019	1	1.356
105	"asia research centre, murdoch university, murdochwestern australia 6150, australia"	-0.4072	-0.6362	22	7	7	1	7	9.4922	2019	7	9.4922
107	"asian tropical foundation, filinvest corporate city, research institute for tropical medicine compound, muntinlupa, philippines"	-0.475	0.7499	7	22	28	2	0	0	2019	0	0
111	"auckland war memorial museum, tāmaki paenga hira, auckland, new zealand"	0.8748	0.0493	3	23	23	1	1	1.356	2019	1	1.356
112	"australian institute of marine science, perth, wa 6009, australia"	0.8664	0.3519	23	7	7	1	3	4.0681	2019	3	4.0681
113	"australian institute of tropical health and medicine, james cook university, townsville, qld, australia"	0.3121	0.6801	6	9	10	2	12	16.2724	2019	6	8.1362
114	"australian museum research institute, australian museum, sydney, nsw, australia"	0.8746	0.0489	3	23	23	1	1	1.356	2019	1	1.356
124	"balai veteriner subang (dic subang), jl. terusan garuda 33/11 blok werasari dangdeur, subang, jawa barat 41212, indonesia"	0.3103	-0.7533	56	5	5	1	5	6.7802	2019	5	6.7802
130	"bio21 mass spectrometry and proteomics facility, the bio21 molecular science and biotechnology institute, the university of melbourne, melbourne, vic, australia"	0.3126	0.6815	6	8	8	1	10	13.5603	2019	10	13.5603
131	"biochemistry & molecular biology department, faculty of medicine, universitas indonesia, jakarta, indonesia"	-0.1008	-0.5803	40	6	6	1	2	2.7121	2019	2	2.7121
137	"biodiversity, macroecology and biogeography, university of göttingen, büsgenweg 1, göttingen, 37077, germany"	0.5068	0.7873	24	7	7	1	1	1.356	2019	1	1.356
138	"biodiversity, macroecology, and biogeography research group, georg-august university, göttingen, germany"	-0.0745	-0.9281	41	6	6	1	3	4.0681	2019	3	4.0681
153	"biotechnology research center, indonesian research institute (lipi), cibinong, indonesia"	0.4974	-0.4783	55	5	5	1	0	0	2019	0	0
160	"bogor agricultural university (ipb), darmaga, bogor, indonesia"	-0.2963	0.8673	11	10	10	1	3	4.0681	2019	3	4.0681
163	"bogor agricultural university (ipb), jl. agatis, kampus ipb, bogor, indonesia"	-0.4749	0.7502	7	22	28	2	0	0	2019	0	0
167	"bogor agricultural university, bogor, indonesia"	0.8656	-0.1241	2	19	19	21	12	16.2724	2019	0.5714	0.7749
172	"bogor agricultural university, department of forest management, kampus ipb darmaga, bogor, 16680, indonesia"	-0.5503	0.2774	72	5	5	1	5	6.7802	2019	5	6.7802
178	"bogor agricultural university, faculty of fisheries and marine sciences, department of aquatic products technology, darmaga, kampus ipb, lingk, ar akademik street, bogor, 16680, indonesia"	-0.006	-0.3958	38	6	6	1	0	0	2019	0	0
179	"bogor agricultural university, faculty of fisheries and marine sciences, department of fisheries resources utilization, darmaga, kampus ipb, lingkar akademik street, bogor, 16680, indonesia"	-0.0061	-0.3959	38	6	6	1	0	0	2019	0	0
183	"bogor agricultural university, forest management, indonesia"	-0.3164	0.3251	9	17	17	1	5	6.7802	2019	5	6.7802
185	"bogor agricultural university, indonesia"	-0.3334	-0.2686	51	6	6	10	27	36.6128	2019	2.7	3.6613
197	"bogor agricultural university, kampus ipb dramaga, jl. raya dramaga, babakan, dramaga, babakan, dramaga, west java, bogor, 16680, indonesia"	-0.1774	-0.9226	57	5	5	1	0	0	2019	0	0
204	"bogor botanical garden, lembaga ilmu pengetahuan indonesia, bogor, indonesia"	-0.0745	-0.9281	41	6	6	1	3	4.0681	2019	3	4.0681
208	"borneo orangutan survival foundation (bosf), palangkaraya, indonesia"	0.7107	0.6008	42	6	6	1	0	0	2019	0	0
209	"botanical garden of the university of bern, bern, switzerland"	-0.0744	-0.9282	41	6	6	1	3	4.0681	2019	3	4.0681
219	"business unit bioscience, wageningen university and research, p.o. box 619, wageningen, 6700 ap, netherlands"	0.0257	-0.9334	43	6	6	1	4	5.4241	2019	4	5.4241
220	"campus for research excellence and technological enterprise (create) program, singapore, 138602, singapore"	0.4034	-0.1137	12	10	10	1	5	6.7802	2019	5	6.7802
221	"cancer chemoprevention research center, faculty of pharmacy, universitas gadjah mada, yogyakarta, indonesia"	-0.1872	0.7538	14	7	7	1	1	1.356	2019	1	1.356
222	"cancer diagnostic research, stem cell and cancer institute, jakarta, indonesia"	0.4974	-0.4783	55	5	5	1	0	0	2019	0	0
226	"cell physiology and molecular image research center, wan fang hospital, taipei medical university, taipei city, 116, taiwan"	-0.745	0.559	25	7	7	1	0	0	2019	0	0
239	"center for coastal and marine resources studies (ccmrs), bogor agricultural"	-0.5753	-0.7321	26	7	7	1	0	0	2019	0	0
249	"center for coastal and marine resources studies, bogor agricultural university, indonesia"	0.1311	0.3141	149	0	0	5	0	0	2019	0	0
258	"center for coastal and marine resources studies, lppm ipb (ccmrs lppm ipb), indonesia"	0.5566	-0.6779	73	4	4	4	1	1.356	2019	0.25	0.339
265	"center for disaster science, riau university, pekanbaru, indonesia"	0.7106	0.6008	42	6	6	1	0	0	2019	0	0
279	"center for fisheries research, indonesia ministry of marine affairs and fisheries, jakarta, indonesia"	-0.8015	-0.167	48	2	2	2	0	0	2019	0	0
281	"center for integrated breeding research, university of göttingen, albrecht-thaer-weg 3, göttingen, 37075, germany"	0.5068	0.7873	24	7	7	1	1	1.356	2019	1	1.356
283	"center for international forestry research (cifor), bogor, indonesia"	0.4331	-0.1475	1	9	9	3	9	12.2043	2019	3	4.0681
284	"center for international forestry research (cifor), bogor, jawa barat, 16115, indonesia"	0.4587	-0.1743	1	15	15	1	2	2.7121	2019	2	2.7121
288	"center for international forestry research (cifor), jl. cifor, situ gede, bogor, indonesia"	0.4472	-0.1659	1	8	8	1	5	6.7802	2019	5	6.7802
292	"center for international forestry research, indonesia"	-0.3332	-0.2686	51	5	5	1	19	25.7646	2019	19	25.7646
299	"center for perhutani research and development, indonesia"	0.718	-0.3464	69	5	5	1	1	1.356	2019	1	1.356
302	"center for regional system analysis, planning, and development, bogor agricultural university, bogor, 16153, indonesia"	0.6621	-0.4584	33	7	7	1	14	18.9844	2019	14	18.9844
305	"center for remote sensing, institut teknologi bandung, bandung, 40132, indonesia"	-0.8897	0.2926	58	5	5	1	1	1.356	2019	1	1.356
313	"center for southeast asian studies, kyoto university, kyoto, japan"	0.4034	-0.1136	12	10	10	1	5	6.7802	2019	5	6.7802
318	"center for tropical animal studies, institute of research and community empowerment, bogor agricultural university, bogor, 16129, indonesia"	-0.9264	-0.1208	27	7	7	1	0	0	2019	0	0
322	"center for tropical horticulture studies, bogor agricultural university, kampus ipb baranangsiang jalan pajajaran bogor, bogor, 16144, indonesia"	0.0256	-0.9334	43	6	6	1	4	5.4241	2019	4	5.4241
324	"center for tropical horticulture studies, ipb, bogor, indonesia"	0.1586	0.1684	150	0	0	2	8	10.8482	2019	4	5.4241
328	"center of environment studies, sanata dharma university, yogyakarta, indonesia"	-0.4474	0.0019	4	23	23	1	1	1.356	2019	1	1.356
331	"center of hypoxia and oxidative stress studies (choss), faculty of medicine, universitas indonesia, jakarta, indonesia"	-0.1007	-0.5803	40	6	6	1	2	2.7121	2019	2	2.7121
334	"center of tropical horticulture studies, bogor agricultural university, indonesia"	-0.0526	-0.7798	50	2	5	4	0	0	2019	0	0
335	"center of veterinary research, bogor, indonesia"	-0.1232	0.4743	74	4	4	2	1	1.356	2019	0.5	0.678
339	"central european institute of technology, masaryk university, kamenice 5, brno, 625 00, czech republic"	-0.2274	0.6063	65	5	5	1	1	1.356	2019	1	1.356
341	"centre for agri-environmental research, school of agriculture, policy and development, reading university, reading, united kingdom"	-0.0401	-0.0895	5	23	46	2	17	23.0525	2019	8.5	11.5263
342	"centre for biosystem genomics, p.o. box 98, wageningen, 6700 ab, netherlands"	0.0256	-0.9335	43	6	6	1	4	5.4241	2019	4	5.4241
343	"centre for climate risk and opportunity management, bogor agricultural university, bogor, indonesia"	0.1582	0.9021	44	6	6	1	9	12.2043	2019	9	12.2043
345	"centre for diagnostic standard of indonesian agricultural quarantine agency, ministry of agriculture, jakarta, 13220, indonesia"	-0.9265	-0.1208	27	7	7	1	0	0	2019	0	0
346	"centre for ecology, environment and conservation, oxford brookes university, gipsy lane, oxford, ox3 0bp, united kingdom"	-0.5329	-0.272	21	7	7	1	1	1.356	2019	1	1.356
347	"centre for econics and ecosystem management, faculty of forest and environment, eberswalde university for sustainable development, eberswalde, d-16225, germany"	0.4587	-0.1744	1	15	15	1	2	2.7121	2019	2	2.7121
348	"centre for environmental data recording, national museums of northern ireland, 153 bangor road, holywood, county down, bt18 oeu, united kingdom"	-0.5329	-0.272	21	7	7	1	1	1.356	2019	1	1.356
350	"centre for food and allergy research, murdoch children's research institute, melbourne, vic, australia"	0.3121	0.6801	6	9	10	2	12	16.2724	2019	6	8.1362
357	"centre for sustainable aquatic ecosystems, murdoch university, murdoch, western australia 6150, australia"	-0.4072	-0.6362	22	7	7	1	7	9.4922	2019	7	9.4922
358	"centre for sustainable tropical fisheries and aquaculture, james cook university, townsville, qld 4811, australia"	0.8665	0.3518	23	7	7	1	3	4.0681	2019	3	4.0681
360	"centre of biodiversity and sustainable land use, göttingen, germany"	-0.3843	0.8582	114	3	6	3	7	9.4922	2019	2.3333	3.1641
362	"centre of diagnostic standard indonesian agricultural quarantine agency, indonesian ministry of agriculture, indonesia"	0.8647	-0.1205	2	10	10	1	4	5.4241	2019	4	5.4241
365	"centro de ciencia do sistema terrestre inpe, são josé dos campos, são paulo, brazil"	0.4585	-0.1747	1	15	15	1	2	2.7121	2019	2	2.7121
368	"chemical education department, universitas syiah kuala, jln. tgk. daud beureueh darussalam, banda aceh, indonesia"	-0.0206	0.8466	16	5	5	1	1	1.356	2019	1	1.356
369	"chemical education department, universitas syiah kuala, jln. tgk. daud beureueh, darussalam banda aceh, 23311, indonesia"	0.5433	0.2933	8	5	5	1	10	13.5603	2019	10	13.5603
370	"chemical engineering department, universitas syiah kuala, darussalam, banda aceh, 23111, indonesia"	0.5434	0.2933	8	5	5	1	10	13.5603	2019	10	13.5603
373	"chemistry institute, federal university of uberlandia-ufu, campus santa monica-bloco1d-cp 593, uberlandia, 38400-902, brazil"	0.5466	0.2941	8	7	7	1	10	13.5603	2019	10	13.5603
378	chinese center for tropical diseases research	-0.4753	0.7488	7	13	13	1	0	0	2019	0	0
379	"chinese center for tropical diseases research, shanghai, china"	-0.4743	0.7514	7	15	15	1	0	0	2019	0	0
382	"cipto mangunkusumo hospital, jakarta, indonesia"	-0.3432	-0.7821	59	5	5	1	0	0	2019	0	0
386	"cires, university of colorado, boulder, co, united states"	0.4036	-0.1138	12	10	10	1	5	6.7802	2019	5	6.7802
395	"cognitive genomics research group, exploratory research center on life and living systems (excells), national institutes of natural sciences, okazaki, japan"	0.1782	-0.7682	17	8	8	1	0	0	2019	0	0
398	"college of agriculture, ibaraki university, japan"	-0.0524	-0.7795	50	4	7	3	6	8.1362	2019	2	2.7121
402	"college of science and engineering, james cook university, townsville, qld 4811, australia"	0.8665	0.3518	23	7	7	1	3	4.0681	2019	3	4.0681
403	"college of science and engineering, james cook university, townsville, qld, australia"	0.8753	0.0486	3	23	23	1	1	1.356	2019	1	1.356
414	"cooperative institute for research in the environmental sciences, university of colorado, boulder, co 80303, united states"	-0.6216	0.5785	45	6	6	1	6	8.1362	2019	6	8.1362
415	"copernicus institute of sustainable development, utrecht university, utrecht, netherlands"	0.4585	-0.1745	1	15	15	1	2	2.7121	2019	2	2.7121
419	"csiro land and water, cairns, qld, australia"	-0.0398	-0.0879	5	23	46	2	17	23.0525	2019	8.5	11.5263
420	"csiro land and water, townsville, qld, australia"	-0.0401	-0.0882	5	23	46	2	17	23.0525	2019	8.5	11.5263
422	"departamento de biología, laboratorio de investigaciones en abejas, universidad nacional de colombia, bogotá, colombia"	-0.0403	-0.0886	5	23	46	2	17	23.0525	2019	8.5	11.5263
455	"departement of aquaculture, faculty of fisheries and marine sciences, bogor agricultural university (ipb university), bogor, indonesia"	-0.6	0.7469	136	1	2	3	0	0	2019	0	0
462	"departement of aquatic resources management, bogor agrucultural university, bogor, 16680, indonesia"	-0.5754	-0.7322	26	7	7	1	0	0	2019	0	0
474	"departement of biology, faculty of teacher training and education syiah, kuala university, banda aceh, 23111, indonesia"	-0.6876	0.413	20	6	6	1	0	0	2019	0	0
475	"departement of biology, faculty of teacher training and education, jabal ghafur university, sigli, 24171, indonesia"	-0.6878	0.413	20	8	9	2	0	0	2019	0	0
495	"departement of geophysics and meteorology, faculty of mathematics and natural science, ipb university, darmaga campus, bogor, 16680, indonesia"	-0.0056	0.6143	13	5	5	1	0	0	2019	0	0
497	"departement of marine science and technology, bogor agrucultural university, bogor, 16680, indonesia"	-0.5753	-0.7322	26	7	7	1	0	0	2019	0	0
527	"departement of water resources management, faculty of fisheries and marine sciences, bogor agricultural university, bogor, 16680, indonesia"	-0.6878	0.413	20	8	9	2	0	0	2019	0	0
529	"department agro-environmental sciences, graduate school of bioresource and bioenvironmental sciences, faculty of agriculture, kyushu university, 744 motooka, nishi-ku, fukuoka, 819-0395, japan"	-0.6816	0.103	61	5	5	1	1	1.356	2019	1	1.356
536	"department fishing technology, faculty fishing technology, jakarta fisheries university, jakarta, indonesia"	-0.1878	-0.4019	46	6	6	1	0	0	2019	0	0
542	"department nutrition, faculty of medicine, halu oleo university, kendari, indonesia"	-0.712	0.2541	28	7	7	1	0	0	2019	0	0
552	"department of agribusiness, university of bengkulu, bengkulu, 38371, indonesia"	0.1044	-0.2788	151	0	0	2	4	5.4241	2019	2	2.7121
563	"department of agricultural economics and rural development, university of goettingen, göttingen, germany"	0.8234	-0.3886	60	5	5	1	9	12.2043	2019	9	12.2043
