id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	"adhi tama institute of techhnology surabaya, surabaya, 60111, indonesia"	-0.3034	-0.2755	18	6	23	6	0	0	2019	0	0
4	"advanced materials and manufacturing centre (ammc), faculty of mechanical and manufacturing engineering, universiti tun hussein onn malaysia, parit raja, batu pahat johor darul takzim, 86400, malaysia"	0.3056	0.8822	23	6	6	1	4	5.8884	2019	4	5.8884
9	"advanced materials research group, department of physics, institut teknologi sepuluh nopember (its), its campus, keputih, sukolilo, surabaya, 60111, indonesia"	0.7206	0.614	68	3	4	2	0	0	2019	0	0
10	"advanced materials research group, department of physics, institut teknologi sepuluh nopember, kampus its sukolilo, surabaya, 60111, indonesia"	0.5516	-0.718	4	3	4	3	0	0	2019	0	0
13	"advanced membrane technology research center (amtec), universiti teknologi malaysia, skudai, johor darul ta'zim 81310 utm, malaysia"	0.0609	0.5474	43	4	4	1	1	1.4721	2019	1	1.4721
18	"advanced membrane technology research centre (amtec), universiti teknologi malaysia, skudai johor, 81310, malaysia"	0.3054	0.8823	23	6	6	1	4	5.8884	2019	4	5.8884
19	"advanced meson science laboratory, nishina center, riken, 2-1, hirosawa, wako, saitama, 351-0198, japan"	0.5475	-0.7274	4	5	5	1	0	0	2019	0	0
23	"aircraft maintenance engineering technology amto147d-010, politeknik penerbangan surabaya, jl. jemur andayani i no.73 wonocolo, surabaya, 60236, indonesia"	0.2227	-0.6738	5	2	4	2	1	1.4721	2019	0.5	0.736
26	"airlangga university, neurology department, surabaya, indonesia"	-0.754	-0.4324	6	5	5	1	0	0	2019	0	0
27	"airlangga university, surabaya, indonesia"	-0.7806	0.4984	12	3	3	1	1	1.4721	2019	1	1.4721
31	"automation engineering study program, surabaya, 60111, indonesia"	-0.3033	-0.2756	18	6	26	7	0	0	2019	0	0
38	"badan penelitian dan pengembangan pertanian, jl. raya ragunan no. 29, pasar minggu, jakarta, indonesia"	0.9307	0.1573	64	3	3	1	0	0	2019	0	0
41	"basf/battery materials-ovonic, rochester hills, united states"	-0.521	-0.7807	31	5	5	1	5	7.3605	2019	5	7.3605
42	"bengkulu university, departement of agricultural socio-economics, indonesia"	0.3083	-0.0721	2	7	7	1	9	13.2489	2019	9	13.2489
44	"biochemical technology laboratory, department of chemical engineering, faculty of industrial technology, institut teknologi sepuluh nopember, jl. raya its, sukolilo, surabaya, east java 60111, indonesia"	0.0905	-0.9345	65	3	3	1	0	0	2019	0	0
49	"biology department, institut teknologi sepuluh nopember, surabaya, indonesia"	-0.2429	-0.7337	32	5	5	1	1	1.4721	2019	1	1.4721
50	"biology department, its, institut teknologi sepuluh nopember, surabaya, indonesia"	-0.7811	0.497	12	4	4	1	0	0	2019	0	0
51	"biology education department, universitas pendidikan indonesia, jl dr. setiabudi no. 229, bandung, indonesia"	0.1949	-0.8942	25	4	4	1	0	0	2019	0	0
53	"biology program, faculty of educational science and mathematics, universitas pendidikan indonesia, jl dr. setiabudi no. 229, bandung, indonesia"	0.6525	-0.3951	19	4	4	1	11	16.1931	2019	11	16.1931
54	"biomedical engineering master program, post graduate school, universitas airlangga, surabaya, 60115, indonesia"	-0.4003	0.689	24	6	6	1	7	10.3047	2019	7	10.3047
55	"biomedical engineering study program, department of physics, faculty of sciences and technology, universitas airlangga, surabaya, 60115, indonesia"	-0.4002	0.689	24	6	6	1	7	10.3047	2019	7	10.3047
57	"botany and microbiology department, collage of science, king saud university, p. o. 2455, riyadh, 11451, saudi arabia"	-0.0841	-0.6847	13	4	4	1	5	7.3605	2019	5	7.3605
58	"botany and microbiology department, college of sciences, king saud university, p.o. box 22452, riyadh, 11495, saudi arabia"	0.6527	-0.3949	19	7	7	2	21	30.9141	2019	10.5	15.457
59	"botany and microbiology department, king saud university, riyadh, 11451, saudi arabia"	0.1947	-0.8944	25	4	6	2	6	8.8326	2019	3	4.4163
60	"bppt, lab. hydrodynamics, upt-bpph surabaya, surabaya, indonesia"	0.2226	0.9102	66	3	3	1	1	1.4721	2019	1	1.4721
63	"bureau for construction technology implementation, directorate general for construction development, ministry of public works and housing republic of indonesia, jakarta, indonesia"	-0.6449	0.5439	44	4	4	1	1	1.4721	2019	1	1.4721
67	"center for catalysis and reaction engineering, institut teknologi bandung, jalan ganesha, no.10, bandung, 40132, indonesia"	-0.4921	0.2904	33	5	5	1	0	0	2019	0	0
68	"center for earth science studies, faculty of mathematics and natural sciences, universitas negeri surabaya, kampus unesa ketintang, surabaya, 60231, indonesia"	0.3691	0.621	162	2	4	2	3	4.4163	2019	1.5	2.2081
69	"center for information and communication technology agency, assessment and application of technology (ptik-bppt), jakarta, 10340, indonesia"	0.2787	0.2911	67	3	3	1	1	1.4721	2019	1	1.4721
70	"center for maritime biosciences studies–institute for sciences and community service, jenderal soedirman university, kampus karangwangkal, jl. dr. suparno, purwokerto, 53123, indonesia"	-0.6082	0.1556	45	4	4	1	2	2.9442	2019	2	2.9442
72	"center for medical physics and cancer research ctech labs edwar technology, tangerang, 15325, indonesia"	-0.6745	0.0378	46	4	4	1	0	0	2019	0	0
73	"center for sustainable nanomaterials, ibnu sina institute for scientific and industrial research, universiti teknologi malaysia, johor bahru, johor, malaysia"	0.6259	0.6836	34	5	5	1	5	7.3605	2019	5	7.3605
76	"center of advanced materials for renewable energy (camry), universitas negeri malang, jl. semarang 5, malang, 65145, indonesia"	0.4042	-0.8493	15	3	3	1	0	0	2019	0	0
81	"center of excellence for automotive control and system, institut teknologi sepuluh nopember, surabaya, indonesia"	-0.7118	-0.173	7	2	3	3	0	0	2019	0	0
82	"center of excellence for mechatronics and industrial automation research center (pui-pt mia-rc), institut teknologi sepuluh nopember, indonesia"	0.2239	-0.67	5	3	3	1	1	1.4721	2019	1	1.4721
83	"center of excellence for mechatronics industrial automation (pui-pt mia-rc), indonesia"	0.2242	-0.6715	5	3	3	1	1	1.4721	2019	1	1.4721
84	"center of excellence geopolymer and green technology (cegeogtech), school of materials engineering, universiti malaysia perlis (unimap), kangar, perlis, 01000, malaysia"	0.7321	-0.5139	38	4	4	1	2	2.9442	2019	2	2.9442
88	"center of excellence in automotive control and system, institut teknologi sepuluh nopember (its), its campus, keputih, sukolilo, surabaya, 60111, indonesia"	0.7203	0.6139	68	3	4	2	0	0	2019	0	0
92	"center of excellence in automotive control and system, institut teknologi sepuluh nopember, kampus keputih-sukolilo, jl. arif rahman hakim, surabaya, 60111, indonesia"	0.2227	-0.6736	5	2	4	2	1	1.4721	2019	0.5	0.736
93	"center of excellence in automotive control and system, institut teknologi sepuluh nopember, surabaya, 60111, indonesia"	0.5511	-0.7187	4	8	9	5	1	1.4721	2019	0.2	0.2944
97	"center of materials science and optoelectronics engineering, university of chinese academy of sciences, beijing, 100049, china"	0.8924	0.2063	47	4	4	1	3	4.4163	2019	3	4.4163
100	"center of research excellence in nanotechnology and chemical engineering department, king fahd university of petroleum and minerals (kfupm), dhahran, 31261, saudi arabia"	-0.6274	0.4279	83	3	3	1	0	0	2019	0	0
101	"central laboratory of minerals and advanced materials, faculty of mathematics and natural sciences, state university of malang, malang, east java, indonesia"	0.6261	0.6836	34	5	5	1	5	7.3605	2019	5	7.3605
103	"centre for advanced material and energy sciences, universiti brunei darussalam, tungku link road, darussalam, be1410, brunei darussalam"	-0.0019	-0.449	28	3	3	1	1	1.4721	2019	1	1.4721
106	"centre for envirnmental sustainability and water security (ipasa), research institute for sustainable environment (rise), universiti teknologi malaysia, skudai, johor 81310, malaysia"	0.8304	-0.0861	69	3	3	1	20	29.442	2019	20	29.442
107	"centre for environmental sustainability and water security (ipasa), research institute for sustainable environment (rise), universiti teknologi malaysia (utm), johor bahru, johor 81310, malaysia"	-0.0851	-0.685	13	4	4	1	7	10.3047	2019	7	10.3047
114	"centre of advanced material and energy sciences, university brunei darussalam, jalan tungku linkbe 1410, brunei darussalam"	-0.1887	0.1278	70	3	3	1	0	0	2019	0	0
116	"centre of hydrogen energy, institute of future energy, universiti teknologi malaysia, utm, johor bahru, johor, 81310, malaysia"	-0.9357	0.0372	48	4	4	1	6	8.8326	2019	6	8.8326
118	"centre of lipid engineering and applied research (clear), ibnu sina institute for scientific and industrial research, universiti teknologi malaysia, johor bahru, malaysia"	-0.3272	-0.5475	9	2	3	2	5	7.3605	2019	2.5	3.6802
119	"centre of region development and community empowerment, institut teknologi sepuluh nopember surabaya60111, indonesia"	-0.6569	0.296	55	4	4	1	0	0	2019	0	0
122	"chemical engineering department, chulalongkorn university, thailand"	-0.2456	-0.9128	49	4	4	1	0	0	2019	0	0
127	"chemical engineering department, gifu university, japan"	-0.2458	-0.9127	49	4	4	1	0	0	2019	0	0
128	"chemical engineering department, institut teknologi sepuluh nopember (its), jl. raya its, keputih, sukolilo, surabaya, 60111, indonesia"	0.7974	-0.2646	118	2	4	2	0	0	2019	0	0
130	"chemical engineering department, institut teknologi sepuluh nopember (its), surabaya, indonesia"	-0.2456	-0.9128	49	4	4	1	0	0	2019	0	0
134	"chemical engineering department, institut teknologi sepuluh nopember, surabaya, indonesia"	0.9138	-0.2293	71	3	3	1	0	0	2019	0	0
