id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	"adam smith business school, university of glasgow, glasgow, united kingdom"	-0.7615	-0.3039	21	2	2	1	0	0	2019	0	0
2	"agency for the assessment and application of technology (bppt), centre for machinery industry technology, jakarta, indonesia"	0.587	-0.4526	23	3	3	1	0	0	2019	0	0
3	"algebra research group, faculty of mathematics and natural sciences, institut teknologi bandung, bandung, indonesia"	0.2629	-0.2484	70	1	1	1	0	0	2019	0	0
4	"alice - a large ion colider experiment, european organization for nuclear research (cern), geneva, switzerland"	-0.0426	0.344	20	2	2	1	0	0	2019	0	0
5	"amik lamappapoleonro, lalabata rilau, lalabata, soppeng, 90812, indonesia"	0.3635	0.7117	48	2	2	1	0	0	2019	0	0
6	"and school of electrical engineering and informatics, telkom university, bandung institute of technology (itb), bandung, indonesia"	-0.7282	0.2081	37	3	3	1	0	0	2019	0	0
7	"applied science school, telkom university, sekolah tinggi pariwisata bandung, bandung, indonesia"	0.718	-0.329	129	0	0	1	1	2.1093	2019	1	2.1093
8	"bandung institute of technology, bandung, indonesia"	-0.6428	-0.6515	9	3	3	1	1	2.1093	2019	1	2.1093
9	"bandung institute of technology, department of industrial engineering, bandung, indonesia"	0.9088	-0.0766	15	5	5	3	0	0	2019	0	0
10	"bandung institute of technology, dept. of geodesy engineering, bandung, indonesia"	-0.6291	-0.4841	49	2	2	1	0	0	2019	0	0
11	"bandung institute of technology, school of electrical engineering and informatics, bandung, indonesia"	0.4906	0.7802	12	1	1	1	0	0	2019	0	0
12	"bandung institute of technology, school of electrical engineering and informatics, indonesia"	0.1334	-0.4348	13	1	1	1	0	0	2019	0	0
13	"bcn labs, telkom corporate, indonesia, sukarasa, sukasari, bandung, indonesia"	0.2524	-0.7077	71	1	1	1	0	0	2019	0	0
14	"big data science and technology, faculty of advanced science and technology, kumamoto university, japan"	0.1346	-0.4309	13	2	2	1	0	0	2019	0	0
15	"bina nusantara university, jakarta, indonesia"	0.8074	0.0493	46	1	1	1	0	0	2019	0	0
16	"bina nusantara university, west jakarta, indonesia"	-0.3587	0.4192	98	1	1	1	1	2.1093	2019	1	2.1093
17	"biomedical signal processing and instrumentation (biospin) research group, school of electrical engineering, telkom university, indonesia"	-0.0085	-0.2438	72	1	1	1	0	0	2019	0	0
18	"bp2d provinsi jawa barat, bandung, indonesia"	-0.6499	0.571	4	2	2	1	2	4.2186	2019	2	4.2186
19	"business administration program, telkom university, bandung, indonesia"	0.5981	-0.7269	73	1	1	1	0	0	2019	0	0
20	"business administration, telkom university, bandung, indonesia"	-0.7831	-0.4788	6	2	2	2	0	0	2019	0	0
21	"business development development directorate, jakarta, indonesia"	0.491	0.7807	12	1	1	1	0	0	2019	0	0
22	"business management, widyatama university, bandung, indonesia"	-0.7833	-0.4787	6	1	1	1	0	0	2019	0	0
23	"business school, bina nusantara university, jakarta, indonesia"	0.8032	0.3334	19	1	1	1	0	0	2019	0	0
24	"center for advanced wireless technologies (adwitech), school of electrical engineering, telkom university, jl. telekomunikasi no. 1, terusan buah batu, bandung, 40257, indonesia"	-0.2703	0.8467	130	0	0	1	1	2.1093	2019	1	2.1093
25	"center for advanced wireless technologies (adwitech), telkom university, bandung, indonesia"	0.9174	-0.1995	65	2	2	1	2	4.2186	2019	2	4.2186
26	"center for advanced wireless technologies (adwitech), telkom university, jl. telekomunikasi no. 1, terusan buah batu, bandung, 40257, indonesia"	-0.0813	-0.0803	131	0	0	2	0	0	2019	0	0
27	"center for regional environmental research, national institute for environmental studies, tsukuba, ibaraki 305-8506, japan"	0.2321	0.2656	31	4	4	1	2	4.2186	2019	2	4.2186
28	"center for regulation and management of telecommunication (crmt), school of electrical engineering, telkom university, bandung, indonesia"	-0.3104	0.6329	74	1	1	1	0	0	2019	0	0
29	"center for regulation management of telecommunication (crmt), school of electrical engineering, telkom university, bandung, indonesia"	0.2845	-0.6188	75	1	1	1	0	0	2019	0	0
30	"center of e-learning development, university of padjajaran, sumedang, indonesia"	-0.7201	0.4337	10	1	1	1	0	0	2019	0	0
31	"centre for advanced computing technology (cact), faculty of information and communication technology, hang tuah jaya durian tunggal, 76100, malaysia"	0.3773	0.2399	113	1	1	1	0	0	2019	0	0
