id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	"3d global biotech inc, new taipei city, 221, taiwan"	0.8894	-0.0226	2	9	9	1	3	2.7994	2019	3	2.7994
2	"3d global biotech inc., new taipei city, 221, taiwan"	0.8892	-0.0189	2	36	86	7	37	34.5264	2019	5.2857	4.9323
6	"advanced functional materials laboratory, department of engineering physics, faculty of industry technology, institut teknologi bandung, bandung, indonesia"	0.79	0.3318	81	3	6	2	2	1.8663	2019	1	0.9331
7	"advanced manufacturing research institute, national institute of advanced industrial science and technology, 807-1 shuku, tosu, saga 841-0052, japan"	-0.6003	-0.3854	14	1	1	2	6	5.5989	2019	3	2.7994
23	"agricultural microbiology department, universitas gadjah mada, bulaksumur, yogyakarta, 55281, indonesia"	-0.5805	-0.4554	17	8	8	1	3	2.7994	2019	3	2.7994
51	"agrotechnology innovation center, universitas gadjah mada, indonesia"	0.2788	0.27	85	2	2	2	2	1.8663	2019	1	0.9331
60	"alpen-adria university of klagenfurt, universitätsstr. 65–67, klagenfurt, 9020, austria"	0.2209	0.7245	15	14	14	1	23	21.4624	2019	23	21.4624
72	"applied mathematics department, national technical university, ukraine ""igor sikorsky kyiv polytechnic institute"", kyiv, ukraine"	-0.7595	-0.0589	1	6	6	1	0	0	2019	0	0
87	"ateneo de manila university, manila, philippines"	-0.6327	-0.1159	9	11	11	1	5	4.6657	2019	5	4.6657
88	"atta-ur-rahman school of applied biosciences, national university of science and technology, islamabad, pakistan"	-0.7259	-0.0751	1	6	6	1	4	3.7326	2019	4	3.7326
103	"banggai laut public hospital, banggai laut local government, central sulawesi, indonesia"	-0.6231	-0.2921	8	11	11	1	4	3.7326	2019	4	3.7326
105	"banjarbaru environment and forestry research and development institute, banjarbaru, indonesia"	0.5495	0.5759	35	7	7	1	2	1.8663	2019	2	1.8663
110	"bekasi general hospital, west java local government, bekasi, indonesia"	-0.6231	-0.2921	8	11	11	1	4	3.7326	2019	4	3.7326
112	"bill and melinda gates foundation, seattle, wa, united states"	-0.6925	-0.6673	24	9	9	1	0	0	2019	0	0
114	"bio farma pt, bandung, indonesia"	-0.6923	-0.6673	24	9	9	1	0	0	2019	0	0
115	"biobank development team, molecular biology laboratory, faculty of medicine, public health and nursing, universitas gadjah mada (fk-kmk ugm), yogyakarta, indonesia"	0.8497	-0.3922	30	8	8	1	0	0	2019	0	0
116	"biobank university medical center groningen (umcg), groningen, netherlands"	0.8498	-0.3921	30	8	8	1	0	0	2019	0	0
126	"biology master study program, faculty of biology, universitas gadjah mada, yogyakarta, indonesia"	0.123	0.0245	36	7	7	1	0	0	2019	0	0
128	"biology study program, faculty of science and technology, universitas al azhar, jakarta, indonesia"	0.1231	0.0244	36	7	7	1	0	0	2019	0	0
132	"biomedical technology r & d center, china medical university hospital, taichung, 404, taiwan"	0.8872	-0.014	2	16	26	2	6	5.5989	2019	3	2.7994
133	"biomolecular and biomedical research center, aretha medika utama, bandung, indonesia"	0.4802	-0.8078	45	6	6	1	1	0.9331	2019	1	0.9331
141	"biotechnology research center, universitas gadjah mada, yogyakarta, indonesia"	-0.296	0.2311	5	6	6	1	0	0	2019	0	0
145	"bogor agricultural university, bogor, indonesia"	-0.8506	0.1566	29	10	10	1	4	3.7326	2019	4	3.7326
148	"bpdashl baturusa cerucuk, bangka belitung islands province, indonesia"	0.5649	-0.6717	11	13	13	2	4	3.7326	2019	2	1.8663
150	"brunei neurosciences, stroke and rehabilitation centre (bnsrc), brunei darussalam"	0.75	-0.5384	16	13	13	1	2	1.8663	2019	2	1.8663
154	"burnet institute, melbourne, australia"	-0.8609	-0.1198	12	7	7	1	1	0.9331	2019	1	0.9331
162	"cancer chemoprevention research center, faculty of pharmacy, universitas gadjah mada, sekip utara, yogyakarta, 55281, indonesia"	-0.1549	0.5641	104	1	2	3	4	3.7326	2019	1.3333	1.2442
163	"cancer chemoprevention research center, faculty of pharmacy, universitas gadjah mada, yogyakarta, 55281, indonesia"	-0.6037	-0.3734	14	1	3	4	7	6.532	2019	1.75	1.633
164	"cancer chemoprevention research center, faculty of pharmacy, universitas gadjah mada, yogyakarta, indonesia"	-0.6008	-0.3919	14	8	8	3	4	3.7326	2019	1.3333	1.2442
175	"ceb-centre of biological engineering, university of minho, campus de gualtar, braga, 4710-057, portugal"	-0.5806	-0.4554	17	8	8	1	3	2.7994	2019	3	2.7994
179	"center for animal health and food safety, veterinary population medicine department, college of veterinary medicine, university of minnesota, st. paul, mn, united states"	0.2595	-0.8577	33	8	8	1	2	1.8663	2019	2	1.8663
189	"center for disaster mitigation and technological innovation (gama-inatek), universitas gadjah mada, yogyakarta, 55281, indonesia"	0.0456	-0.092	86	2	5	3	3	2.7994	2019	1	0.9331
193	"center for energy studies, gadjah mada university, sekip k-1a kampus ugm, yogyakarta, 55281, indonesia"	-0.565	0.7665	87	2	4	3	11	10.2646	2019	3.6667	3.4215
197	"center for energy studies, universitas gadjah mada, sekip k1-a, yogyakarta, 55281, indonesia"	-0.034	0.761	101	1	3	4	1	0.9331	2019	0.25	0.2333
223	"center for plant conservation botanic gardens, lipi, bogor, indonesia"	0.5646	-0.6749	11	6	6	1	0	0	2019	0	0
233	"center for reproductive health, faculty of medicine, public health and nursing, universitas gadjah mada (fk-kmk ugm), yogyakarta, indonesia"	0.8495	-0.392	30	8	8	1	0	0	2019	0	0
234	"center for reproductive medicine, department of obstetrics and gynecology, taipei medical university hospital, taipei, 11031, taiwan"	0.032	0.6581	52	6	6	1	1	0.9331	2019	1	0.9331
235	"center for reproductive medicine, department of obstetrics and gynecology, taipei medical university hospital, taipei, taiwan"	0.9021	-0.2484	46	6	6	1	3	2.7994	2019	3	2.7994
243	"center for tropical medicine and global health, nuffield department of medicine, university of oxford, united kingdom"	-0.8264	0.0789	3	6	6	1	2	1.8663	2019	2	1.8663
249	"center for tropical medicine, faculty of medicine, public health and nursing, universitas gadjah mada, yogyakarta, indonesia"	-0.8051	-0.0497	1	16	16	2	4	3.7326	2019	2	1.8663
250	"center for tropical medicine, faculty of medicine, public health, and nursing, universitas gadjah mada, yogyakarta, indonesia"	-0.8545	-0.114	12	13	13	2	3	2.7994	2019	1.5	1.3997
251	"center for tropical medicine, universitas gadjah mada, yogyakarta, indonesia"	-0.784	-0.0752	1	6	6	2	4	3.7326	2019	2	1.8663
255	"center of excellence for implementation science and scale-up, brac james p grant school of public health, dhaka, bangladesh"	-0.6214	-0.2351	8	8	8	1	1	0.9331	2019	1	0.9331
269	"centre for drugs and diagnostics research, department of tropical disease biology, liverpool school of tropical medicine, liverpool, united kingdom"	-0.7948	0.0063	1	10	10	1	3	2.7994	2019	3	2.7994
274	"centre for epidemiology and biostatistics, melbourne school of population and global health, university of melbourne, 207 bouverie street, melbourne, vic 3010, australia"	-0.6283	0.6951	31	8	8	1	2	1.8663	2019	2	1.8663
275	"centre for epidemiology and biostatistics, melbourne school of population and global health, university of melbourne, australia"	-0.8233	0.0724	3	13	13	1	9	8.3983	2019	9	8.3983
276	"centre for epidemiology and biostatistics, melbourne school of population and global health, university of melbourne, melbourne, australia"	-0.7992	-0.0044	1	8	8	1	0	0	2019	0	0
277	"centre for epidemiology and biostatistics, melbourne school of population and global health, university of melbournevic, australia"	-0.8265	0.0791	3	6	6	1	2	1.8663	2019	2	1.8663
