id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	"abhipraya foundation and cipto mangunkusumo hospital, jakarta, indonesia"	-0.5898	0.6938	39	9	9	1	2	1.6416	2019	2	1.6416
3	"acute critical care department, changhua hospital, ministry of health and welfare, taiwan"	0.3042	-0.7699	22	13	13	1	2	1.6416	2019	2	1.6416
4	"adam malik hospital, sumatera utara, indonesia"	-0.0651	-0.2366	2	7	7	1	6	4.9247	2019	6	4.9247
5	"advanced gastrointestinal endoscopy, mountain view, ca, united states"	-0.0867	0.929	47	8	8	1	6	4.9247	2019	6	4.9247
6	"advanced gastrointestinal endoscopy, university of indonesia, jakarta, indonesia"	-0.0871	0.9291	47	8	8	2	9	7.387	2019	4.5	3.6935
8	"africa health research institute, 719 umbilo road, durban, south africa"	0.6478	-0.3261	50	7	7	1	1	0.8208	2019	1	0.8208
13	"agency for the assessment and application of technology (bppt), puspiptek serpong, tangerang selatan, 15314, indonesia"	-0.8903	-0.256	65	3	9	4	11	9.0286	2019	2.75	2.2571
19	"aids research institute, yonsei university college of medicine, seoul, south korea"	0.7424	0.2913	1	24	24	1	3	2.4623	2019	3	2.4623
21	"airlangga universitas, indonesia"	0.4501	-0.8184	24	7	7	1	1	0.8208	2019	1	0.8208
23	"alan turing institute, london, united kingdom"	0.1059	-0.7053	29	11	11	1	3	2.4623	2019	3	2.4623
26	"amsterdam institute for global health and development, department of global health and development, amsterdam umc, university of amsterdam, north-holland, 1105 bm, netherlands"	0.6477	-0.3261	50	7	7	1	1	0.8208	2019	1	0.8208
34	"ankara university, faculty of languages, history and geography, department of anthropology, ankara, turkey"	0.6045	-0.6732	7	24	24	1	1	0.8208	2019	1	0.8208
42	"anzup cancer trials group, sydney, nsw, australia"	0.8486	-0.2498	8	24	24	1	10	8.2078	2019	10	8.2078
43	"ape lab, department of biology, university of padova, padova, 35131, italy"	-0.8032	0.4688	25	12	12	1	30	24.6233	2019	30	24.6233
53	"aschauhof 3, germany"	0.6048	-0.6729	7	24	24	1	1	0.8208	2019	1	0.8208
55	"ashoka trust for research in ecology and the environment (atree), bengaluru, india"	-0.0823	-0.7394	34	10	10	1	7	5.7454	2019	7	5.7454
57	"asian school of the environment, nanyang technological university, singapore, 637723, singapore"	-0.8034	0.4686	25	12	12	1	30	24.6233	2019	30	24.6233
59	"association for the improvement of mental health programmes, geneva, switzerland"	-0.6827	-0.3183	9	23	23	1	5	4.1039	2019	5	4.1039
66	"atma jaya catholic university of indonesia, jakarta, indonesia"	-0.3898	-0.8442	16	15	22	2	4	3.2831	2019	2	1.6416
67	"australian and new zealand urology nurses (anzuns), melbourne, vic, australia"	0.8484	-0.2497	8	24	24	1	10	8.2078	2019	10	8.2078
71	"bach mai hospital, hanoi, viet nam"	0.7395	0.2982	1	56	109	5	17	13.9532	2019	3.4	2.7906
80	"balai besar logam dan mesin, kementerian perindustrian republik indonesia, jl. sangkuriang no.12, bandung, west jawa, 40135, indonesia"	-0.5095	-0.5603	64	4	8	2	3	2.4623	2019	1.5	1.2312
84	"banda aceh, indonesia"	0.3103	0.5044	48	8	8	1	3	2.4623	2019	3	2.4623
86	"bayer ag, wuppertal, germany"	-0.7656	-0.034	10	20	20	1	22	18.0571	2019	22	18.0571
87	"bayer pharma ag, wuppertal, germany"	0.4809	0.7992	40	9	9	1	4	3.2831	2019	4	3.2831
88	"beijing anding hospital, capital medical university, beijing, china"	-0.6823	-0.3188	9	23	23	1	5	4.1039	2019	5	4.1039
89	"beijing ditan hospital, capital medical university, beijing, china"	0.7405	0.2978	1	50	88	4	11	9.0286	2019	2.75	2.2571
90	"beijing ditan hospital, capital medical university, bejing, china"	0.7355	0.3006	1	21	21	1	6	4.9247	2019	6	4.9247
91	"beijing united family hospital and clinics, beijing, china"	-0.2049	0.8998	26	12	12	1	1	0.8208	2019	1	0.8208
92	"berlin, germany"	0.3103	0.5044	48	8	8	1	3	2.4623	2019	3	2.4623
132	"bloomberg school of public health, johns hopkins university, baltimore, md, united states"	-0.5898	0.6938	39	9	9	1	2	1.6416	2019	2	1.6416
135	"botswana-upenn partnership, university of botswana, gaborone, botswana"	0.5055	-0.2124	17	15	15	1	1	0.8208	2019	1	0.8208
137	"burnet institute, melbourne, australia"	-0.0683	-0.2886	2	18	26	3	14	11.4909	2019	4.6667	3.8303
139	"canterbury district health board, christchurch, new zealand"	0.8486	-0.2496	8	24	24	1	10	8.2078	2019	10	8.2078
140	"canterbury urology research trust, christchurch, new zealand"	0.8485	-0.2492	8	24	24	1	10	8.2078	2019	10	8.2078
141	"cardiac department, national university health system, singapore"	-0.7657	-0.0338	10	20	20	1	22	18.0571	2019	22	18.0571
142	"cardinal stefan wyszynski university, ul. woycickiego 1/3, warsaw, 01-938, poland"	0.6044	-0.6726	7	24	24	1	1	0.8208	2019	1	0.8208
145	cardiovascular research institute national university heart centre singapore	-0.4043	0.6469	35	10	10	1	7	5.7454	2019	7	5.7454
146	"care hospital, hyderabad, india"	-0.7657	-0.0338	10	20	20	1	22	18.0571	2019	22	18.0571
148	"case western reserve university, cleveland, oh, united states"	-0.0693	-0.2999	2	11	19	2	11	9.0286	2019	5.5	4.5143
150	"cemistry education department, faculty of teacher training and education, universitas kristen indonesia, jakarta, indonesia"	0.7208	-0.5233	51	7	7	1	6	4.9247	2019	6	4.9247
160	"center for child and adolescent mental health, ta khmao city, cambodia"	-0.6824	-0.3186	9	23	23	1	5	4.1039	2019	5	4.1039
170	"center for human evolution modeling research, primate reserch institute, kyoto university, inuyama, japan"	-0.7004	0.6187	30	11	11	1	7	5.7454	2019	7	5.7454
171	"center for human nutrition, digestive disease and surgical institute, cleveland clinic, cleveland, oh, united states"	-0.3528	-0.6477	18	15	15	1	8	6.5662	2019	8	6.5662
175	"center for liver diseases, transplant institute, university of chicago biological sciences, rm m-454, 5841 south maryland ave., chicago, il 60637, united states"	-0.2787	0.2031	11	20	20	1	2	1.6416	2019	2	1.6416
