id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
8	"academy of geriatric cancer research (agecare), odense university hospital, odense c, denmark"	-0.7308	0.6041	20	13	13	1	2	1.936	2019	2	1.936
9	"academy of scientific and innovative research (acsir), csir-cgcri campus, kolkata, india"	0.4626	0.4926	1	18	24	4	6	5.808	2019	1.5	1.452
14	"adam malik hospital, sumatera utara, indonesia"	0.6572	-0.3971	7	7	7	1	6	5.808	2019	6	5.808
15	"adibhat foundation, new delhi, india"	-0.7309	0.6038	20	13	13	1	2	1.936	2019	2	1.936
20	"advanced functional materials laboratory, department of engineering physics, faculty of industry technology, institut teknologi bandung, bandung, indonesia"	-0.5794	0.0493	72	3	6	2	2	1.936	2019	1	0.968
21	"advanced functional materials research group, institut teknologi bandung jl. ganesha 10, bandung, 40132, indonesia"	-0.3689	-0.1322	48	6	6	1	1	0.968	2019	1	0.968
31	"airlangga hospital, surabaya, indonesia"	0.7663	0.0551	17	6	7	2	2	1.936	2019	1	0.968
32	"airlangga universitas, indonesia"	-0.3978	0.5745	40	7	7	1	1	0.968	2019	1	0.968
33	"airlangga university hospital, surabaya, indonesia"	-0.2586	0.3275	49	6	6	1	1	0.968	2019	1	0.968
35	"airlangga university surabaya, indonesia"	-0.9617	0.1649	88	1	3	5	0	0	2019	0	0
53	"airlangga university, indonesia"	-0.6168	-0.111	46	1	1	10	14	13.5519	2019	1.4	1.3552
57	"airlangga university, surabaya, indonesia"	-0.0175	0.9397	39	3	3	11	9	8.7119	2019	0.8182	0.792
60	"al-rayan research and innovation center, al-rayan colleges, medina, 42541, saudi arabia"	-0.2405	0.675	33	8	8	1	1	0.968	2019	1	0.968
72	"animal histology laboratory, faculty of science and technology, universitas airlangga, surabaya, 60115, indonesia"	-0.8917	0.1768	34	3	5	2	22	21.2958	2019	11	10.6479
76	"applied mechanics and design, school of mechanical engineering, faculty of engineering, universiti teknologi malaysia (utm), johor bahru, 81310, malaysia"	0.6921	-0.2457	11	3	4	2	7	6.7759	2019	3.5	3.388
