id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	argentina	-0.0637	0.1667	2	14	28	2	17	21.8193	2019	8.5	10.9096
2	australia	-0.2158	-0.0601	3	47	152	34	152	195.0899	2019	4.4706	5.7379
3	bangladesh	0.5679	-0.0947	16	3	5	3	4	5.1339	2019	1.3333	1.7113
4	belgium	0.2127	0.1064	6	7	8	2	7	8.9844	2019	3.5	4.4922
5	bogor agricultural	1.8402	0.1045	5	1	1	1	0	0	2019	0	0
6	brazil	-0.2506	0.2055	2	29	68	7	75	96.2615	2019	10.7143	13.7516
7	brunei darussalam	-0.785	-0.013	1	13	15	2	10	12.8349	2019	5	6.4174
8	cambodia	-1.0173	-0.0397	1	12	19	2	0	0	2019	0	0
9	canada	-0.5493	-0.1131	8	33	78	11	84	107.8128	2019	7.6364	9.8012
10	chile	-0.0061	-0.3174	3	5	5	1	14	17.9688	2019	14	17.9688
11	china	-0.7619	-0.0729	1	34	71	14	39	50.056	2019	2.7857	3.5754
12	cibinong	1.8444	-0.0397	10	1	1	1	0	0	2019	0	0
13	colombia	-0.1565	0.1771	2	19	43	4	20	25.6697	2019	5	6.4174
14	czech republic	-0.5455	-0.3432	8	8	10	3	4	5.1339	2019	1.3333	1.7113
15	denmark	-0.4482	-0.0261	3	23	43	4	55	70.5917	2019	13.75	17.6479
16	division of pathology	1.9274	-0.1107	11	1	1	1	0	0	2019	0	0
17	egypt	0.4325	0.1848	9	5	7	3	9	11.5514	2019	3	3.8505
18	email:	0.8457	-0.744	7	3	3	1	0	0	2019	0	0
19	estonia	-0.006	-0.3182	3	5	5	1	14	17.9688	2019	14	17.9688
20	faculty of agriculture	1.9226	0.187	5	1	1	1	0	0	2019	0	0
21	finland	-0.204	0.3365	2	4	4	1	19	24.3862	2019	19	24.3862
22	france	-0.336	0.1663	2	34	95	21	94	120.6477	2019	4.4762	5.7451
23	germany	-0.1284	0.0936	2	30	118	37	105	134.7661	2019	2.8378	3.6423
24	ghana	-0.064	0.1717	2	14	28	2	17	21.8193	2019	8.5	10.9096
25	greece	-0.4776	-0.1324	3	13	28	3	38	48.7725	2019	12.6667	16.2575
26	hong kong	-0.4919	-0.1327	3	13	26	2	36	46.2055	2019	18	23.1028
27	hungary	0.2682	-0.1141	15	3	3	1	6	7.7009	2019	6	7.7009
28	india	-0.4933	0.2407	4	20	31	8	29	37.2211	2019	3.625	4.6526
29	indonesia	0.7453	0.0181	5	75	504	1398	1091	1400	2019.0007	0.7804	1.0014
30	iran	1.8701	-0.2648	12	1	1	1	5	6.4174	2019	5	6.4174
31	ireland	0.2102	0.3568	6	2	2	1	1	1.2835	2019	1	1.2835
32	italy	-0.3641	0.1267	4	16	22	4	19	24.3862	2019	4.75	6.0966
33	japan	-0.0486	-0.0048	9	31	171	104	205	263.1147	2019	1.9712	2.5299
34	karawang	1.8577	-0.181	13	1	2	2	0	0	2019	0	0
35	kenya	-0.155	0.1881	2	18	39	3	19	24.3862	2019	6.3333	8.1287
