id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	australia	-0.0941	-0.43	4	24	106	40	174	177.5528	2019	4.35	4.4388
2	austria	0.1622	0.977	9	1	3	3	2	2.0408	2019	0.6667	0.6803
3	belgium	-0.2272	0.2068	7	2	6	4	9	9.1838	2019	2.25	2.2959
4	brazil	-0.2578	-0.4544	1	19	48	8	77	78.5722	2019	9.625	9.8215
5	canada	-0.2851	-0.4395	1	20	58	11	81	82.6539	2019	7.3636	7.514
6	chile	-0.1609	-0.5605	2	9	16	5	44	44.8984	2019	8.8	8.9797
7	china	-0.2124	-0.2708	4	24	94	31	154	157.1445	2019	4.9677	5.0692
8	cyprus	0.1136	1.0989	10	1	1	1	0	0	2019	0	0
9	denmark	-0.2995	-0.4108	1	16	16	1	20	20.4084	2019	20	20.4084
10	egypt	-0.6305	0.2389	3	2	4	2	2	2.0408	2019	1	1.0204
11	engineering	0.3059	0.9207	11	1	1	1	1	1.0204	2019	1	1.0204
12	finland	-0.3274	-0.4977	1	6	6	1	4	4.0817	2019	4	4.0817
13	france	-0.176	-0.4458	4	20	64	28	55	56.123	2019	1.9643	2.0044
14	ganesha 10	-0.1401	1.0277	12	1	1	1	0	0	2019	0	0
15	germany	-0.2176	-0.4718	2	26	80	27	132	134.6953	2019	4.8889	4.9887
16	ghana	-0.0506	-0.4084	4	6	12	2	9	9.1838	2019	4.5	4.5919
17	hong kong	0.0711	-0.2427	4	4	8	4	14	14.2859	2019	3.5	3.5715
18	iceland	0.4609	0.8576	5	1	1	1	1	1.0204	2019	1	1.0204
19	india	-0.3215	-0.3666	1	17	19	3	30	30.6126	2019	10	10.2042
20	indonesia	-0.0661	0.3526	5	51	542	1997	1959	1999	2019	0.981	1.001
21	informatics	7.382	-0.3712	13	0	0	2	0	0	2019	0	0
22	iraq	-0.6348	0.2355	3	2	2	1	6	6.1225	2019	6	6.1225
23	ireland	-0.3062	1.0432	14	1	1	1	0	0	2019	0	0
24	israel	-0.2188	1.0934	15	1	1	1	2	2.0408	2019	2	2.0408
25	italy	-0.3008	-0.4032	1	16	18	3	20	20.4084	2019	6.6667	6.8028
26	japan	0.0111	-0.0972	6	28	208	121	358	365.3099	2019	2.9587	3.0191
27	libyan arab jamahiriya	0.4065	0.9415	16	1	1	1	0	0	2019	0	0
28	malaysia	-0.5974	0.1855	3	7	32	24	42	42.8576	2019	1.75	1.7857
29	mexico	-0.2873	-0.3448	1	17	19	2	24	24.49	2019	12	12.245
30	myanmar	0.2714	1.041	17	1	1	1	0	0	2019	0	0
31	netherlands	-0.2314	0.1406	7	6	23	17	34	34.6942	2019	2	2.0408
32	new zealand	-0.0591	-0.6468	2	8	13	5	15	15.3063	2019	3	3.0613
33	norway	0.2295	-0.1131	18	3	4	2	7	7.1429	2019	3.5	3.5715
34	pakistan	-0.4205	-0.1746	3	10	14	4	23	23.4696	2019	5.75	5.8674
35	philippines	0.0135	1.0135	5	1	1	1	16	16.3267	2019	16	16.3267
36	portugal	-0.0687	-0.6653	2	7	7	1	4	4.0817	2019	4	4.0817
37	reunion	-0.0676	-0.665	2	7	7	1	4	4.0817	2019	4	4.0817
38	russian federation	-0.3322	-0.3536	1	21	28	3	36	36.7351	2019	12	12.245
39	saudi arabia	-0.053	-0.5946	2	3	8	6	33	33.6738	2019	5.5	5.6123
40	singapore	-0.1369	-0.2262	8	8	19	9	53	54.0822	2019	5.8889	6.0091
41	smkn 1 jamblang	-0.0539	1.1196	5	1	1	1	0	0	2019	0	0
42	south africa	-0.2671	-0.3866	1	17	20	2	26	26.5309	2019	13	13.2654
43	south korea	-0.314	-0.3375	1	21	92	32	154	157.1445	2019	4.8125	4.9108
44	spain	-0.0817	-0.6505	2	9	11	2	6	6.1225	2019	3	3.0613
45	sweden	0.2818	0.1742	6	2	4	2	12	12.245	2019	6	6.1225
46	switzerland	-0.2316	-0.5378	2	8	26	8	34	34.6942	2019	4.25	4.3368
47	taiwan	-0.0977	-0.1385	8	7	22	13	29	29.5921	2019	2.2308	2.2763
48	thailand	-0.4487	-0.1094	3	12	20	7	45	45.9188	2019	6.4286	6.5598
49	ukraine	-0.4064	-0.2265	3	8	8	1	14	14.2859	2019	14	14.2859
50	united kingdom	-0.2759	-0.3981	1	20	76	27	192	195.9204	2019	7.1111	7.2563
51	united states	-0.1572	-0.4331	2	28	166	62	279	284.6968	2019	4.5	4.5919
52	uzbekistan	0.3191	0.1435	6	2	6	3	1	1.0204	2019	0.3333	0.3401
53	viet nam	-0.5129	0.0609	3	4	7	4	8	8.1633	2019	2	2.0408
