id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	algeria	-0.6271	1.0425	6	3	4	2	12	17.6758	2019	6	8.8379
2	australia	-0.368	-0.608	8	3	13	11	18	26.5137	2019	1.6364	2.4103
3	austria	1.0299	-0.2308	1	5	6	2	1	1.473	2019	0.5	0.7365
4	brunei darussalam	-0.7961	-0.3883	5	2	7	4	2	2.946	2019	0.5	0.7365
5	china	0.9956	-0.2118	1	9	12	4	13	19.1488	2019	3.25	4.7872
6	egypt	-1.0174	-0.5117	4	3	3	1	5	7.3649	2019	5	7.3649
7	france	1.0086	-0.2229	1	7	14	8	15	22.0948	2019	1.875	2.7618
8	germany	0.8395	-0.1892	9	3	8	6	6	8.8379	2019	1	1.473
9	hungary	0.3231	0.3053	2	2	4	3	8	11.7839	2019	2.6667	3.928
10	india	-0.2413	-0.007	10	1	1	1	1	1.473	2019	1	1.473
11	indonesia	-0.0242	0.0207	2	41	293	1663	1129	1663	2019	0.6789	1
12	ireland	-1.0098	-0.5174	4	2	2	1	0	0	2019	0	0
13	italy	1.0334	-0.2312	1	5	5	1	1	1.473	2019	1	1.473
14	its	-0.9304	-0.3098	7	3	3	1	0	0	2019	0	0
15	japan	0.3605	0.2823	2	7	75	68	86	126.6767	2019	1.2647	1.8629
16	libyan arab jamahiriya	0.0778	-0.0472	14	1	1	1	1	1.473	2019	1	1.473
17	malaysia	-0.8414	-0.4005	5	9	96	80	168	247.4615	2019	2.1	3.0933
18	morocco	-0.6248	1.0393	6	3	5	3	13	19.1488	2019	4.3333	6.3829
19	netherlands	-0.2644	0.2725	12	1	3	3	2	2.946	2019	0.6667	0.982
20	nopember	-0.1465	-0.1108	11	1	1	1	0	0	2019	0	0
21	norway	1.0054	-0.2104	1	5	7	3	15	22.0948	2019	5	7.3649
22	palestine	-0.0179	0.1636	13	1	1	1	0	0	2019	0	0
23	philippines	0.0821	0.6594	3	2	4	3	37	54.5004	2019	12.3333	18.1668
24	poland	-0.3092	0.1541	15	1	1	1	1	1.473	2019	1	1.473
25	portugal	-0.0803	-0.2182	16	1	2	2	2	2.946	2019	1	1.473
26	purnomo	0.0656	-0.1792	17	1	1	1	2	2.946	2019	2	2.946
27	qatar	-0.3684	-0.6214	8	2	2	1	3	4.419	2019	3	4.419
28	romania	-0.8662	-0.4353	5	2	2	1	2	2.946	2019	2	2.946
29	russian federation	1.0135	-0.211	1	3	3	1	9	13.2569	2019	9	13.2569
30	rwanda	0.8219	-0.187	9	2	3	2	1	1.473	2019	0.5	0.7365
31	saudi arabia	-1.0019	-0.5085	4	4	17	9	37	54.5004	2019	4.1111	6.0556
32	south korea	-0.919	-0.3029	7	3	7	5	0	0	2019	0	0
33	sri lanka	0.4123	0.3418	2	2	2	1	12	17.6758	2019	12	17.6758
34	taiwan	0.1027	0.6581	3	5	28	23	30	44.1895	2019	1.3043	1.9213
35	tanzania	0.0195	-0.2852	19	1	1	1	1	1.473	2019	1	1.473
36	thailand	0.1371	0.5142	18	3	14	12	12	17.6758	2019	1	1.473
37	turkey	-0.1403	0.27	20	1	1	1	0	0	2019	0	0
38	united arab emirates	-0.6265	1.0428	6	3	4	2	12	17.6758	2019	6	8.8379
39	united kingdom	0.9988	-0.2299	1	5	15	11	18	26.5137	2019	1.6364	2.4103
40	united states	0.9676	-0.205	1	3	8	6	5	7.3649	2019	0.8333	1.2275
41	viet nam	0.1055	0.6968	3	2	4	2	8	11.7839	2019	4	5.8919
42	yemen	-0.1793	0.1174	21	1	3	3	2	2.946	2019	0.6667	0.982
