id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	australia	0.4936	0.3357	1	4	6	3	3	6.3279	2019	1	2.1093
2	bangladesh	0.662	-0.3505	3	2	4	2	1	2.1093	2019	0.5	1.0546
3	chile	-0.2691	0.8518	4	2	4	2	12	25.3115	2019	6	12.6557
4	china	-0.2392	0.7121	4	3	7	5	1	2.1093	2019	0.2	0.4219
5	egypt	0.7845	-0.0487	7	2	2	1	0	0	2019	0	0
6	finland	-1.5591	-0.401	5	2	6	3	0	0	2019	0	0
7	germany	-1.5583	-0.4041	5	2	6	3	0	0	2019	0	0
8	indonesia	-0.1058	-0.0018	2	26	119	772	366	772	2019	0.4741	1
9	iraq	0.6375	-0.2381	8	2	2	1	0	0	2019	0	0
10	japan	-0.124	0.5004	9	3	24	21	15	31.6393	2019	0.7143	1.5066
11	malaysia	0.6989	-0.1326	3	12	61	47	42	88.5902	2019	0.8936	1.8849
12	netherlands	-0.5925	-0.1222	10	1	1	1	0	0	2019	0	0
13	nigeria	1.0832	-0.2859	6	3	3	1	1	2.1093	2019	1	2.1093
14	north macedonia	-0.3629	0.1487	2	1	1	1	2	4.2186	2019	2	4.2186
15	pakistan	1.072	-0.2825	6	3	5	2	2	4.2186	2019	1	2.1093
16	saudi arabia	0.4599	0.3541	1	2	4	3	0	0	2019	0	0
17	science	-0.2292	-0.2858	11	1	1	1	0	0	2019	0	0
18	south korea	-0.3976	-0.4507	12	1	4	4	2	4.2186	2019	0.5	1.0546
19	spain	-0.5124	-0.3061	2	1	1	1	1	2.1093	2019	1	2.1093
20	sudan	0.7926	-0.1608	3	2	2	1	0	0	2019	0	0
21	sweden	-0.366	-0.0926	13	1	1	1	0	0	2019	0	0
22	switzerland	-0.2272	-0.4742	14	1	1	1	0	0	2019	0	0
23	taiwan	-0.537	0.235	15	1	2	2	3	6.3279	2019	1.5	3.1639
24	thailand	-0.6104	0.0725	16	1	1	1	0	0	2019	0	0
25	united kingdom	-0.248	0.8086	4	4	11	7	22	46.4044	2019	3.1429	6.6292
26	united states	0.5113	0.3107	1	3	5	3	3	6.3279	2019	1	2.1093
27	yemen	0.7435	-0.292	17	2	2	1	1	2.1093	2019	1	2.1093
