id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	afghanistan	-0.2814	-0.076	5	12	12	1	1	0.9328	2019	1	0.9328
2	australia	0.1298	-0.3166	9	27	115	59	159	148.3109	2019	2.6949	2.5137
3	austria	0.6393	0.4596	6	8	15	8	36	33.5798	2019	4.5	4.1975
4	bangladesh	-0.7471	-0.1819	2	10	13	3	2	1.8655	2019	0.6667	0.6218
5	belgium	-0.3149	0.0711	3	17	30	12	49	45.7059	2019	4.0833	3.8088
6	bhutan	-0.5851	0.4581	1	6	6	1	5	4.6639	2019	5	4.6639
7	brazil	-0.1434	-0.2539	5	18	23	2	14	13.0588	2019	7	6.5294
8	brunei darussalam	-0.5641	0.4939	1	9	9	1	2	1.8655	2019	2	1.8655
9	cambodia	-0.5749	0.4784	1	11	16	3	7	6.5294	2019	2.3333	2.1765
10	canada	0.0502	-0.4207	4	13	15	3	20	18.6555	2019	6.6667	6.2185
11	chemistry	1.345	0.6747	10	2	2	1	1	0.9328	2019	1	0.9328
12	china	0.529	0.4201	6	12	27	10	66	61.563	2019	6.6	6.1563
13	colombia	-0.7392	-0.2054	2	11	14	2	7	6.5294	2019	3.5	3.2647
14	czech republic	0.4547	-0.6173	8	2	4	2	2	1.8655	2019	1	0.9328
15	denmark	0.6957	0.4899	6	3	6	4	10	9.3277	2019	2.5	2.3319
16	estonia	-0.2931	0.4201	1	3	3	1	1	0.9328	2019	1	0.9328
17	ethiopia	-0.3157	-0.1316	5	13	16	2	1	0.9328	2019	0.5	0.4664
18	finland	0.0111	-0.4551	4	11	12	2	16	14.9244	2019	8	7.4622
19	france	-0.3059	-0.091	5	19	35	14	27	25.1849	2019	1.9286	1.7989
20	germany	-0.7714	-0.0945	2	21	50	24	52	48.5042	2019	2.1667	2.021
21	ghana	-0.7595	-0.2053	2	9	12	3	7	6.5294	2019	2.3333	2.1765
22	guinea	-0.9641	-0.1349	2	2	2	1	0	0	2019	0	0
23	hong kong	0.7554	-0.7095	9	2	3	2	2	1.8655	2019	1	0.9328
24	india	-0.3394	-0.2	3	13	27	12	18	16.7899	2019	1.5	1.3992
25	indonesia	0.4148	0.003	7	63	643	1999	2143	1999	2019.0005	1.072	1
26	iran	-0.411	-0.3046	3	4	5	2	3	2.7983	2019	1.5	1.3992
27	iraq	-0.2042	-0.1107	3	3	8	4	4	3.7311	2019	1	0.9328
28	ireland	0.0479	-0.5147	4	12	14	2	14	13.0588	2019	7	6.5294
29	italy	0.1067	-0.6033	4	3	5	3	1	0.9328	2019	0.3333	0.3109
30	japan	0.678	0.374	10	20	172	128	273	254.6471	2019	2.1328	1.9894
31	kenya	-0.4416	-0.2559	2	7	9	2	3	2.7983	2019	1.5	1.3992
32	laos	-0.5661	0.4952	1	9	9	1	2	1.8655	2019	2	1.8655
33	malaysia	-0.212	0.1063	1	34	113	54	126	117.5294	2019	2.3333	2.1765
34	mexico	0.1942	-0.7403	4	2	2	1	1	0.9328	2019	1	0.9328
35	mongolia	-0.9639	-0.1189	2	2	2	1	0	0	2019	0	0
36	myanmar	-0.5489	0.5014	1	10	11	2	2	1.8655	2019	1	0.9328
37	nepal	2.4546	0.4754	11	1	2	2	1	0.9328	2019	0.5	0.4664
38	netherlands	0.2008	-0.4047	8	21	73	42	121	112.8655	2019	2.881	2.6873
39	new zealand	0.0321	-0.4649	4	11	19	7	41	38.2437	2019	5.8571	5.4634
40	nigeria	-0.7769	-0.2218	2	8	8	1	1	0.9328	2019	1	0.9328
41	norway	0.5915	0.4179	6	10	19	9	33	30.7815	2019	3.6667	3.4202
42	pakistan	0.5508	-0.2544	8	5	7	3	11	10.2605	2019	3.6667	3.4202
43	papua new guinea	-0.2786	-0.0804	5	12	12	1	1	0.9328	2019	1	0.9328
44	philippines	-0.624	0.446	1	14	22	6	15	13.9916	2019	2.5	2.3319
45	poland	-0.0416	0.1314	3	3	4	2	12	11.1933	2019	6	5.5966
46	portugal	0.6259	0.4492	6	7	9	3	27	25.1849	2019	9	8.395
47	saudi arabia	2.4375	-0.5092	7	1	3	3	10	9.3277	2019	3.3333	3.1092
48	singapore	-0.4427	0.3957	1	16	30	12	19	17.7227	2019	1.5833	1.4769
49	south africa	-0.6869	-0.2363	2	11	13	2	4	3.7311	2019	2	1.8655
50	south korea	-0.4479	0.6716	12	4	15	11	26	24.2521	2019	2.3636	2.2047
51	spain	0.0387	0.1181	3	8	16	8	48	44.7731	2019	6	5.5966
52	sri lanka	-0.5624	0.4307	1	8	9	2	5	4.6639	2019	2.5	2.3319
53	sudan	-0.2768	-0.076	5	12	12	1	1	0.9328	2019	1	0.9328
54	sweden	-0.1542	-0.3412	3	17	34	13	57	53.1681	2019	4.3846	4.0899
55	switzerland	-0.776	-0.2233	2	8	8	1	1	0.9328	2019	1	0.9328
56	taiwan	0.3885	0.2796	6	15	69	40	91	84.8824	2019	2.275	2.1221
57	thailand	-0.3675	0.2882	1	27	60	17	40	37.3109	2019	2.3529	2.1948
58	timor leste	2.49	-0.188	7	1	2	2	0	0	2019	0	0
59	turkey	-0.3502	-0.0847	3	4	4	1	2	1.8655	2019	2	1.8655
60	ukraine	2.496	0.1492	7	1	1	1	0	0	2019	0	0
61	united arab emirates	-0.7502	0.3285	1	3	3	1	4	3.7311	2019	4	3.7311
62	united kingdom	-0.0248	-0.3629	4	25	95	37	116	108.2017	2019	3.1351	2.9244
63	united states	-0.2886	-0.1302	2	36	100	36	120	111.9328	2019	3.3333	3.1092
64	viet nam	-0.462	0.2927	1	22	35	6	30	27.9832	2019	5	4.6639
