id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	affairs	-0.3735	0.2567	3	10	10	1	2	1.2308	2019	2	1.2308
2	afghanistan	-0.4333	-0.3147	4	12	18	2	14	8.6157	2019	7	4.3079
3	and social work	0.1797	-0.281	6	2	2	1	1	0.6154	2019	1	0.6154
4	argentina	-0.2376	-0.2681	1	10	10	1	8	4.9233	2019	8	4.9233
5	armenia	-0.2788	0.3896	2	19	38	2	29	17.8468	2019	14.5	8.9234
6	australia	-0.362	-0.0919	4	54	329	59	961	591.4074	2019	16.2881	10.0239
7	austria	-0.3825	-0.2336	8	9	10	2	2	1.2308	2019	1	0.6154
8	bangladesh	-0.3241	0.3869	2	24	85	8	54	33.232	2019	6.75	4.154
9	belgium	-0.1431	-0.2766	1	22	44	11	19	11.6928	2019	1.7273	1.063
10	botswana	-0.3897	-0.2339	8	8	8	1	1	0.6154	2019	1	0.6154
11	brazil	-0.2687	-0.32	1	27	38	5	12	7.3849	2019	2.4	1.477
12	brunei darussalam	-0.3258	0.1792	3	25	46	10	45	27.6934	2019	4.5	2.7693
13	bulgaria	-1.0468	0.0561	5	4	4	1	1	0.6154	2019	1	0.6154
14	cambodia	-0.4076	0.2665	3	26	129	14	39	24.0009	2019	2.7857	1.7144
15	cameroon	-0.1724	-0.2261	1	15	15	1	59	36.3091	2019	59	36.3091
16	canada	-0.2441	-0.1979	1	42	86	11	108	66.4641	2019	9.8182	6.0422
17	cancer institute hospital	-0.5103	0.2974	11	9	9	1	2	1.2308	2019	2	1.2308
18	chile	-0.2516	-0.3752	1	3	4	2	12	7.3849	2019	6	3.6924
19	china	-0.3189	0.2618	2	42	335	30	240	147.698	2019	8	4.9233
20	colombia	-0.0428	-0.0888	1	6	6	1	1	0.6154	2019	1	0.6154
21	croatia	-0.1705	-0.3106	1	13	14	2	1	0.6154	2019	0.5	0.3077
22	czech republic	-0.145	-0.2278	1	25	32	3	64	39.3861	2019	21.3333	13.1287
23	denmark	-0.1473	-0.2025	1	23	28	2	1	0.6154	2019	0.5	0.3077
24	ecuador	-0.1734	-0.2256	1	15	15	1	59	36.3091	2019	59	36.3091
25	egypt	-0.2704	0.3665	2	22	65	6	55	33.8475	2019	9.1667	5.6412
26	estonia	-0.123	-0.2154	1	19	28	3	31	19.0777	2019	10.3333	6.3592
27	ethiopia	-0.4328	-0.3137	4	12	18	2	14	8.6157	2019	7	4.3079
28	fiji	-0.5566	-0.3381	4	6	12	2	11	6.7695	2019	5.5	3.3847
29	finland	-0.1063	0.02	15	14	18	4	36	22.1547	2019	9	5.5387
30	france	-0.203	-0.2558	1	54	137	24	812	499.7116	2019	33.8333	20.8213
