id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
10	abdullah c.i.	0.4667	-0.1998	1	5	5	2	0	0	2019	0	0
13	abdullah m.	-0.0249	0.6335	30	14	59	15	19	20.0488	2019	1.2667	1.3366
14	abdulmadjid s.n.	0.6073	-0.616	20	24	38	2	9	9.4968	2019	4.5	4.7484
19	abdurrachman m.	0.6625	0.1086	14	5	5	3	3	3.1656	2019	1	1.0552
24	abidin h.z.	0.1196	-0.7204	4	8	11	6	14	14.7728	2019	2.3333	2.4621
27	abu n.a.	0.6059	0.2627	35	12	12	1	0	0	2019	0	0
30	achiari h.	-0.9201	0.7172	22	21	24	3	25	26.38	2019	8.3333	8.7933
33	adatte t.	1.0197	-0.2781	15	15	15	1	4	4.2208	2019	4	4.2208
36	adhika d.r.	-0.0976	-0.0406	11	14	23	8	8	8.4416	2019	1	1.0552
40	adi k.	0.2365	0.0612	16	8	17	3	8	8.4416	2019	2.6667	2.8139
41	adi t.r.	-0.6321	-0.2768	6	10	10	1	6	6.3312	2019	6	6.3312
45	adiono t.	-0.2609	-0.164	33	11	36	38	29	30.6008	2019	0.7632	0.8053
50	aditiawati p.	-0.3398	0.4956	24	13	14	5	7	7.3864	2019	1.4	1.4773
57	adnyana i.k.	0.2775	-0.3028	11	5	9	7	8	8.4416	2019	1.1429	1.2059
59	adriansyah n.m.	-0.4184	-0.5227	27	4	8	6	0	0	2019	0	0
67	afifah z.n.	1.1157	0.0588	7	11	11	1	0	0	2019	0	0
69	afini i.	-0.5202	0.7272	3	6	10	2	4	4.2208	2019	2	2.1104
80	agusta m.k.	-0.4927	0.1336	18	8	19	6	17	17.9384	2019	2.8333	2.9897
83	agustiadi t.	-0.5705	-0.3549	6	9	9	2	16	16.8832	2019	8	8.4416
89	agustine e.	0.7966	-0.0335	38	13	13	2	0	0	2019	0	0
90	agustini k.	1.1125	0.3353	7	12	12	1	0	0	2019	0	0
95	ahmad a.s.	-0.0509	0.0464	16	5	6	3	8	8.4416	2019	2.6667	2.8139
104	ai b.	-0.251	-0.0433	5	11	21	6	1	1.0552	2019	0.1667	0.1759
106	aimon a.h.	-0.0973	0.3934	3	11	30	11	9	9.4968	2019	0.8182	0.8633
125	akbar f.t.	-0.527	-0.0024	18	8	13	7	3	3.1656	2019	0.4286	0.4522
135	akmalia r.	-0.0093	-0.8605	4	11	11	1	2	2.1104	2019	2	2.1104
144	alam b.r.	-0.1228	-0.3319	9	3	5	9	0	0	2019	0	0
150	alatas h.	-0.5926	0.2839	2	6	11	2	5	5.276	2019	2.5	2.638
151	alatas i.m.	-0.3392	-0.7808	19	19	19	1	1	1.0552	2019	1	1.0552
158	alfat s.	0.8382	-0.0405	38	11	11	1	0	0	2019	0	0
182	alsaadi a.	0.2492	1.0348	31	12	12	1	21	22.1592	2019	21	22.1592
187	amal r.	-0.9533	-0.0017	26	18	32	5	27	28.4904	2019	5.4	5.6981
192	amalia n.	-0.0754	0.6368	30	11	29	6	2	2.1104	2019	0.3333	0.3517
196	amalina a.n.	0.0167	-0.1566	11	6	8	2	4	4.2208	2019	2	2.1104
209	amin m.	-0.0702	-0.4041	18	9	9	4	7	7.3864	2019	1.75	1.8466
215	amir m.f.	0.6763	-0.0389	14	7	14	2	8	8.4416	2019	4	4.2208
222	anam c.	0.1909	0.1288	16	10	49	9	22	23.2144	2019	2.4444	2.5794
223	ananda a.r.	0.1188	-0.14	37	3	8	4	3	3.1656	2019	0.75	0.7914
232	andhika b.	0.7955	0.1847	34	12	12	1	0	0	2019	0	0
237	andini n.	-0.4462	-0.5555	27	2	5	3	0	0	2019	0	0
243	andreas h.	0.0596	-0.7226	4	20	36	10	2	2.1104	2019	0.2	0.211
246	andriana b.b.	-0.6109	0.3076	2	6	15	3	5	5.276	2019	1.6667	1.7587
251	andromeda t.	-0.4059	-0.3657	18	5	5	2	0	0	2019	0	0
255	anggadwita g.	-0.5032	0.9585	55	0	0	3	1	1.0552	2019	0.3333	0.3517
261	anggono t.	0.5561	-0.3277	1	4	6	2	0	0	2019	0	0
266	anggreni sarsito d.	0.1032	-0.6257	4	6	11	3	0	0	2019	0	0
276	anjum d.	0.247	1.0063	31	12	12	1	21	22.1592	2019	21	22.1592
277	annisa r.	0.4547	-0.8592	28	9	18	2	0	0	2019	0	0
279	anshori i.	-0.3466	-0.0188	33	4	4	4	0	0	2019	0	0
288	anwar k.	-0.2822	-0.3987	9	5	5	8	2	2.1104	2019	0.25	0.2638
294	aprianti d.	0.0297	0.5409	24	1	3	3	0	0	2019	0	0
300	"aprilia, hakim m.i."	0.5575	0.5444	21	3	6	4	1	1.0552	2019	0.25	0.2638
315	ardi n.s.	1.0614	-0.5586	50	1	3	3	0	0	2019	0	0
329	arianto a.	0.6159	0.2372	35	12	12	1	0	0	2019	0	0
330	arida e.	-0.2144	1.0729	23	19	33	4	16	16.8832	2019	4	4.2208
332	arief budiman b.	-0.3656	-0.4119	18	4	5	3	0	0	2019	0	0
339	arif i.	0.1745	0.2201	16	13	41	10	17	17.9384	2019	1.7	1.7938
344	arifianto m.s.	-0.2434	-0.3212	9	5	14	8	6	6.3312	2019	0.75	0.7914
352	arifyanto m.i.	0.5635	0.5151	21	7	12	11	5	5.276	2019	0.4545	0.4796
353	ariga k.	-0.8864	0.2766	2	12	12	1	2	2.1104	2019	2	2.1104
356	arini h.m.	0.1425	0.4923	5	5	10	2	0	0	2019	0	0
366	ariwahjoedi s.	0.6363	0.9124	29	2	7	4	0	0	2019	0	0
370	ariztegui d.	1.0202	-0.3239	15	20	32	2	13	13.7176	2019	6.5	6.8588
373	arman z.	1.1668	0.0709	7	11	11	1	0	0	2019	0	0
385	arunachalam s.	0.2748	1.0084	31	12	12	1	21	22.1592	2019	21	22.1592
389	aryanti p.t.p.	-0.7565	-0.2047	17	8	14	5	19	20.0488	2019	3.8	4.0098
391	aránguiz r.	-0.8935	0.762	22	13	14	2	40	42.2081	2019	20	21.104
397	asiah n.	1.1452	0.2668	7	12	12	1	0	0	2019	0	0
401	asri l.a.t.w.	-0.322	0.4192	3	6	7	3	5	5.276	2019	1.6667	1.7587
413	astuti b.	-0.1014	0.7694	30	3	5	2	0	0	2019	0	0
414	astuti d.i.	-0.5967	0.0969	17	4	9	5	9	9.4968	2019	1.8	1.8994
417	atarita f.r.	0.6135	0.1354	14	7	10	2	1	1.0552	2019	0.5	0.5276
419	atmajaya g.k.m.	0.354	-0.8506	28	12	26	5	0	0	2019	0	0
423	aulia a.i.	0.0232	-0.3785	12	4	8	3	2	2.1104	2019	0.6667	0.7035
433	austin c.c.	-0.3156	1.0084	23	19	19	1	4	4.2208	2019	4	4.2208
458	aziz a.a.	0.311	0.7202	10	3	3	2	5	5.276	2019	2.5	2.638
460	aziz m.	-0.1667	-0.5203	18	7	10	5	18	18.9936	2019	3.6	3.7987
474	bachtiar b.m.	-0.6546	0.4876	8	19	27	2	11	11.6072	2019	5.5	5.8036
475	bachtiar e.w.	-0.6766	0.5283	8	19	27	2	11	11.6072	2019	5.5	5.8036
479	backlin a.r.	-0.2485	1.0716	23	19	19	1	4	4.2208	2019	4	4.2208
492	balqis m.	1.1254	0.0321	7	11	11	1	0	0	2019	0	0
493	bando y.	-0.7712	0.1549	2	14	27	4	33	34.8217	2019	8.25	8.7054
495	bandung y.	-0.5442	1.0859	56	0	0	7	1	1.0552	2019	0.1429	0.1507
499	banjar-nahor k.m.	0.3277	-0.5615	12	3	7	6	0	0	2019	0	0
504	barlian a.	-0.463	0.6808	3	11	13	5	5	5.276	2019	1	1.0552
511	basri m.h.	0.5132	1.0557	45	2	5	5	4	4.2208	2019	0.8	0.8442
517	bauer k.w.	0.9505	-0.3511	15	20	32	2	13	13.7176	2019	6.5	6.8588
521	bedard p.l.	-0.335	-1.0904	25	17	17	1	4	4.2208	2019	4	4.2208
522	bedford n.m.	-0.9541	-0.0365	26	16	18	2	20	21.104	2019	10	10.552
525	belgiawan p.f.	-0.0867	-1.1108	57	0	0	3	19	20.0488	2019	6.3333	6.6829
527	benning l.g.	0.9458	-0.4201	15	17	17	1	9	9.4968	2019	9	9.4968
528	benu d.p.	-0.0169	-0.1332	11	8	17	3	5	5.276	2019	1.6667	1.7587
541	bijaksana s.	0.7567	-0.1017	14	54	104	23	45	47.4841	2019	1.9565	2.0645
542	bilal m.	0.5731	-0.4789	20	19	32	2	8	8.4416	2019	4	4.2208
546	bird b.w.	-0.8979	-0.4099	6	20	20	1	2	2.1104	2019	2	2.1104
547	birowosuto m.d.	-0.0673	0.2102	13	19	19	2	12	12.6624	2019	6	6.3312
550	blake g.r.	-0.1762	-0.1385	11	3	3	2	2	2.1104	2019	1	1.0552
551	blom m.p.k.	-0.2836	1.1185	23	19	19	1	4	4.2208	2019	4	4.2208
553	bolzan j.f.	-0.9509	-0.3769	6	20	20	1	2	2.1104	2019	2	2.1104
557	bragg j.g.	-0.2837	0.9969	23	19	19	1	4	4.2208	2019	4	4.2208
559	bramanto b.	0.1428	-0.799	4	14	17	6	5	5.276	2019	0.8333	0.8793
574	budi w.s.	0.3853	-0.2296	16	24	34	4	18	18.9936	2019	4.5	4.7484
575	budi-santoso a.	0.4264	-0.0187	1	10	10	1	1	1.0552	2019	1	1.0552
581	budiman b.a.	-0.0609	-0.6091	4	4	7	9	2	2.1104	2019	0.2222	0.2345
599	burbidge d.	0.2621	-0.0577	1	14	14	1	6	6.3312	2019	6	6.3312
622	carey s.	-0.7844	-0.8462	36	10	10	1	23	24.2696	2019	23	24.2696
623	carleton b.c.	-0.2942	-1.0612	25	17	17	1	4	4.2208	2019	4	4.2208
624	carretero m.a.	-0.3286	1.0388	23	19	19	1	4	4.2208	2019	4	4.2208
637	chan k.k.	-0.1049	0.1967	13	14	14	1	11	11.6072	2019	11	11.6072
646	chen c.-k.	-0.159	0.2516	13	14	14	1	11	11.6072	2019	11	11.6072
647	chen c.-t.	-0.4334	-0.0557	13	15	15	1	2	2.1104	2019	2	2.1104
650	chen z.	-0.3832	-1.0734	25	17	17	1	4	4.2208	2019	4	4.2208
678	crowe s.a.	0.9445	-0.288	15	20	32	2	13	13.7176	2019	6.5	6.8588
679	cui g.	-0.4835	-0.0314	13	15	15	1	2	2.1104	2019	2	2.1104
680	cui y.	-1.0315	-0.0217	26	11	11	1	11	11.6072	2019	11	11.6072
681	cui z.	-0.4068	-0.0655	13	15	15	1	2	2.1104	2019	2	2.1104
682	cummins p.	0.4106	-0.1562	1	6	8	4	9	9.4968	2019	2.25	2.3742
685	dabarsyah b.	0.1021	0.0252	16	1	5	5	0	0	2019	0	0
692	dahono p.a.	0.2005	-0.5269	12	2	6	8	2	2.1104	2019	0.25	0.2638
698	damanhuri e.	0.0135	-0.056	11	3	3	4	10	10.552	2019	2.5	2.638
703	danudirdjo d.	0.1186	-0.1792	37	8	16	6	3	3.1656	2019	0.5	0.5276
706	darma y.	0.0207	0.1635	16	9	28	9	17	17.9384	2019	1.8889	1.9932
720	daryono m.r.	0.3301	-0.1012	1	16	16	2	11	11.6072	2019	5.5	5.8036
722	"daryono, wiyono s.h."	0.2968	-0.0402	1	14	14	1	6	6.3312	2019	6	6.3312
724	davis m.e.	-0.9802	-0.435	6	20	20	1	2	2.1104	2019	2	2.1104
742	desfitriady d.	0.5778	0.2635	35	12	12	1	0	0	2019	0	0
747	devianto h.	-0.722	-0.5781	17	3	5	3	8	8.4416	2019	2.6667	2.8139
748	devina a.	-0.5796	-0.74	27	10	10	1	2	2.1104	2019	2	2.1104
769	dian nugraha a.	0.5155	-0.2882	1	6	10	4	0	0	2019	0	0
780	dinata i.s.	0.3824	-0.8234	28	11	25	4	0	0	2019	0	0
783	dipojono h.k.	-0.456	0.1275	18	10	22	9	39	41.1529	2019	4.3333	4.5725
790	djamal m.	0.4734	0.0313	10	6	7	5	9	9.4968	2019	1.8	1.8994
791	djarwadi d.	-0.3775	-0.6875	19	19	19	1	1	1.0552	2019	1	1.0552
796	djunaidy m.	-0.271	-0.7245	19	19	19	1	1	1.0552	2019	1	1.0552
799	dou s.x.	-0.8439	0.0986	2	9	9	2	10	10.552	2019	5	5.276
801	dougherty g.	0.1632	0.1016	16	11	50	10	24	25.3248	2019	2.4	2.5325
805	drögemöller b.i.	-0.3893	-1.1117	25	17	17	1	4	4.2208	2019	4	4.2208
806	du x.	-0.4653	-0.0865	13	15	15	1	2	2.1104	2019	2	2.1104
812	dupuis p.	0.4502	-0.7638	28	2	6	3	1	1.0552	2019	0.3333	0.3517
820	dwi wicaksono b.g.	0.2987	-0.7217	28	5	7	4	0	0	2019	0	0
827	dwiputra d.	0.6201	0.7746	29	5	21	6	1	1.0552	2019	0.1667	0.1759
831	dwivany f.m.	0.2412	0.6981	10	4	5	4	3	3.1656	2019	0.75	0.7914
