id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
2	abadi i.	0.2144	-0.2774	24	3	4	8	7	10.3109	2019	0.875	1.2889
4	abate a.	-0.1747	-0.495	22	12	13	2	1	1.473	2019	0.5	0.7365
5	abd aziz m.h.	0.7061	-0.2366	32	11	11	1	4	5.8919	2019	4	5.8919
6	abdel-rahman i.	-0.3649	-1.0181	15	9	9	1	12	17.6758	2019	12	17.6758
9	abdillah a.i.	0.5168	-0.3855	24	3	4	2	2	2.946	2019	1	1.473
10	abdul f.	0.6852	-0.0993	11	3	9	5	3	4.419	2019	0.6	0.8838
12	abdullah d.	-1.1684	-0.1626	33	11	11	1	0	0	2019	0	0
14	abdullah m.m.a.b.	0.587	0.3719	29	10	10	1	2	2.946	2019	2	2.946
16	abdullah s.r.s.	-0.2424	0.412	31	6	10	2	18	26.5137	2019	9	13.2569
21	abiyoga d.r.a.	-0.2288	1.0175	1	10	10	1	0	0	2019	0	0
24	achmad daeng g.s.	-0.6253	-0.567	17	23	23	1	1	1.473	2019	1	1.473
25	achmad daengs g.s.	-0.9123	-0.1073	12	10	13	2	18	26.5137	2019	9	13.2569
30	adelia w.p.	0.7968	-0.3981	9	8	8	1	0	0	2019	0	0
32	adhitya r.y.	-0.1602	0.7067	1	20	22	2	0	0	2019	0	0
35	adi santoso a.	-1.0632	0.0948	19	24	24	1	0	0	2019	0	0
39	adiati r.f.	0.6225	-0.3592	9	7	7	2	0	0	2019	0	0
41	adinda e.w.	-0.5789	0.7658	34	10	10	1	0	0	2019	0	0
45	aditya e.w.	-0.358	0.8508	1	10	10	1	0	0	2019	0	0
47	aditya p.	0.1425	0.2153	9	4	8	4	0	0	2019	0	0
51	aditya y.	0.4279	-0.234	9	8	8	1	1	1.473	2019	1	1.473
54	adni navastara d.	-0.3508	0.1061	5	9	9	1	1	1.473	2019	1	1.473
56	adzkiya d.	-0.0841	-0.3463	22	21	28	15	8	11.7839	2019	0.5333	0.7856
59	affandi a.	0.4215	0.4718	36	4	6	4	0	0	2019	0	0
70	agus muhamad h.	0.7393	-0.4231	9	9	12	4	0	0	2019	0	0
73	agustiadi t.	-0.4523	-0.5834	35	9	9	1	2	2.946	2019	2	2.946
78	agustina f.	-0.4383	-0.2711	10	3	4	3	5	7.3649	2019	1.6667	2.455
82	ahmad h.	0.9551	-0.2501	18	4	4	2	2	2.946	2019	1	1.473
84	ahmad t.	-0.5401	0.1379	5	3	7	19	28	41.2436	2019	1.4737	2.1707
86	ahsan m.	0.5625	0.6339	13	6	17	5	2	2.946	2019	0.4	0.5892
89	airlangga b.	-0.2124	-0.8118	3	4	6	2	3	4.419	2019	1.5	2.2095
91	aisjah a.s.	0.6167	-0.5283	24	9	13	7	1	1.473	2019	0.1429	0.2104
93	ajeng ayu f.c.	0.8156	-0.4452	9	8	8	1	0	0	2019	0	0
103	akhlus s.	-0.3716	-0.568	35	10	10	2	2	2.946	2019	1	1.473
111	al farraj d.a.	0.2672	-0.0593	25	10	18	3	26	38.2976	2019	8.6667	12.7659
113	al firdaus m.j.	-0.2242	0.7689	1	11	11	1	0	0	2019	0	0
116	al khulaifi m.m.	0.2921	-0.076	25	10	18	3	26	38.2976	2019	8.6667	12.7659
118	al mahbubi n.r.	-0.1011	0.6367	1	11	11	1	0	0	2019	0	0
126	al-muttaqii m.	0.2402	-0.7184	7	3	9	3	2	2.946	2019	0.6667	0.982
130	alami n.h.	-0.265	-0.3935	10	9	13	4	0	0	2019	0	0
146	ali s.	0.1261	0.7779	28	12	12	1	0	0	2019	0	0
155	almehdi a.m.	-0.3511	-0.9928	15	9	9	1	12	17.6758	2019	12	17.6758
158	altway a.	-0.0478	-0.7455	3	28	60	19	16	23.5678	2019	0.8421	1.2404
172	amir m.f.	0.2932	0.3236	30	7	14	2	8	11.7839	2019	4	5.8919
176	anam f.	-1.2462	-0.1369	33	11	11	1	0	0	2019	0	0
178	anam s.	-0.5216	0.5511	20	7	20	5	0	0	2019	0	0
181	andarani p.	-0.9799	0.6289	39	7	7	1	1	1.473	2019	1	1.473
193	angel j.	1.1149	0.3179	4	11	11	1	0	0	2019	0	0
198	anggono j.	0.7975	-0.0441	11	1	1	2	8	11.7839	2019	4	5.8919
199	anggoro d.	0.9059	-0.2136	18	15	16	3	2	2.946	2019	0.6667	0.982
200	anggoro r.	-0.4847	0.135	5	6	7	5	7	10.3109	2019	1.4	2.0622
203	anggraeni w.	-0.7065	0.3853	14	5	7	4	1	1.473	2019	0.25	0.3682
219	anshory i.	0.4485	0.5678	36	2	3	3	3	4.419	2019	1	1.473
220	ansori a.	-0.187	-1.0632	15	6	9	2	1	1.473	2019	0.5	0.7365
229	anuar mohamed m.k.	-0.0145	-0.3074	22	3	6	2	10	14.7298	2019	5	7.3649
232	anwar n.	-0.8188	-0.8546	55	0	0	4	4	5.8919	2019	1	1.473
236	aouniti a.	-0.4042	-0.9722	15	9	9	1	12	17.6758	2019	12	17.6758
238	aparamarta h.w.	0.1472	-0.7604	7	7	15	6	3	4.419	2019	0.5	0.7365
240	apriliani e.	0.1748	0.1751	9	6	10	6	0	0	2019	0	0
246	ardhyananta h.	0.7017	0.1114	11	8	14	8	0	0	2019	0	0
248	ardian kurniawan m.	-0.7696	-0.5657	17	23	23	1	1	1.473	2019	1	1.473
249	ardiani i.s.	0.9313	0.2096	18	4	4	2	0	0	2019	0	0
260	ardyono p.	-0.48	1.1278	43	4	10	3	0	0	2019	0	0
263	ari i.m.p.	0.1428	0.8036	28	12	12	1	0	0	2019	0	0
268	ariatama f.p.	-0.1068	0.7968	1	12	12	1	0	0	2019	0	0
272	arif d.k.	0.1148	0.1961	9	5	9	5	0	0	2019	0	0
276	arifiani s.	-0.4824	0.204	5	8	12	3	2	2.946	2019	0.6667	0.982
278	arifianto d.	0.6769	-0.5609	24	3	5	4	1	1.473	2019	0.25	0.3682
279	arifin a.	0.1534	0.9836	28	2	3	3	0	0	2019	0	0
280	arifin a.z.	-0.2921	-0.0471	21	9	26	12	9	13.2569	2019	0.75	1.1047
283	arifin m.	0.2015	0.8058	28	12	12	1	0	0	2019	0	0
284	arifin m.i.	-0.129	0.5899	1	11	11	1	0	0	2019	0	0
285	arifin r.	1.1256	0.0892	18	3	8	3	5	7.3649	2019	1.6667	2.455
288	arifin z.	0.9455	0.1388	18	2	4	2	0	0	2019	0	0
290	arini h.m.	0.0465	0.687	27	6	11	2	0	0	2019	0	0
294	aristio a.p.	-0.2683	0.071	5	3	3	3	0	0	2019	0	0
295	ariwiyono n.	-0.1055	0.3574	16	8	8	1	2	2.946	2019	2	2.946
297	ariyanti n.	-0.2302	-0.1743	6	5	10	3	0	0	2019	0	0
299	arjulanaya	-1.0732	0.1982	19	24	24	1	0	0	2019	0	0
303	arohman a.w.	0.399	0.0679	26	2	3	3	0	0	2019	0	0
