id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	aamir m.	-0.653	-0.0457	20	5	5	1	1	2.1066	2019	1	2.1066
2	ab rahman n.h.	-0.0079	-1.0895	63	3	3	1	3	6.3197	2019	3	6.3197
3	abbas b.s.	-0.2341	-0.2428	36	3	3	1	0	0	2019	0	0
4	abd rahim e.	-0.6363	0.8291	42	5	5	1	1	2.1066	2019	1	2.1066
5	abda m.r.	-0.9067	0.4255	25	9	9	1	0	0	2019	0	0
6	abdillah a.	-0.3634	-0.1731	17	3	3	1	0	0	2019	0	0
8	abdul ghani n.	-1.1204	-0.253	64	3	3	1	1	2.1066	2019	1	2.1066
9	abdul rahman m.n.	-0.4551	0.904	3	8	8	1	1	2.1066	2019	1	2.1066
10	abdulbasah kamil a.	-1.132	-0.2353	64	3	3	1	1	2.1066	2019	1	2.1066
11	abdullah m.t.	-0.4236	0.9216	3	8	15	2	1	2.1066	2019	0.5	1.0533
12	abdulmana s.	-0.0152	0.7341	8	3	3	1	0	0	2019	0	0
13	abdurohman m.	-0.6533	-0.6011	1	7	21	15	0	0	2019	0	0
15	abu bakar m.y.	-0.3262	-0.7347	24	4	4	2	2	4.2131	2019	1	2.1066
17	adachi t.	0.8629	0.5537	34	7	7	1	0	0	2019	0	0
19	adam prasetyo y.	0.0729	0.8781	8	3	3	1	1	2.1066	2019	1	2.1066
20	adelia c.	1.0321	0.2191	12	4	4	1	0	0	2019	0	0
22	adetia m.	-0.798	-0.4804	29	7	7	1	0	0	2019	0	0
23	adhinugraha k.m.	-0.7042	-0.8595	65	3	3	1	0	0	2019	0	0
26	aditsania a.	0.0047	0.0578	4	9	16	7	4	8.4262	2019	0.5714	1.2037
27	aditya b.r.	0.0859	1.0729	40	6	10	6	0	0	2019	0	0
28	adiwiganda m.r.	-0.4884	-0.6333	1	4	4	1	0	0	2019	0	0
29	adiwijaya	-0.109	-0.7262	24	4	4	7	5	10.5328	2019	0.7143	1.5047
31	"adiwijaya, aditsania a."	1.0477	0.4415	91	0	0	3	1	2.1066	2019	0.3333	0.7022
36	"adiwijaya, mubarok m.s."	-0.3118	-0.7166	24	4	4	3	2	4.2131	2019	0.6667	1.4044
39	"adiwijaya, utama d.q."	1.0525	0.5421	92	0	0	3	0	0	2019	0	0
41	adjie f.	-0.0233	-0.1904	13	3	3	1	0	0	2019	0	0
42	adriansyah n.m.	0.453	-0.3955	11	12	19	7	4	8.4262	2019	0.5714	1.2037
45	adytia d.	0.278	-0.5832	53	5	8	8	7	14.7459	2019	0.875	1.8432
46	adzkia m.	-0.5172	-0.1767	17	4	4	1	0	0	2019	0	0
47	afakh m.l.	-0.211	0.3234	6	9	9	1	1	2.1066	2019	1	2.1066
48	afif z.a.	-0.5974	0.6282	7	4	4	1	0	0	2019	0	0
49	"agisni, soesanto r.p."	0.9026	0.1382	12	3	3	1	1	2.1066	2019	1	2.1066
51	agung a.a.g.	-0.288	1.0542	66	3	3	1	2	4.2131	2019	2	4.2131
52	agusta r.p.	0.5718	-0.0154	5	3	3	1	0	0	2019	0	0
55	ahmad a.s.	-0.688	0.4214	7	9	13	3	0	0	2019	0	0
57	ahmad u.a.	0.6683	0.9229	57	4	4	1	0	0	2019	0	0
58	ahmed i.	-0.6498	-0.005	20	5	5	1	1	2.1066	2019	1	2.1066
59	aisha a.n.	0.5077	-0.8618	52	5	9	3	2	4.2131	2019	0.6667	1.4044
61	aji g.m.	0.7543	0.1435	19	6	6	1	0	0	2019	0	0
62	aji m.p.	-0.616	-0.2413	30	8	8	1	0	0	2019	0	0
63	ajidarma p.	0.9849	0.3124	12	4	4	1	3	6.3197	2019	3	6.3197
64	ajiwiguna t.a.	0.2847	-1.0161	41	6	8	6	0	0	2019	0	0
67	akhyar i.m.	-0.1046	0.4042	6	9	9	1	0	0	2019	0	0
68	akmal kasah feisal kasah a.	-0.6658	0.8287	42	5	5	1	1	2.1066	2019	1	2.1066
70	akmaludin jadhira a.	0.6662	0.7329	47	5	5	1	0	0	2019	0	0
72	al-khowarizmi	0.1022	0.731	23	3	3	1	0	0	2019	0	0
74	aladalah m.	-0.7254	-0.864	65	3	3	1	0	0	2019	0	0
