id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	abs	0.9638	0.1612	1	1	20	5	2019	0	0
2	acacia	-0.061	-0.0335	9	25	124	5	2019	0.6	0.752
3	acanthuridae	1.1972	0.2129	12	12	182	6	2019	0	0
4	accession	-0.1922	0.1133	10	62	661	46	2019	0.5	0.6267
5	ace	-0.9332	0.5453	13	11	280	10	2019	0	0
6	aceh cattle	-0.7281	0.5319	15	22	276	14	2019	2.2857	2.8648
7	aceh province	-0.218	-0.1162	4	22	68	6	2019	1.6667	2.0889
8	acepa	0.1686	0.5555	7	10	138	6	2019	1	1.2534
9	acetic acid	-0.7011	-0.3466	2	30	135	6	2019	0.8333	1.0445
10	acetone	-1.1958	-0.0359	4	26	147	5	2019	1.2	1.504
11	actinomycete	-0.842	0.3661	13	31	311	13	2019	1.2308	1.5426
12	actinomycetes	-0.9025	0.3695	13	27	155	7	2019	1.7143	2.1486
13	actinomycetes isolate	-0.9145	0.4168	13	22	129	6	2019	1.5	1.88
14	activated carbon	-0.3243	-0.4905	2	12	69	6	2019	0	0
15	activation energy	0.0243	-0.2733	2	7	30	6	2019	0.8333	1.0445
16	adf	-1.078	-0.1802	9	36	213	6	2019	0	0
17	adi	-0.3322	0.0361	10	11	245	7	2019	0	0
18	administration	-0.6144	0.3516	6	98	472	19	2019	0.4737	0.5937
19	adsorbent	-0.3496	-0.4941	2	21	144	12	2019	0.4167	0.5222
20	adult	0.369	0.2221	1	42	177	12	2019	0.5	0.6267
21	advance	-0.2472	-0.0829	15	56	185	10	2019	4.6	5.7654
22	affective design	0.7231	0.0085	3	9	71	7	2019	0	0
23	agar medium	-0.7575	0.4533	13	25	106	6	2019	0.8333	1.0445
24	age group	-0.2867	0.1192	10	22	179	7	2019	0	0
25	agribusiness	0.4294	0.1001	14	30	159	15	2019	0	0
26	agricultural landscape	1.1343	0.3738	12	23	70	5	2019	0.6	0.752
27	agroforestry	0.6242	-0.4976	8	20	70	6	2019	0	0
28	agronomic character	0.2509	0.3204	12	29	99	9	2019	0.4444	0.557
29	al2o3	-0.4659	-0.4629	15	3	72	8	2019	0	0
30	alkaline	-0.6655	-0.4058	2	39	69	5	2019	0.2	0.2507
31	alkaloid	-0.919	-0.0829	4	80	295	10	2019	0.9	1.128
32	allele	0.2932	0.6372	7	64	423	25	2019	1.16	1.4539
33	aloe vera	-0.586	-0.3471	11	17	119	5	2019	0	0
34	alteration	-0.3803	0.4435	7	45	118	7	2019	1.5714	1.9696
35	alternative livelihood	0.8953	0.0367	12	15	64	6	2019	0.3333	0.4178
36	alternative source	-0.3503	-0.3374	3	53	124	7	2019	5.1429	6.4458
37	altitude	0.5084	-0.1782	5	27	301	30	2019	0.0667	0.0836
38	aluminum	-0.2017	0.4011	7	40	94	6	2019	0.1667	0.2089
39	amf	0.1098	-0.062	16	26	126	11	2019	1.1818	1.4812
40	ammonium	-0.0878	-0.0848	16	24	141	6	2019	0	0
41	anatomical characteristic	0.3451	-0.635	8	14	72	7	2019	2.5714	3.2229
42	anatomy	-0.0906	0.0356	12	50	181	19	2019	0	0
43	anemic pregnant woman	-0.1729	-0.0444	17	11	186	6	2019	0	0
44	angelina	1.262	-0.1944	19	11	102	6	2019	0.6667	0.8356
45	animal feed	-0.225	-0.0815	3	37	141	6	2019	0.1667	0.2089
46	animal waste	-0.3735	-0.3796	3	1	5	5	2019	31	38.8541
47	annealing temperature	-0.5828	-0.6253	2	26	94	8	2019	0.375	0.47
48	anthocephalus cadamba	-0.0207	-0.3589	8	62	185	7	2019	0.5714	0.7162
49	anthropogenic pressure	1.0246	0.0978	1	14	50	5	2019	0.8	1.0027
50	anti	-0.6427	-0.2048	4	27	70	5	2019	0	0
51	antibacterial activity	-0.7439	0.1622	13	120	481	27	2019	0.4815	0.6035
52	antibiotic	-0.6909	0.5157	13	54	224	10	2019	0.2	0.2507
53	antibody	-0.5707	-0.1846	2	33	154	14	2019	1.0714	1.3429
54	antifungal activity	-0.8407	0.1244	13	42	263	11	2019	1.9091	2.3928
