id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	3d reconstruction	-0.8671	-0.1472	2	4	20	5	2019	0	0
2	3d video game	-0.8725	-0.1278	3	7	80	5	2019	0	0
3	3vr	-0.058	0.1021	12	10	174	6	2019	1	1.473
4	abnormality	-0.5771	-0.0566	17	17	62	6	2019	0.3333	0.491
5	absorber	0.1495	-0.1117	17	46	361	25	2019	0.24	0.3535
6	absorption	1.0323	0.0322	1	139	594	35	2019	0.8286	1.2205
7	abundance	0.2042	-0.0936	12	60	243	12	2019	1.25	1.8412
8	acacia mangium	0.2423	-0.6066	16	19	138	7	2019	0	0
9	academic information system	-1.0639	-0.0824	5	16	91	6	2019	0.1667	0.2455
10	acceptance	-1.0125	-0.1193	8	32	106	13	2019	2	2.946
11	accuracy level	-0.3651	-0.1843	17	36	136	7	2019	0.1429	0.2104
12	accuracy value	-0.8157	-0.1051	2	17	54	7	2019	0.1429	0.2104
13	accurate forecast	-0.8471	0.1861	3	44	212	11	2019	0.4545	0.6695
14	acetic acid	0.7473	-0.1571	9	66	278	15	2019	0.3333	0.491
15	acetone	1.3036	-0.1018	18	44	302	14	2019	0.5	0.7365
16	acetylene gas	0.9177	0.1708	1	10	95	5	2019	0	0
17	achievement	-0.8661	0.0219	3	33	224	13	2019	0.1538	0.2266
18	acid	0.9478	-0.2016	9	273	1428	78	2019	1.1923	1.7563
19	acidic condition	0.9796	-0.1433	11	22	73	5	2019	5.8	8.5433
20	aco	-0.2928	-0.1883	13	33	219	7	2019	0	0
21	aco algorithm	-0.5336	-0.0793	8	9	51	5	2019	0	0
22	acoustic emission	0.2036	0.0565	5	27	132	6	2019	1.3333	1.964
23	acoustic signal	-0.1496	0.0776	5	13	104	10	2019	0	0
24	activated carbon	1.0351	-0.104	11	51	366	20	2019	1.45	2.1358
25	activation function	-0.1289	-0.2351	13	48	180	9	2019	1.3333	1.964
26	activator	0.8716	0.0443	1	35	153	10	2019	0.3	0.4419
27	active site	1.0085	-0.0994	4	80	169	5	2019	1.2	1.7676
