id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	15th day	-0.6538	0.3633	8	62	175	6	2019	2.3333	2.128
2	2nd	-0.5377	0.1735	14	34	127	6	2019	1.5	1.368
3	30th day	-0.3699	-0.312	2	21	155	5	2019	0.4	0.3648
4	7th day	-0.6843	-0.162	13	51	239	9	2019	0	0
5	a hydrophila	-0.4154	-0.0867	11	20	99	5	2019	0.6	0.5472
6	aas	-0.2457	-0.5052	12	45	112	6	2019	0.3333	0.304
7	abi	0.2266	0.3045	1	11	91	8	2019	0	0
8	absorption	-0.5724	-0.4572	20	137	376	22	2019	0.8636	0.7876
9	abundance	-0.1039	-0.6381	2	73	594	29	2019	0.2759	0.2516
10	ace	0.1566	0.1772	19	12	68	6	2019	3.1667	2.888
11	acetone	-0.7001	-0.3137	7	43	126	6	2019	0.5	0.456
12	acidity	-0.6284	-0.0465	13	53	140	6	2019	2.1667	1.976
13	acr	-0.3149	0.7052	8	15	72	5	2019	1.6	1.4592
14	act	0.0407	-0.1201	1	53	149	10	2019	0.4	0.3648
15	activated bentonite	-0.2006	-0.3789	7	15	76	5	2019	0.8	0.7296
16	activation energy	-0.0779	-0.4935	6	5	20	6	2019	0.8333	0.76
17	active compound	-0.3061	0.0435	11	34	88	6	2019	0.3333	0.304
18	active ingredient	-0.5874	0.0447	11	49	141	9	2019	0	0
19	active waste bank	0.2287	-0.3803	5	10	79	6	2019	0	0
20	ad msc	-1.0523	0.5955	18	11	165	5	2019	0	0
21	adhd	0.3911	0.2484	9	6	46	9	2019	0	0
22	adipocyte	-0.9136	0.907	8	13	163	7	2019	0	0
23	admission	0.4607	0.3885	3	46	190	11	2019	0.3636	0.3316
24	admsc	-0.9535	0.2351	18	29	350	8	2019	3.75	3.42
25	adolescent pregnancy	0.3608	0.4377	17	5	135	5	2019	0	0
26	adsorbent	-0.4121	-0.5219	7	90	932	44	2019	0.6591	0.6011
27	adsorbent height variation	-0.1407	-0.4239	7	18	183	6	2019	0.3333	0.304
28	adsorption	-0.374	-0.5321	7	105	1089	53	2019	1.0566	0.9636
29	adsorption process	-0.5332	-0.5456	7	32	133	5	2019	1.8	1.6416
30	adversity quotient	1.1577	0.3972	3	3	70	5	2019	1	0.912
31	aerator	-0.3772	-0.3074	2	28	235	10	2019	0.2	0.1824
32	aeromonas hydrophila	-0.4775	-0.0412	11	36	145	9	2019	0.4444	0.4053
33	agnp	-0.7331	-0.4526	20	25	188	8	2019	6.5	5.928
34	agnps	-0.7657	-0.4083	20	13	130	5	2019	8	7.2959
35	agp	-0.5438	-0.2106	2	14	66	5	2019	1.4	1.2768
