id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	abundance	0.6713	0.5711	9	62	308	19	2019	3.1053	3.1654
2	acceleration	-0.6145	0.3975	4	57	222	21	2019	0.4762	0.4854
3	acid	1.2714	-0.0709	1	187	1741	128	2019	2.0703	2.1104
4	adaptation	-0.6829	0.4685	4	68	211	17	2019	0.1176	0.1199
5	additive	1.2868	-0.1609	1	60	359	25	2019	1.36	1.3863
6	afternoon	-0.266	1.0827	4	27	132	13	2019	0	0
7	agent	0.6635	-0.0374	1	176	1049	79	2019	1.4557	1.4839
8	alloy	1.1966	-0.1498	1	52	428	42	2019	0.8095	0.8252
9	alpha	-0.712	-0.4149	2	44	166	11	2019	0.3636	0.3707
10	android	-0.5669	-0.4	2	60	170	13	2019	0.3077	0.3137
11	android application	-0.9162	-0.2816	2	41	157	14	2019	0.3571	0.3641
12	anfis	0.0269	-0.2074	5	18	60	11	2019	1.0909	1.112
13	angle	-0.0359	-0.2132	5	187	1221	116	2019	0.5517	0.5624
14	ann	-0.2585	-0.3106	5	44	161	14	2019	1	1.0194
15	antenna	-0.1191	-0.7429	6	92	1905	149	2019	0.3826	0.39
16	antibacterial activity	1.3568	-0.0058	1	57	314	19	2019	2.5789	2.6289
17	appearance	-0.1886	-0.3634	5	95	253	15	2019	0.5333	0.5437
18	april	-0.2827	0.5045	4	65	147	13	2019	0.5385	0.5489
19	architecture	-0.7381	-0.3423	2	165	925	104	2019	1.1442	1.1664
20	array antenna	0.053	-0.7474	6	30	284	28	2019	0.2857	0.2912
21	article	-0.6251	0.1124	3	188	909	89	2019	0.764	0.7788
22	artificial intelligence	-0.3932	-0.3471	5	44	129	14	2019	0.7143	0.7281
23	artificial neural network	-0.2678	-0.3327	5	55	180	16	2019	0.4375	0.446
24	ash	0.8037	0.3187	1	69	492	29	2019	1.069	1.0897
25	asteroid	-0.0711	0.2003	4	11	75	12	2019	0.5	0.5097
26	attitude	-0.8574	0.2387	3	49	207	16	2019	1	1.0194
27	august	-0.1753	0.8723	4	74	410	22	2019	2.6818	2.7338
28	automation	-0.8074	-0.1707	2	46	143	16	2019	0.1875	0.1911
29	awareness	-0.6399	0.152	3	79	176	17	2019	2	2.0387
30	baby	-0.7408	-0.2788	2	28	244	13	2019	0	0
31	bacterium	1.222	0.1681	1	108	833	51	2019	2.098	2.1387
32	bagasse	1.0781	0.1769	1	41	212	13	2019	0.0769	0.0784
33	bali	0.1795	0.4884	4	57	282	21	2019	1.5238	1.5533
34	band	0.1217	-0.2609	6	171	879	74	2019	0.9595	0.978
35	bandung	-0.5708	0.4558	3	208	1302	94	2019	0.5	0.5097
36	bandung basin	-0.2487	0.7603	4	45	285	23	2019	1.7826	1.8171
37	bandung city	-0.7482	0.4322	3	36	167	11	2019	0.4545	0.4633
38	bandwidth	-0.2111	-0.6598	6	127	780	61	2019	0.5902	0.6016
39	bar	0.4155	0.0075	1	90	483	35	2019	1.2286	1.2524
40	baseline	-0.3688	-0.0571	2	71	196	16	2019	0.5625	0.5734
41	battery	0.1545	-0.3747	6	151	1105	102	2019	1.6078	1.639
42	ber	-0.5749	-0.5709	2	47	206	24	2019	0.6667	0.6796
43	best performance	-0.3664	-0.3922	2	81	186	12	2019	0.25	0.2548
44	better result	-0.4714	-0.2744	2	54	110	11	2019	0.4545	0.4633
