id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	a algorithm	-0.8505	0.2203	3	8	120	10	2019	0	0
2	abc	0.5376	-0.1544	4	28	134	8	2019	0.25	0.5273
3	abc access	1.0173	-0.2256	1	10	102	6	2019	0	0
4	abnormality	-0.3188	-0.1318	7	25	102	7	2019	0.8571	1.808
5	academic	0.8405	-0.1978	12	37	113	5	2019	0.2	0.4219
6	acceptance	1.0348	-0.2824	1	61	201	14	2019	0.3571	0.7533
7	access control	0.2588	-0.5132	13	8	195	10	2019	0	0
8	aco	-0.2858	-0.1527	4	30	150	9	2019	1.5556	3.2811
9	actuator	-0.2141	0.639	8	32	115	7	2019	0.4286	0.904
10	adaptation	0.8221	-0.0605	1	26	232	10	2019	0.5	1.0546
11	adasyn	-0.2465	-0.3488	2	11	59	5	2019	0.8	1.6874
12	adoption	1.0026	-0.1785	1	54	188	14	2019	0.3571	0.7533
13	advanced metering infrastructure	-0.4823	0.6083	5	14	88	5	2019	0	0
14	agreement	1.1032	-0.0642	1	38	113	11	2019	0.1818	0.3835
15	air quality	-0.4527	0.3966	3	14	63	6	2019	0.5	1.0546
16	alpha	-0.626	-0.5062	2	29	75	6	2019	0	0
17	alternative	0.3303	0.0816	1	69	173	10	2019	0.7	1.4765
18	android	-0.5127	0.0212	7	66	282	21	2019	0.6667	1.4062
19	anfis	-0.3118	-0.3168	2	21	83	5	2019	3.4	7.1716
20	angle	-0.1912	0.4897	8	61	380	21	2019	0.0476	0.1004
21	answer	0.0304	-0.4982	9	11	82	6	2019	0	0
22	ant colony optimization	-0.2406	-0.1511	4	31	112	8	2019	1.375	2.9003
23	antenna	-0.7556	0.9618	10	68	1299	108	2019	0.2963	0.625
24	approval	0.9617	-0.2699	1	40	93	6	2019	0.6667	1.4062
25	arabic	0.1617	-1.0157	11	13	114	6	2019	0.5	1.0546
