id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	3d model	0.3114	-0.418	3	11	63	7	2019	1.2857	1.1999
2	a macrophyllus	0.3934	0.0092	4	1	7	7	2019	0	0
3	a mangium	-0.5277	-0.0938	1	5	45	5	2019	2	1.8665
4	aae	-0.3946	0.5699	6	22	316	14	2019	0.6429	0.5999
5	aas	-0.5711	-0.1555	20	37	101	7	2019	0.4286	0.4
6	abc	-0.7957	0.0651	15	6	84	6	2019	0	0
7	abdominal tuberculosis	0.2361	0.2511	22	3	36	9	2019	0	0
8	absorbance	-0.7567	-0.1523	1	53	150	8	2019	1	0.9332
9	absorption	-0.5396	-0.3585	12	116	491	25	2019	0.36	0.336
10	ac dt nh2	-0.8532	-0.029	12	10	160	5	2019	0	0
11	accelerometer	0.0418	-0.5813	3	9	37	6	2019	0.6667	0.6222
12	acceptability	0.6992	0.1738	2	57	317	21	2019	0.8095	0.7555
13	accession	0.0202	0.2841	10	43	273	18	2019	0.4444	0.4148
14	accuracy assessment	0.4222	-0.498	3	27	59	6	2019	0.3333	0.3111
15	accuracy rate	0.4499	-0.3733	3	16	45	5	2019	0.6	0.5599
16	aceh	0.2132	0.1417	7	40	116	11	2019	0.9091	0.8484
17	aceh cattle	-0.1328	0.3386	5	27	318	14	2019	0	0
18	acetate	-0.6595	-0.1194	1	69	257	11	2019	4.0909	3.8178
19	acetic acid	-0.6482	-0.0941	1	79	178	12	2019	1.0833	1.011
20	acetylsalicylic acid	-0.9927	0.8752	14	15	275	5	2019	1	0.9332
21	acid orange	-0.6681	-0.6285	9	42	220	6	2019	1.3333	1.2443
22	acid sulfate soil	-0.3682	0.0471	5	20	139	8	2019	0	0
23	acidity	-0.7899	-0.1559	1	86	278	14	2019	1.9286	1.7998
24	acl reconstruction	0.7527	0.6064	13	10	104	8	2019	4.5	4.1996
25	acoustic signal	0.11	-0.5035	3	5	66	6	2019	0	0
26	acquisition	0.5754	-0.465	18	65	299	21	2019	0.1905	0.1778
27	actinomycete	-0.5025	0.0794	12	6	70	7	2019	1	0.9332
28	activation	-0.3527	0.3065	14	126	415	20	2019	2.5	2.3331
29	activation energy	-0.7112	-0.282	12	43	201	14	2019	1.0714	0.9999
30	activator	-0.6193	0.2407	1	34	169	8	2019	0.5	0.4666
31	active compound	-0.699	0.3413	19	57	191	10	2019	0.3	0.28
32	active fraction	-0.6993	0.4196	6	39	111	5	2019	1	0.9332
33	active site	-0.8347	-0.31	1	46	172	6	2019	1.8333	1.7109
34	actual value	-0.3195	-0.6855	9	51	223	6	2019	0.8333	0.7777
35	acute appendicitis	0.7587	-0.4485	3	5	84	6	2019	0	0
36	acute phase protein	0.027	0.7031	8	24	190	6	2019	0	0
37	ad libitum	-0.3099	0.4477	5	55	175	6	2019	0	0
38	ad msc	-0.435	0.886	6	16	190	5	2019	0	0
39	adb	-0.066	-0.3592	1	8	56	6	2019	0.1667	0.1555
40	adg	-0.1376	0.5296	5	30	292	12	2019	0	0
41	adherence	0.7654	0.1855	2	35	202	15	2019	0.8	0.7466
42	adiposity	0.1275	0.4676	8	14	224	7	2019	3	2.7997
43	adjustable loop femoral cortical suspension device	0.9542	0.7326	13	7	70	5	2019	0	0
44	admission	0.6738	0.1799	13	35	190	11	2019	1.6364	1.5271
45	adolescent mother	0.928	0.3128	2	15	164	12	2019	4	3.733
46	adsc	-0.4714	0.3033	6	9	70	5	2019	16	14.9318
47	adsorbent	-0.8094	-0.2976	1	108	1022	47	2019	1.1489	1.0722
48	adsorption	-0.7816	-0.3068	1	138	1125	56	2019	1.3036	1.2165
49	adsorption capacity	-0.9141	-0.3401	1	75	417	18	2019	1.2778	1.1925
50	adsorption kinetic	-0.7705	-0.3481	1	53	142	6	2019	1.1667	1.0888
51	adsorption process	-0.6272	-0.282	1	44	165	6	2019	0.6667	0.6222
52	adult	0.4811	0.2287	8	102	579	38	2019	2.8684	2.6769
53	adulterant	-0.4123	-0.4266	9	58	344	9	2019	2	1.8665
54	adulteration practice	-0.3208	-0.3724	9	42	157	5	2019	1.6	1.4932
55	adverse effect	-0.1225	-0.0236	4	61	142	5	2019	1	0.9332
56	aedes	0.9941	0.1581	16	18	120	5	2019	0.4	0.3733
57	aedes aegypti	0.9886	0.142	16	28	128	8	2019	1.625	1.5165
58	aedes spp	1.2267	0.1585	16	4	105	7	2019	0	0
59	aegypti	0.9643	0.1486	16	30	276	15	2019	0.8	0.7466
60	aerial photograph	0.5989	-0.5806	18	23	421	14	2019	0.0714	0.0667
61	aerobic exposure	-0.7061	0.163	7	11	125	5	2019	1	0.9332
62	afatinib	0.6004	0.7645	14	15	123	7	2019	0.2857	0.2666
63	afm	-0.7187	-0.3087	1	41	103	5	2019	6.4	5.9727
64	ag nanoparticle	-0.769	-0.2037	1	31	127	6	2019	2	1.8665
65	agb	0.3669	-0.3867	4	12	100	10	2019	0.1	0.0933
66	age group	0.5574	-0.0279	15	27	115	6	2019	0.8333	0.7777
67	agglomeration	-0.7937	-0.2991	1	60	123	7	2019	1.7143	1.5998
68	agnws thin film	-0.4035	-0.0828	7	7	50	5	2019	0	0
69	agricultural machinery	1.2189	-1.8438	18	3	36	6	2019	0	0
70	ahr	0.8337	0.3801	13	16	174	7	2019	1.4286	1.3332
71	air temperature	-0.0405	-0.2572	4	28	110	7	2019	0	0
72	air water	-0.2788	-0.5875	11	14	52	6	2019	5.6667	5.2884
73	aircraft	0.2024	-0.6114	3	18	72	8	2019	0.75	0.6999
74	akber	0.8263	-0.6379	20	1	15	5	2019	0	0
75	aki	-0.001	0.9636	8	35	181	11	2019	3	2.7997
76	al sa	0.9154	-0.2165	4	2	27	9	2019	0	0
77	alabio	0.2264	0.4089	10	25	178	12	2019	0.1667	0.1555
